Subject,AccelerometerX,AccelerometerY,AccelerometerZ,GyroscopeX,GyroscopeY,GyroscopeZ,marker
BtnAAB216B5,-188,-2263,3457,-64,-109,-15, 
BtnAAB216B5,-186,-2291,3478,-59,-108,-8, 
BtnAAB216B5,-169,-2286,3504,-54,-108,-4, 
BtnAAB216B5,-138,-2289,3511,-50,-106,1, 
BtnAAB216B5,-113,-2283,3527,-48,-102,3, 
BtnAAB216B5,-77,-2264,3532,-46,-101,3, 
BtnAAB216B5,-61,-2271,3518,-45,-97,3, 
BtnAAB216B5,-56,-2269,3512,-44,-91,1, 
BtnAAB216B5,-56,-2283,3507,-40,-81,0, 
BtnAAB216B5,-41,-2285,3495,-36,-69,0, 
BtnAAB216B5,-45,-2282,3499,-33,-59,0, 
BtnAAB216B5,-57,-2275,3504,-30,-49,1, 
BtnAAB216B5,-80,-2262,3508,-28,-40,1, 
BtnAAB216B5,-79,-2252,3527,-26,-33,1, 
BtnAAB216B5,-90,-2250,3524,-24,-27,-1, 
BtnAAB216B5,-103,-2225,3512,-22,-21,-4, 
BtnAAB216B5,-100,-2214,3507,-18,-14,-5, 
BtnAAB216B5,-125,-2214,3510,-22,-8,-7, 
BtnAAB216B5,-151,-2220,3509,-21,-3,-10, 
BtnAAB216B5,-158,-2231,3506,-20,2,-10, 
BtnAAB216B5,-190,-2224,3495,-17,1,-7, 
BtnAAB216B5,-193,-2228,3496,-16,0,-3, 
BtnAAB216B5,-195,-2223,3490,-18,1,2, 
BtnAAB216B5,-211,-2201,3503,-16,3,4, 
BtnAAB216B5,-204,-2193,3487,-17,4,5, 
BtnAAB216B5,-208,-2191,3476,-15,7,6, 
BtnAAB216B5,-225,-2189,3484,-19,7,7, 
BtnAAB216B5,-237,-2184,3476,-22,4,5, 
BtnAAB216B5,-235,-2188,3478,-24,2,4, 
BtnAAB216B5,-259,-2201,3487,-27,0,6, 
BtnAAB216B5,-260,-2208,3492,-28,-1,8, 
BtnAAB216B5,-254,-2215,3490,-28,-7,11, 
BtnAAB216B5,-242,-2214,3488,-28,-11,10, 
BtnAAB216B5,-235,-2202,3492,-26,-14,9, 
BtnAAB216B5,-229,-2197,3498,-25,-15,8, 
BtnAAB216B5,-235,-2193,3495,-24,-15,7, 
BtnAAB216B5,-216,-2189,3496,-23,-16,8, 
BtnAAB216B5,-209,-2194,3485,-23,-17,8, 
BtnAAB216B5,-211,-2194,3489,-24,-16,8, 
BtnAAB216B5,-227,-2197,3487,-28,-17,10, 
BtnAAB216B5,-224,-2209,3475,-29,-21,11, 
BtnAAB216B5,-225,-2197,3462,-32,-23,12, 
BtnAAB216B5,-236,-2193,3460,-41,-21,14, 
BtnAAB216B5,-234,-2175,3450,-46,-26,15, 
BtnAAB216B5,-225,-2169,3478,-49,-29,12, 
BtnAAB216B5,-228,-2185,3476,-51,-34,10, 
BtnAAB216B5,-225,-2188,3468,-51,-36,10, 
BtnAAB216B5,-214,-2201,3461,-52,-35,12, 
BtnAAB216B5,-225,-2197,3455,-52,-36,10, 
BtnAAB216B5,-212,-2205,3452,-54,-37,7, 
BtnAAB216B5,-215,-2194,3458,-54,-38,5, 
BtnAAB216B5,-221,-2209,3458,-56,-38,6, 
BtnAAB216B5,-208,-2218,3474,-57,-41,4, 
BtnAAB216B5,-194,-2201,3465,-58,-41,3, 
BtnAAB216B5,-191,-2204,3476,-59,-43,3, 
BtnAAB216B5,-187,-2212,3485,-61,-46,2, 
BtnAAB216B5,-189,-2227,3478,-62,-50,-3, 
BtnAAB216B5,-180,-2239,3468,-61,-53,-8, 
BtnAAB216B5,-173,-2255,3467,-60,-54,-10, 
BtnAAB216B5,-169,-2256,3468,-58,-54,-11, 
BtnAAB216B5,-154,-2256,3472,-57,-53,-11, 
BtnAAB216B5,-152,-2259,3468,-52,-53,-9, 
BtnAAB216B5,-142,-2256,3466,-52,-53,-8, 
BtnAAB216B5,-138,-2262,3472,-53,-54,-10, 
BtnAAB216B5,-127,-2258,3469,-51,-54,-14, 
BtnAAB216B5,-123,-2243,3472,-51,-50,-16, 
BtnAAB216B5,-147,-2253,3443,-51,-47,-19, 
BtnAAB216B5,-145,-2260,3446,-53,-46,-22, 
BtnAAB216B5,-147,-2256,3448,-56,-43,-25, 
BtnAAB216B5,-156,-2251,3439,-56,-44,-24, 
BtnAAB216B5,-150,-2243,3436,-55,-48,-22, 
BtnAAB216B5,-136,-2239,3439,-57,-53,-21, 
BtnAAB216B5,-126,-2237,3440,-60,-52,-20, 
BtnAAB216B5,-110,-2253,3434,-64,-47,-18, 
BtnAAB216B5,-114,-2234,3450,-68,-38,-16, 
BtnAAB216B5,-87,-2244,3476,-74,-31,-11, 
BtnAAB216B5,-124,-2242,3488,-75,-28,-8, 
BtnAAB216B5,-158,-2242,3497,-78,-26,-10, 
BtnAAB216B5,-170,-2252,3472,-80,-31,-13, 
BtnAAB216B5,-189,-2253,3467,-80,-34,-17, 
BtnAAB216B5,-218,-2238,3451,-78,-38,-18, 
BtnAAB216B5,-231,-2231,3433,-81,-43,-23, 
BtnAAB216B5,-245,-2234,3442,-82,-53,-25, 
BtnAAB216B5,-282,-2228,3454,-80,-73,-28, 
BtnAAB216B5,-280,-2234,3435,-82,-93,-32, 
BtnAAB216B5,-278,-2228,3403,-81,-112,-36, 
BtnAAB216B5,-244,-2216,3391,-83,-129,-38, 
BtnAAB216B5,-226,-2239,3385,-93,-139,-39, 
BtnAAB216B5,-211,-2272,3377,-99,-146,-37, 
BtnAAB216B5,-200,-2300,3383,-102,-157,-33, 
BtnAAB216B5,-185,-2332,3410,-101,-171,-29, 
BtnAAB216B5,-147,-2368,3416,-100,-182,-23, 
BtnAAB216B5,-125,-2382,3400,-103,-190,-15, 
BtnAAB216B5,-101,-2374,3373,-107,-193,-14, 
BtnAAB216B5,-98,-2374,3372,-109,-193,-13, 
BtnAAB216B5,-78,-2381,3372,-116,-197,-15, 
BtnAAB216B5,-67,-2388,3369,-115,-199,-16, 
BtnAAB216B5,-76,-2409,3397,-114,-207,-14, 
BtnAAB216B5,-53,-2399,3412,-113,-220,-9, 
BtnAAB216B5,-24,-2385,3408,-111,-233,-7, 
BtnAAB216B5,-18,-2370,3388,-110,-238,-6, 
BtnAAB216B5,11,-2358,3390,-109,-234,-3, 
BtnAAB216B5,20,-2343,3406,-108,-233,-3, 
BtnAAB216B5,23,-2363,3420,-109,-227,-4, 
BtnAAB216B5,6,-2370,3442,-110,-228,-2, 
BtnAAB216B5,-12,-2349,3456,-108,-241,1, 
BtnAAB216B5,-7,-2310,3433,-114,-256,2, 
BtnAAB216B5,-7,-2280,3399,-128,-272,0, 
BtnAAB216B5,4,-2288,3392,-141,-295,1, 
BtnAAB216B5,39,-2294,3367,-154,-317,7, 
BtnAAB216B5,41,-2319,3349,-158,-335,13, 
BtnAAB216B5,46,-2384,3381,-153,-355,18, 
BtnAAB216B5,63,-2452,3364,-143,-380,20, 
BtnAAB216B5,115,-2455,3330,-136,-401,22, 
BtnAAB216B5,157,-2468,3244,-140,-416,28, 
BtnAAB216B5,189,-2483,3213,-139,-410,34, 
BtnAAB216B5,223,-2505,3215,-134,-396,34, 
BtnAAB216B5,291,-2500,3263,-128,-374,26, 
BtnAAB216B5,350,-2499,3298,-118,-357,23, 
BtnAAB216B5,418,-2500,3329,-107,-343,25, 
BtnAAB216B5,497,-2467,3371,-99,-316,30, 
BtnAAB216B5,477,-2452,3394,-96,-283,24, 
BtnAAB216B5,407,-2461,3417,-95,-247,19, 
BtnAAB216B5,352,-2495,3435,-97,-218,22, 
BtnAAB216B5,321,-2531,3413,-100,-195,22, 
BtnAAB216B5,284,-2521,3364,-107,-177,21, 
BtnAAB216B5,312,-2524,3318,-116,-162,28, 
BtnAAB216B5,312,-2517,3314,-118,-158,32, 
BtnAAB216B5,278,-2494,3349,-117,-169,41, 
BtnAAB216B5,229,-2441,3372,-121,-166,66, 
BtnAAB216B5,193,-2473,3365,-124,-177,104, 
BtnAAB216B5,132,-2420,3372,-120,-207,139, 
BtnAAB216B5,140,-2461,3288,-111,-251,167, 
BtnAAB216B5,198,-2425,3207,-107,-274,178, 
BtnAAB216B5,190,-2368,3087,-116,-276,186, 
BtnAAB216B5,185,-2391,3042,-131,-291,231, 
BtnAAB216B5,252,-2433,3023,-149,-296,245, 
BtnAAB216B5,296,-2359,3074,-154,-242,217, 
BtnAAB216B5,263,-2363,3128,-163,-196,198, 
BtnAAB216B5,281,-2468,3134,-184,-216,261, 
BtnAAB216B5,382,-2524,3119,-192,-253,340, 
BtnAAB216B5,402,-2536,3130,-176,-228,344, 
BtnAAB216B5,350,-2581,3082,-162,-184,314, 
BtnAAB216B5,364,-2593,3131,-154,-169,310, 
BtnAAB216B5,432,-2663,3193,-171,-201,310, 
BtnAAB216B5,434,-2698,3202,-176,-191,292, 
BtnAAB216B5,407,-2710,3285,-167,-170,271, 
BtnAAB216B5,432,-2703,3357,-169,-164,237, 
BtnAAB216B5,471,-2794,3307,-161,-169,234, 
BtnAAB216B5,540,-2754,3300,-118,-136,213, 
BtnAAB216B5,479,-2651,3344,-106,-141,216, 
BtnAAB216B5,472,-2715,3221,-115,-147,189, 
BtnAAB216B5,506,-2669,3123,-103,-137,156, 
BtnAAB216B5,511,-2568,3076,-107,-111,157, 
BtnAAB216B5,474,-2579,3098,-120,-68,153, 
BtnAAB216B5,408,-2584,3124,-133,-45,141, 
BtnAAB216B5,428,-2668,3136,-139,-47,145, 
BtnAAB216B5,381,-2594,3178,-132,-41,142, 
BtnAAB216B5,352,-2634,3181,-126,-44,141, 
BtnAAB216B5,318,-2616,3185,-119,-47,136, 
BtnAAB216B5,322,-2617,3196,-113,-49,134, 
BtnAAB216B5,302,-2627,3217,-106,-57,136, 
BtnAAB216B5,287,-2622,3201,-102,-53,153, 
BtnAAB216B5,281,-2601,3187,-104,-42,175, 
BtnAAB216B5,257,-2659,3150,-107,-38,183, 
BtnAAB216B5,258,-2621,3136,-104,-42,188, 
BtnAAB216B5,297,-2649,3138,-107,-46,192, 
