sequence,AccelerometerX,AccelerometerY,AccelerometerZ,GyroscopeX,GyroscopeY,GyroscopeZ
173,222,-44,2048,-1028,-5102,1029
174,110,-77,2048,-575,-5838,675
175,4,-81,2048,191,-6272,136
176,-63,-80,2048,865,-6674,-360
177,-151,-44,2048,1207,-7020,-698
178,-270,22,2048,1335,-7293,-850
179,-340,56,2048,1292,-7573,-608
180,-403,56,2048,1189,-7903,-266
181,-483,67,2048,1068,-8270,-69
182,-579,77,2048,939,-8655,15
183,-661,59,1933,892,-9086,185
184,-771,41,1675,947,-9448,326
185,-854,-22,1420,1111,-9614,292
186,-877,-46,1164,1259,-9465,111
187,-894,-18,958,1132,-9110,-20
188,-918,-13,807,894,-8872,0
189,-904,-21,628,707,-8721,132
190,-871,3,388,498,-8651,261
191,-849,35,116,273,-8633,335
192,-838,137,-273,87,-8602,285
193,-840,271,-695,-163,-8329,314
194,-894,341,-1112,-329,-7641,517
195,-902,304,-1405,-223,-6821,777
196,-845,175,-1663,25,-5975,960
197,-800,-11,-1792,476,-4868,1052
198,-740,-139,-1790,1128,-3532,826
199,-604,-234,-1656,1794,-2262,185
200,-377,-178,-1592,2181,-1477,-668
201,-217,58,-1701,2044,-1331,-1372
202,-223,316,-1832,1587,-1467,-1500
203,-308,533,-1962,1132,-1290,-1067
204,-346,595,-2048,826,-680,-223
205,-401,515,-2048,773,158,628
206,-467,336,-2048,757,1080,1177
207,-464,168,-2033,769,2119,1386
208,-479,56,-1937,699,3087,1314
209,-495,-52,-1771,500,3808,1136
210,-487,-98,-1638,199,4417,990
211,-516,-140,-1464,-75,4990,847
212,-557,-193,-1277,-254,5550,808
213,-583,-235,-1097,-264,6162,794
214,-658,-231,-867,-178,6687,625
215,-722,-219,-618,-57,7097,447
216,-765,-215,-419,162,7505,460
217,-843,-227,-149,304,7873,490
218,-822,-200,144,142,8298,507
219,-765,-159,521,-176,8882,589
220,-694,-87,884,-465,9435,671
221,-649,-9,1289,-428,9833,679
222,-635,27,1747,201,9984,634
223,-610,21,2048,1339,9992,343
224,-382,64,2048,2177,9896,-77
225,-112,102,2048,1884,9472,-305
226,6,153,2048,714,8585,-22
227,43,172,2048,-627,7533,529
228,72,94,2048,-1551,6691,1048
229,101,36,2048,-1965,5851,1283
230,201,34,2048,-2196,4925,1369
231,302,34,2048,-2045,4150,1255
232,393,-19,2048,-1426,3673,941
233,462,-75,2048,-637,3259,490
234,391,-103,2048,-102,2634,150
235,317,-108,2048,142,1968,-55
236,330,-112,2048,89,1660,-204
237,364,-76,2048,-98,1437,-254
238,383,-44,2048,-424,1013,-297
239,386,16,2048,-704,570,-315
240,385,81,2048,-868,119,-170
241,326,106,1856,-1012,-340,35
242,237,121,1676,-1059,-702,218
243,147,128,1522,-918,-952,404
244,120,83,1346,-555,-1036,566
245,101,1,1207,-43,-903,554
246,124,-57,1123,341,-667,357
247,110,-77,1078,427,-405,72
248,109,-41,1127,373,-120,-245
249,126,-18,1151,292,48,-436
250,138,9,1190,230,-38,-448
251,131,38,1148,187,-385,-438
252,95,45,1078,183,-686,-381
253,61,56,1005,242,-823,-260
254,53,25,958,326,-764,-129
255,60,0,913,367,-678,-55
256,55,-18,904,283,-563,-38
257,70,28,897,87,-444,-40
258,58,45,869,-118,-379,-106
259,50,80,878,-303,-288,-51
260,48,95,897,-356,-178,-98
261,57,95,908,-284,-108,-135
262,58,96,950,-51,-83,-118
263,57,93,958,187,-84,-157
264,62,66,965,330,-122,-200
265,76,75,957,402,-133,-217
266,87,92,964,398,-90,-241
267,94,118,973,341,-32,-278
268,81,137,985,195,-32,-200
269,75,149,1003,5,-71,-47
270,81,148,1000,-243,-108,113
271,94,113,1014,-459,-129,236
272,91,103,1018,-645,-186,318
273,76,71,1015,-756,-249,343
274,90,68,1023,-735,-225,322
275,68,42,1062,-569,-204,261
276,86,36,1047,-385,-145,156
277,104,34,1055,-272,-124,56
278,111,51,1061,-233,-170,-28
279,119,70,1045,-290,-258,-67
280,115,74,1009,-401,-331,-38
281,119,83,998,-450,-399,37
282,125,85,981,-397,-485,130
283,136,72,984,-264,-538,164
284,142,64,965,-102,-510,121
285,134,50,962,83,-399,3
286,128,50,990,281,-250,-137
287,150,58,1007,398,-106,-268
288,171,98,1005,386,31,-321
289,178,124,1033,279,39,-254
290,162,120,1072,119,-22,-55
291,158,118,1092,-59,-88,142
292,141,91,1066,-223,-190,232
293,126,77,1039,-303,-252,300
294,125,39,1024,-243,-284,347
295,116,13,996,-112,-282,339
296,103,-41,955,19,-254,181
297,102,-60,915,148,-127,-6
298,104,-67,928,318,29,-202
299,104,-42,942,447,197,-418
300,117,16,970,501,328,-647
301,126,87,993,521,365,-733
302,126,131,1009,541,318,-700
303,133,167,996,562,218,-553
304,131,187,1001,580,121,-364
305,138,164,1004,564,11,-190
306,127,143,990,466,-92,-24
307,111,100,958,281,-104,115
308,109,81,960,31,-10,220
309,106,61,950,-231,113,207
310,107,58,973,-459,201,179
311,109,70,979,-528,216,171
312,120,79,983,-504,199,128
313,123,80,984,-381,128,54
314,138,89,1001,-159,41,-16
315,133,112,988,44,-12,-79
316,138,123,1021,160,-38,-55
317,129,134,1000,201,-47,-14
318,120,131,1009,166,-47,31
319,109,102,1001,83,-38,125
320,121,85,982,0,52,228
321,134,61,977,-122,132,275
322,132,56,1009,-227,208,271
323,133,55,1060,-276,234,214
324,152,60,1080,-233,183,95
325,149,66,1088,-124,74,15
326,143,99,1067,-16,-49,-49
327,135,102,1019,19,-151,-71
328,118,101,1003,19,-176,-4
329,119,87,977,29,-112,48
330,106,73,983,44,-18,44
331,103,66,991,54,103,1
332,121,62,1015,74,197,-38
333,116,71,1035,48,220,-45
334,125,84,1068,-22,173,-26
335,136,79,1067,-112,78,33
336,145,81,1050,-196,-34,78
337,132,77,1038,-239,-155,93
338,128,75,1042,-215,-223,85
339,103,76,1033,-149,-221,11
340,121,75,1003,-59,-163,-90
341,113,66,983,9,-94,-110
342,123,68,986,25,-67,-122
343,126,66,979,-100,-28,-137
344,112,82,982,-252,-14,-108
345,116,111,988,-334,7,-83
346,130,128,1002,-338,35,-69
347,147,149,1006,-258,-24,-69
348,113,145,997,-153,-129,-10
349,115,137,970,-71,-153,72
350,110,110,970,-4,-127,113
351,120,72,946,35,-86,128
352,103,54,947,41,-22,95
353,109,51,950,52,48,44
354,121,60,979,33,107,0
355,122,44,983,-36,136,-22
356,120,56,1002,-114,150,9
357,116,34,999,-147,126,29
358,121,32,1005,-124,85,29
359,117,24,1021,-61,62,-14
360,128,22,1036,9,33,-49
361,136,31,1015,15,0,-79
362,124,39,1007,-96,-43,-59
363,128,31,1000,-225,-81,21
364,128,22,972,-329,-71,85
365,122,-13,979,-372,-36,107
366,119,-32,972,-317,19,72
367,125,-54,983,-264,91,-10
368,125,-65,996,-202,126,-98
369,133,-73,1028,-125,109,-188
370,133,-74,1028,-98,46,-276
371,115,-86,1021,-104,-22,-305
372,127,-92,981,-129,-59,-303
373,123,-126,1006,-206,-30,-325
374,119,-113,1014,-286,42,-350
375,141,-112,1029,-362,78,-409
376,139,-83,1066,-452,66,-504
377,144,-64,1042,-491,25,-553
378,157,-53,1045,-444,-40,-590
379,145,-56,1027,-442,-73,-618
380,151,-50,1018,-491,-122,-643
381,137,-37,993,-528,-143,-649
382,136,-38,1004,-497,-137,-676
383,129,-23,1014,-436,-81,-709
384,130,-28,1026,-354,-42,-768
385,135,-21,1033,-278,-49,-790
386,129,-26,1028,-202,-69,-831
387,129,-15,1021,-168,-67,-899
388,126,-33,1010,-168,-32,-918
389,130,-20,1042,-151,-12,-942
390,136,-7,1063,-194,9,-1000
391,135,-4,1074,-250,-24,-1016
392,133,40,1082,-299,-94,-1024
393,124,64,1059,-346,-151,-1038
394,115,87,1051,-383,-184,-999
395,113,84,1019,-381,-213,-926
396,100,68,1011,-350,-219,-887
397,102,65,996,-290,-190,-874
398,100,58,980,-194,-172,-879
399,90,51,969,-108,-131,-903
400,99,38,974,-75,-65,-918
401,106,39,1008,-22,-10,-958
402,124,64,1047,3,33,-1047
403,119,90,1082,21,35,-1106
404,123,106,1089,74,-20,-1112
405,127,127,1077,50,-102,-1067
406,110,129,1064,-40,-204,-954
407,91,107,1032,-120,-268,-807
408,96,83,988,-202,-264,-723
409,104,73,965,-266,-213,-700
410,96,66,969,-198,-131,-768
411,97,77,973,-59,-51,-868
412,89,96,997,27,7,-930
413,98,85,998,58,-16,-911
414,104,81,1007,1,-49,-879
415,111,92,1004,-100,-77,-834
416,104,83,999,-163,-100,-792
417,96,87,1004,-147,-120,-790
418,95,81,999,-104,-94,-819
419,109,90,1010,-67,-69,-836
420,114,102,997,-59,-92,-846
