sequence,AccelerometerX,AccelerometerY,AccelerometerZ,GyroscopeX,GyroscopeY,GyroscopeZ
0,-234,-118,1003,-30,-40,-10
1,-233,-122,973,-14,-51,-24
2,-230,-118,972,25,-43,-28
3,-237,-114,969,78,-38,-8
4,-237,-121,939,154,-45,-4
5,-237,-117,963,230,-45,5
6,-230,-127,959,283,-45,11
7,-215,-113,941,281,-26,9
8,-223,-123,935,228,11,-18
9,-222,-111,945,195,42,-14
10,-222,-107,959,175,46,-10
11,-215,-100,935,181,42,1
12,-227,-98,959,228,29,-22
13,-234,-97,944,296,13,-8
14,-224,-114,955,398,-12,1
15,-231,-117,958,509,-18,-4
16,-240,-94,976,554,13,-14
17,-222,-108,991,482,64,-10
18,-212,-107,1004,382,107,-42
19,-223,-106,1014,261,140,-67
20,-215,-87,1028,173,185,-92
21,-189,-74,1018,125,197,-106
22,-193,-72,1008,72,130,-104
23,-186,-49,1003,158,134,-94
24,-173,-48,1010,214,113,-81
25,-180,-45,1010,296,68,-73
26,-191,-38,1010,347,21,-30
27,-218,-35,996,390,15,27
28,-222,-51,993,396,42,64
29,-267,-51,986,357,48,80
30,-276,-66,1014,275,103,119
31,-287,-76,1012,195,152,138
32,-298,-73,1030,171,162,130
33,-305,-83,1022,136,167,121
34,-296,-81,1055,146,158,93
35,-296,-79,1045,150,103,56
36,-293,-69,1057,152,50,42
37,-291,-64,1035,207,15,44
38,-286,-59,1051,261,-18,50
39,-303,-55,998,281,-18,52
40,-275,-60,1019,265,54,76
41,-281,-47,1025,228,85,60
42,-294,-49,1054,210,97,35
43,-283,-43,1041,193,66,35
44,-298,-46,1044,185,44,42
45,-286,-51,1027,167,21,31
46,-271,-45,1030,160,5,5
47,-260,-28,1039,173,-14,-10
48,-270,-28,1038,212,-75,-22
49,-280,-32,1044,273,-112,1
50,-283,-37,1030,351,-157,3
51,-285,-43,1028,373,-186,-8
52,-274,-41,1019,273,-184,-20
53,-261,-35,1003,123,-161,-49
54,-260,-32,1020,-53,-122,-88
55,-243,-9,1020,-112,-83,-94
56,-230,8,1031,-55,-71,-77
57,-226,-3,1009,62,-51,-43
58,-225,-16,1019,126,-51,-4
59,-219,-16,1013,113,-28,3
60,-225,-21,1016,64,0,23
61,-242,-35,998,29,29,48
62,-240,-43,983,23,35,66
63,-247,-43,997,64,29,54
64,-257,-58,997,85,35,50
65,-278,-62,1022,68,74,46
66,-266,-67,1029,5,125,37
67,-262,-70,1064,-47,136,23
68,-263,-68,1092,-71,128,1
69,-236,-51,1087,-102,83,-42
70,-237,-47,1076,-153,29,-57
71,-234,-40,1053,-180,-42,-81
72,-231,-39,1024,-174,-106,-71
73,-237,-46,996,-98,-112,-77
74,-234,-32,945,7,-40,-53
75,-226,-39,965,72,42,-26
76,-234,-28,989,97,107,-14
77,-227,-29,1000,91,140,5
78,-212,-25,1005,85,109,-4
79,-221,-21,1011,52,25,11
80,-231,-34,994,17,1,37
81,-225,-36,984,37,-18,50
82,-250,-41,971,107,1,66
83,-254,-50,965,140,48,107
84,-257,-74,978,154,115,115
85,-272,-85,982,160,162,97
86,-274,-89,996,177,185,76
87,-280,-96,1001,181,201,54
88,-282,-79,1025,171,197,3
89,-282,-77,1053,103,179,-20
90,-280,-63,1070,48,109,-38
91,-286,-55,1045,42,46,-45
92,-292,-50,1030,33,3,-34
93,-292,-68,1024,41,-14,-40
94,-294,-71,1009,56,11,-79
95,-294,-59,1026,37,42,-104
96,-274,-47,1047,1,64,-129
97,-283,-37,1043,-12,41,-141
98,-282,-32,1028,-12,-10,-143
99,-267,-22,1033,0,-47,-127
100,-258,-14,1016,-24,-67,-120
101,-274,-3,1009,-67,-57,-118
102,-261,-9,986,-73,-38,-90
103,-276,0,993,-38,-16,-96
104,-254,-15,994,0,33,-86
105,-270,-21,1004,31,50,-88
106,-263,-13,1030,60,52,-75
107,-268,-8,1022,76,39,-53
108,-262,4,1020,80,21,-30
109,-261,-2,1014,68,0,-8
110,-273,-12,1019,58,-20,15
111,-268,-14,1023,15,-38,15
112,-280,-19,1022,-14,-65,1
113,-277,-33,1002,-28,-69,-18
114,-271,-23,986,-10,-57,-36
115,-278,-26,976,1,-34,-53
116,-263,-18,989,37,3,-53
