AccelerometerX,AccelerometerY,AccelerometerZ
520,638,4037
497,636,4044
565,633,4101
625,604,4165
649,559,4145
664,571,4094
604,549,4112
503,565,4129
450,571,4083
472,577,4090
495,567,4075
537,567,4059
481,582,4060
422,566,4054
402,545,4066
396,556,4100
399,593,4143
453,650,4159
505,672,4162
492,665,4146
471,713,4132
420,736,4114
449,738,4109
471,753,4122
420,728,4121
406,765,4107
394,751,4143
376,712,4165
367,681,4149
368,678,4188
330,663,4174
338,666,4119
360,697,4097
336,697,4063
332,713,4054
376,736,4035
397,729,4002
374,736,3986
297,726,3975
246,700,3973
258,682,3949
283,686,3934
290,704,3939
319,739,3910
326,765,3933
289,767,3931
312,789,3970
332,767,3999
357,732,4018
348,748,4059
299,749,4081
283,760,4098
316,761,4116
367,749,4129
416,721,4181
437,723,4197
389,724,4173
354,727,4174
358,730,4189
363,720,4220
342,714,4201
347,705,4170
390,696,4158
411,689,4105
424,717,4079
400,710,4041
373,700,3989
392,712,3992
424,716,3990
475,701,3949
518,681,3938
528,684,3903
494,693,3851
478,711,3758
469,722,3687
458,724,3608
473,741,3526
423,679,3423
392,620,3327
341,544,3143
380,505,3002
440,427,2825
491,397,2632
435,460,2521
226,503,2455
47,459,2364
40,435,2304
55,371,2197
118,336,2125
242,248,2107
328,157,2025
374,152,1892
319,248,1867
191,308,1937
169,219,2013
196,124,2090
209,121,2180
185,140,2311
-1,-41,2352
3,-234,2312
92,-258,2321
-114,-381,2428
-390,-637,2528
-456,-838,2613
-362,-924,2707
-291,-951,2813
-347,-988,2861
-327,-896,2851
-332,-751,2998
-379,-885,3200
-279,-1215,3447
-111,-1427,3621
-93,-1585,3649
-76,-1671,3673
-251,-1681,3640
-648,-1757,3641
-809,-2011,3909
-809,-2478,4241
-692,-2828,4444
-736,-2993,4423
-724,-3060,4418
-753,-3182,4379
-1082,-3301,4198
-1431,-3312,4021
-1441,-3339,4088
-1277,-3537,4295
-1172,-3839,4459
-791,-3879,4517
-325,-4008,4577
-121,-4248,4550
-277,-4355,4550
-627,-4505,4728
-955,-4802,4840
-1212,-4964,5023
-1468,-4840,5207
-1579,-4681,5337
-1593,-4583,5357
-1549,-4483,5285
-1602,-4481,5354
-1661,-4600,5322
-1726,-4649,5237
-1618,-4588,5231
-1342,-4463,5218
-1160,-4382,5111
-1113,-4348,4994
-1145,-4291,4834
-1072,-4263,4674
-1165,-4356,4584
-1427,-4417,4581
-1379,-4368,4648
-1189,-4351,4717
-1158,-4366,4680
-1089,-4192,4601
-958,-4148,4611
-983,-4282,4605
-1199,-4322,4608
-1456,-4344,4498
-1572,-4348,4569
-1728,-4310,4662
-1740,-4309,4787
-1712,-4295,4868
-1687,-4196,4802
-1603,-4126,4728
-1674,-4114,4650
-1750,-4094,4568
-1795,-4035,4479
-1858,-3964,4528
-1914,-3944,4498
-1882,-3921,4508
-1770,-3863,4620
-1780,-3806,4540
-1662,-3721,4392
-1568,-3626,4376
-1554,-3537,4372
-1482,-3385,4357
-1505,-3319,4327
-1588,-3250,4287
-1504,-3191,4367
-1367,-3236,4473
-1260,-3212,4510
-1251,-3081,4443
-1203,-2918,4321
-1160,-2830,4224
-1326,-2766,4078
-1361,-2600,3982
-1266,-2481,3787
-979,-2366,3738
-797,-2335,3709
-715,-2258,3556
-605,-2064,3373
-525,-1860,3137
-479,-1702,2945
-405,-1590,2772
-389,-1455,2592
-443,-1248,2580
-514,-1104,2512
-357,-985,2441
-133,-853,2286
16,-655,2165
41,-496,2084
195,-368,1893
333,-136,1666
368,43,1510
292,123,1392
258,283,1264
146,438,1193
63,558,1218
105,671,1329
219,749,1452
313,728,1632
474,761,1727
554,833,1686
653,957,1791
538,1035,1958
304,1113,2132
145,1182,2200
255,1247,2360
476,1266,2594
519,1190,2871
511,1193,3045
691,1191,3195
793,1119,3382
686,1080,3446
535,1171,3526
289,1114,3679
123,1092,3761
155,1084,3825
264,1000,3949
288,955,4024
280,947,4077
218,923,4088
111,973,4116
-117,950,4124
-203,878,4115
-351,848,4067
-377,886,4074
-259,890,4164
-283,796,4107
-234,819,4081
-214,800,4083
-224,776,4044
-209,872,4060
-308,902,4028
-304,913,3963
-214,926,3995
-184,894,4006
-156,888,4009
-60,849,4042
-49,824,4085
-145,808,4115
-158,843,4122
-209,828,4123
-274,786,4117
-234,808,4111
-199,815,4122
-167,797,4090
-126,833,4100
-157,841,4077
-122,846,4006
-70,863,4017
-113,867,4025
-128,903,4031
-99,911,4082
-229,830,4078
-321,821,4026
-151,838,4097
-66,765,4120
-116,760,4095
-133,819,4130
-123,832,4148
-150,835,4161
-150,827,4169
-104,830,4177
-47,822,4137
-38,814,4127
-55,816,4123
-102,795,4111
-125,788,4109
-210,788,4099
-224,783,4091
-208,793,4106
-239,794,4101
-223,811,4109
-218,788,4117
-259,781,4080
-226,792,4070
-216,752,4051
-233,791,3999
-213,812,3993
-255,806,4009
-299,842,3986
-286,825,4011
-267,775,4018
-289,811,4039
-322,803,4034
-286,800,4033
-300,798,4024
-293,789,4010
-260,809,4026
-280,807,3999
-300,828,4032
-347,795,4022
-359,760,4044
-348,755,4103
-367,726,4139
-398,734,4136
-407,743,4134
-313,761,4122
-266,784,4102
-387,793,4076
-484,795,4016
-508,785,4004
-546,766,4028
-565,780,4037
-482,777,4142
-584,650,4175
-746,746,4101
-625,817,4156
-489,742,4142
-623,772,4052
-704,791,4010
-559,792,4030
-419,768,4110
-502,721,4082
-558,800,4085
-502,767,4139
-467,694,4144
-492,731,4109
-606,737,4105
-729,697,4062
-686,725,4035
-630,700,4037
-529,686,4051
-388,679,4084
-270,658,4155
-250,639,4126
-225,657,4183
-69,705,4209
43,667,4206
69,697,4196
73,673,4187
75,685,4161
50,723,4180
-41,682,4169
-43,689,4135
106,710,4142
224,659,4172
269,609,4161
300,623,4150
380,656,4108
402,654,4039
376,671,4100
356,666,4093
389,635,4029
501,643,3999
572,646,4012
607,665,4006
629,686,4038
656,695,4084
702,704,4002
702,746,3966
690,734,3961
790,764,4001
786,774,4000
727,749,3956
781,758,3975
833,751,4000
746,762,4067
635,753,4087
571,756,4098
518,721,4087
536,739,4129
521,698,4185
527,668,4173
506,713,4178
502,775,4188
413,715,4151
489,698,4148
581,710,4093
618,720,4124
686,696,4150
685,675,4107
689,688,4047
797,698,4005
833,702,4002
740,722,4002
693,769,3978
657,779,3947
659,791,3910
680,815,3937
628,807,3948
526,803,3938
502,795,3930
531,752,3957
589,753,3982
534,750,3978
473,742,3986
504,749,4028
493,744,4040
393,770,4045
378,788,4085
402,767,4099
405,722,4083
469,776,4094
428,779,4117
385,807,4124
388,808,4139
333,777,4166
309,786,4174
400,772,4147
487,750,4179
447,761,4185
392,789,4126
410,788,4140
361,774,4143
293,740,4113
266,746,4139
210,744,4171
190,723,4178
249,721,4177
252,719,4140
238,762,4085
192,801,4046
206,781,4011
279,794,4012
264,794,4017
298,800,4019
347,793,4052
356,748,4059
343,734,4053
293,754,4051
270,740,3976
334,761,3925
371,790,3877
342,799,3822
371,842,3790
382,851,3792
354,809,3758
355,802,3742
334,798,3751
286,809,3710
257,799,3692
238,771,3645
291,795,3575
406,816,3489
412,778,3427
430,796,3407
456,763,3288
470,718,3176
443,696,3093
414,656,2931
430,600,2984
283,536,3025
72,476,2883
68,428,2769
55,335,2668
59,262,2675
217,268,2686
299,246,2524
240,243,2379
264,273,2300
260,389,2249
176,546,2362
-169,447,2398
-330,239,2403
-204,76,2470
-55,-76,2541
-106,-255,2535
-151,-380,2519
-42,-341,2525
0,-211,2517
-136,-96,2697
-356,-148,2944
-437,-328,3114
-443,-451,3257
-245,-533,3395
93,-641,3416
270,-682,3415
299,-680,3420
116,-744,3357
-164,-816,3312
-397,-828,3436
-643,-860,3516
-1017,-860,3570
-1108,-761,3804
-559,-804,4190
38,-1129,4450
221,-1388,4594
123,-1476,4693
-119,-1476,4757
-556,-1569,4814
-958,-1685,4755
-1194,-1892,4706
-1159,-2134,4761
-1211,-2329,4685
-1365,-2473,4647
-1424,-2711,4740
-1313,-2920,4813
-1266,-3027,4804
-1275,-3027,4769
-1274,-3120,4757
-1211,-3223,4740
-1282,-3304,4723
-1425,-3436,4743
-1380,-3556,4815
-1231,-3640,4905
-1067,-3735,4970
-1083,-3811,4922
-1132,-3736,4829
-1167,-3626,4770
-1201,-3676,4683
-1284,-3704,4536
-1447,-3784,4514
-1403,-3928,4685
-1315,-4044,4747
-1163,-4039,4864
-1169,-4014,4901
-1585,-4042,4838
-1925,-4114,4896
-2055,-4232,5007
-2035,-4256,5185
-2056,-4282,5344
-2124,-4284,5413
-2144,-4180,5473
-2311,-4106,5407
-2421,-4066,5339
-2431,-4067,5349
-2602,-4173,5353
-2486,-4199,5356
-2180,-4141,5433
-2130,-4108,5406
-2095,-4059,5292
-2141,-4066,5142
-2319,-4035,4907
-2350,-3908,4829
-2318,-3890,4802
-2174,-3860,4744
-2042,-3765,4705
-1861,-3696,4678
-1681,-3677,4647
-1770,-3559,4442
-1844,-3435,4305
-1800,-3382,4238
-1817,-3418,4121
-1765,-3306,3875
-1634,-3140,3851
-1626,-3122,3882
-1587,-3057,3816
-1530,-2902,3779
-1526,-2772,3719
-1382,-2623,3630
-1333,-2471,3531
-1252,-2319,3547
-1125,-2201,3703
-972,-2072,3842
-961,-1971,3998
-1166,-1900,4068
-1200,-1820,3994
-1075,-1760,3904
-1132,-1802,3690
-1187,-1703,3406
-1127,-1549,3095
-1140,-1452,2710
-1123,-1229,2357
-1045,-1060,2095
-874,-851,1828
-666,-604,1639
-475,-395,1544
-299,-267,1363
-76,-131,1245
172,62,1215
245,269,1163
38,490,1344
-135,689,1409
122,788,1438
430,834,1677
218,727,1919
-61,739,1950
163,864,2073
358,926,2296
273,921,2419
252,1012,2492
146,1134,2695
65,1101,2756
286,1185,2932
348,1205,3167
202,1174,3353
153,1228,3505
104,1178,3570
242,1130,3562
371,1119,3561
273,1123,3588
72,1127,3609
-110,1023,3552
-137,1012,3431
-142,1064,3298
-151,1132,3345
-149,1185,3495
-97,1178,3507
105,1179,3576
184,1112,3698
146,1037,3734
60,1074,3789
-76,1076,3819
-96,1070,3830
-104,1091,3864
-195,1078,3951
-242,1045,3947
-163,1063,3982
-136,1072,3972
-128,1039,3928
-137,1021,3880
-191,1016,3887
-269,992,3911
-300,970,3880
-230,1001,3921
-217,978,4000
-227,965,3986
-250,990,3999
-253,989,4027
-191,975,3979
-143,1013,3940
-180,1016,3963
-335,989,3858
-325,1051,3865
-192,1023,3968
-144,959,3992
-183,941,3970
-124,951,3971
-107,955,3959
-197,959,3978
-254,998,4011
-261,973,4003
-203,939,4013
-136,918,4051
-131,921,4073
-145,938,4076
-187,924,4063
-222,928,4054
-198,941,4070
-198,918,4075
-212,904,4084
-229,902,4082
-258,890,4063
-296,891,4069
-353,901,4059
-401,909,4058
-395,909,4050
-343,895,4070
-318,873,4080
-317,898,4084
-386,858,4084
-370,853,4094
-297,850,4088
-336,841,4080
-416,848,4050
-444,866,4040
-448,844,4060
-356,898,4086
-241,835,4174
-423,785,4144
-627,883,4087
-543,954,4090
-474,910,4085
-490,925,4063
-493,950,4071
-472,921,4100
-405,881,4135
-393,853,4138
-456,851,4103
-485,864,4084
-492,869,4089
-559,873,4082
-603,869,4047
-516,876,4061
-448,849,4068
-490,842,4028
-503,871,4012
-478,868,4011
-490,885,4012
-505,898,4008
-468,882,4016
-451,872,4000
-448,879,4011
-372,872,4028
-326,859,4034
-308,897,4031
-276,916,4033
-290,905,4010
-343,917,4004
-408,909,3990
-475,891,3984
-513,868,3998
-514,859,4031
-531,846,4065
-588,825,4047
-603,833,4041
-618,839,4042
-675,831,3968
-660,895,3901
-636,925,3925
-623,922,3916
-643,932,3866
-676,910,3880
-673,924,3900
-740,907,3848
-751,884,3867
-699,874,3948
-616,859,4016
-707,771,3977
-871,826,3897
-835,909,3882
-816,879,3903
-748,837,3949
-795,878,3993
-880,856,4035
-689,808,4137
-485,726,4277
-381,710,4390
-366,679,4421
-393,684,4461
-466,724,4442
-630,725,4368
-634,779,4201
-518,816,4179
-465,775,4175
-288,794,4098
-130,798,3967
-53,828,3803
80,884,3943
119,860,4038
61,788,3952
249,796,3958
599,813,3912
622,807,3969
361,798,4010
210,780,3882
324,812,3835
380,809,3906
478,809,3997
627,826,3993
629,817,3993
615,845,4043
694,886,4037
695,911,3998
622,917,3961
560,899,4052
590,866,4087
677,893,4039
702,888,3985
705,874,4087
703,852,4169
693,847,4094
745,897,4064
701,840,4093
603,840,4083
567,850,4035
593,840,4032
569,846,4077
475,852,4063
487,881,4090
496,839,4054
475,799,3991
455,826,3976
387,817,3953
302,848,3975
200,841,3949
246,884,4014
229,827,4025
206,821,4030
132,854,4078
56,813,4037
167,827,4044
230,819,4012
236,822,3998
270,861,4078
180,846,4053
191,905,4096
163,874,4115
165,872,4136
203,858,4069
212,844,3968
173,850,3894
132,864,3808
149,898,3725
104,886,3634
92,893,3585
112,889,3488
109,895,3369
117,902,3245
116,885,3152
118,850,3039
192,824,2913
215,771,2840
138,708,2757
72,640,2718
-22,616,2708
-94,601,2718
-206,570,2606
-122,685,2559
-96,711,2584
-26,653,2625
111,591,2582
198,510,2550
242,393,2514
236,287,2530
68,126,2509
-57,35,2449
-135,65,2531
-259,-41,2667
-133,-199,2757
97,-300,2775
286,-294,2792
283,-263,2686
203,-113,2647
-38,112,2852
-203,-51,3108
-130,-324,3114
23,-345,3201
-44,-549,3261
18,-732,3316
118,-812,3256
71,-870,3085
-256,-913,2851
-513,-756,2834
-610,-571,3171
-576,-673,3570
-484,-996,3724
-196,-988,3715
105,-952,3670
76,-1171,3618
-276,-1481,3558
-870,-1678,3505
-1222,-1739,3567
-1153,-1858,3738
-1156,-2056,3863
-1214,-2200,3981
-1235,-2420,4129
-1111,-2705,4262
-885,-2924,4394
-924,-3202,4518
-1063,-3435,4537
-1141,-3530,4437
-1218,-3547,4373
-1194,-3614,4455
-1077,-3678,4540
-1068,-3735,4526
-938,-3773,4525
-867,-3877,4480
-937,-3900,4375
-1066,-3954,4311
-1092,-4036,4288
-1145,-4110,4327
-1212,-4166,4362
-1225,-4183,4352
-1191,-4102,4308
-1128,-4049,4214
-1078,-4119,4128
-942,-4149,4128
-1013,-4247,4050
-1021,-4315,3995
-964,-4466,4095
-1020,-4523,4110
-1106,-4494,4149
-1144,-4525,4195
-1082,-4540,4197
-1232,-4592,4165
-1630,-4604,4222
-1846,-4659,4366
-1897,-4811,4532
-1950,-4839,4599
-1840,-4738,4722
-1781,-4751,4831
-1896,-4736,4850
-2022,-4614,4876
-1984,-4536,4860
-1861,-4543,4915
-1794,-4554,4900
-1696,-4551,4773
-1616,-4542,4713
-1638,-4577,4736
-1745,-4619,4725
-1978,-4651,4714
-2089,-4624,4757
-1926,-4679,4781
-1750,-4746,4770
-1743,-4616,4702
-1718,-4476,4660
-1642,-4452,4568
-1663,-4465,4458
-1744,-4425,4370
-1722,-4364,4255
-1737,-4259,4196
-1853,-4144,4133
-1922,-4001,4076
-1850,-3861,4058
-1732,-3784,3987
-1586,-3651,3838
-1418,-3543,3720
-1271,-3504,3697
-1383,-3363,3547
-1479,-3166,3433
-1381,-3033,3397
-1242,-2941,3279
-1230,-2782,3144
-1104,-2607,3095
-910,-2530,3157
-919,-2361,3101
-938,-2163,3008
-749,-1987,2980
-735,-1895,2965
-641,-1719,2986
-625,-1565,3071
-507,-1391,3198
-581,-1326,3191
-405,-1242,3104
-268,-1110,3096
-521,-1006,3129
