AccelerometerX,AccelerometerY,AccelerometerZ
739,873,4038
1044,882,3886
1180,916,3774
1150,876,3842
998,783,3939
958,701,3953
1072,690,3892
1082,698,3920
1020,626,3961
1030,564,3898
1042,566,3886
1003,525,3883
985,515,3856
940,579,3868
798,595,3926
679,594,3944
608,601,3962
636,616,3900
684,639,3877
651,631,3956
536,645,4070
437,662,4134
412,687,4099
350,716,4075
116,728,4132
-55,722,4053
-126,734,3950
-198,731,3958
-195,751,3969
-209,829,4028
-259,947,4141
-333,1047,4160
-525,1067,4193
-676,1062,4246
-633,1065,4239
-518,1069,4243
-379,1041,4218
-276,1006,4129
-267,1070,4125
-324,1172,4193
-470,1204,4335
-600,1160,4397
-618,1116,4398
-586,1103,4413
-524,1069,4364
-477,1044,4325
-463,1066,4292
-438,1084,4206
-482,1108,4109
-644,1090,4176
-761,1046,4261
-769,1010,4268
-642,1014,4239
-472,1016,4130
-344,1042,4055
-330,1096,4012
-443,1097,4058
-528,1071,4125
-553,1058,4152
-620,1062,4161
-714,1094,4226
-659,1090,4233
-446,1106,4167
-287,1086,4082
-287,1063,4059
-364,1049,4125
-437,1028,4131
-461,1011,4097
-516,1016,4072
-584,1023,4086
-618,1045,4096
-625,1040,4072
-498,1040,4009
-365,1103,3974
-350,1119,4006
-427,1076,4031
-476,1053,4059
-430,1028,4021
-384,1001,3920
-412,980,3847
-451,958,3824
-493,965,3784
-541,1011,3772
-525,1047,3740
-482,1063,3685
-458,1032,3665
-405,973,3601
-370,944,3506
-382,913,3398
-383,902,3317
-385,920,3339
-495,912,3421
-636,871,3499
-730,861,3627
-802,837,3747
-856,823,3766
-935,834,3825
-932,856,4019
-849,914,4248
-771,933,4547
-759,901,4825
-874,865,5159
-1015,894,5588
-1119,929,5956
-1135,940,6288
-1006,1074,6723
-880,1170,7219
-634,1185,7606
-247,1237,7776
25,1390,7938
-44,1526,8199
-229,1565,8583
-347,1528,8671
-382,1537,8627
-434,1572,8568
-451,1514,8433
-289,1433,8225
-21,1360,7811
167,1392,7541
180,1507,7437
45,1501,7403
-56,1436,7296
-179,1289,6995
-229,992,6657
-35,811,6208
232,832,5720
308,829,5214
463,595,4587
460,545,3951
395,529,3327
304,474,2783
130,373,2272
-169,250,1573
-435,191,972
-599,300,411
-721,590,37
-632,889,-236
-497,1055,-438
-340,1077,-532
-82,956,-764
136,854,-1121
242,878,-1277
