AccelerometerX,AccelerometerY,AccelerometerZ
-653,1227,4068
-635,1190,4083
-634,1122,4127
-572,1051,4191
-435,1024,4173
-355,1013,4132
-391,999,4147
-454,1029,4206
-525,1084,4267
-646,1084,4307
-711,1047,4288
-690,1047,4227
-618,1077,4153
-581,1110,4132
-568,1148,4109
-610,1115,4097
-672,1018,4064
-668,937,3929
-602,896,3681
-568,890,3422
-666,996,3390
-823,1203,3668
-905,1400,4058
-944,1468,4350
-886,1402,4453
-732,1304,4474
-568,1229,4423
-455,1178,4369
-395,1124,4361
-381,1024,4260
-380,1015,4242
-492,969,4297
-571,899,4220
-556,982,4177
-564,1033,4153
-572,1036,4121
-580,1040,4069
-528,1060,4034
-414,1079,3986
-290,1072,3953
-264,1072,3974
-374,1065,4039
-457,1077,4097
-459,1091,4083
-453,1094,4030
-449,1111,4004
-475,1129,4032
-512,1114,4053
-476,1109,4020
-427,1168,3975
-456,1215,3965
-532,1244,4009
-602,1278,4017
-626,1323,4028
-599,1330,4063
-512,1283,4034
-410,1237,3992
-389,1178,4022
-401,1150,4091
-406,1153,4176
-439,1142,4254
-522,1101,4296
-552,1077,4341
-492,1066,4312
-406,1043,4306
-368,1013,4284
-406,978,4264
-465,958,4274
-519,949,4286
-546,926,4295
-556,948,4271
-552,976,4235
-557,999,4198
-583,1012,4147
-548,1031,4135
-519,1077,4120
-510,1082,4110
-490,1069,4104
-487,1070,4082
-522,1084,4086
-530,1125,4108
-545,1121,4094
-530,1116,4107
-526,1126,4116
-557,1092,4125
-570,1108,4138
-566,1149,4164
-583,1137,4214
-575,1104,4183
-515,1087,4115
-463,1068,4084
-463,1042,4172
-468,1051,4257
-513,1058,4285
-569,1037,4299
-594,1001,4275
-552,998,4251
-484,1003,4208
-502,1000,4203
-567,994,4225
-598,1023,4216
-583,1050,4184
-569,1052,4196
-540,1042,4186
-514,1027,4151
-508,1058,4115
-528,1060,4082
-536,1073,4078
-526,1069,4072
-485,1050,4037
-451,1030,4004
-434,1018,4030
-409,1029,4031
-426,1023,4042
-470,1015,4051
-522,1030,4071
-542,1035,4102
-541,1022,4125
-497,999,4112
-491,1000,4125
-499,1000,4145
-489,994,4156
-488,1005,4184
-506,1009,4188
-518,1000,4189
-536,1008,4222
-535,1034,4249
-526,1024,4240
-511,1010,4213
-488,1034,4224
-463,1039,4236
-430,1029,4221
-444,1029,4226
-480,1013,4229
-473,1027,4226
-467,1053,4218
-447,1032,4207
-451,1016,4178
-455,1031,4175
-475,1028,4172
-492,1027,4153
-504,1050,4155
-521,1064,4136
-540,1051,4121
-535,1045,4112
-459,1047,4083
-389,1038,4042
-396,1017,4018
-456,1019,4045
-506,996,4054
-503,996,4040
-488,1021,4057
-503,1042,4057
-520,1043,4081
-499,1031,4124
-447,1024,4139
-428,1011,4159
-440,1004,4164
-478,1007,4166
-517,1011,4187
-514,1014,4172
-506,1042,4158
-512,1054,4165
-530,1064,4171
-572,1068,4197
-568,1050,4201
-504,1054,4180
-455,1044,4150
-419,1045,4128
-441,1059,4143
-510,1047,4167
-530,1051,4173
-550,1057,4155
-560,1031,4121
-527,1082,4113
-517,1112,4154
-508,1091,4146
-502,1094,4161
-502,1084,4163
-467,1076,4110
-475,1096,4073
-501,1085,4068
-525,1085,4075
-550,1078,4088
-576,1074,4084
-574,1066,4090
-578,1080,4102
-578,1077,4121
-551,1079,4123
-507,1076,4103
-447,1079,4071
-457,1058,4057
-528,1039,4083
-561,1060,4108
-574,1093,4074
-579,1098,4077
-553,1106,4118
-522,1104,4155
-487,1096,4126
-448,1064,4059
-400,1029,4016
-388,1020,3962
-418,1064,4001
-441,1113,4071
-466,1105,4118
-535,1068,4152
-522,1056,4120
-427,1042,4044
-362,1066,4040
-339,1103,4045
-421,1098,4064
-514,1084,4100
-518,1087,4134
-484,1086,4172
-485,1085,4189
-505,1105,4210
-490,1140,4218
-454,1149,4189
-443,1131,4124
-448,1165,4043
-475,1210,4003
-510,1227,3953
-575,1238,3920
-649,1257,3925
-685,1249,3899
-673,1187,3823
-577,1096,3668
-419,994,3440
-300,840,3137
-261,694,2833
-251,650,2632
-278,734,2589
-352,827,2635
-492,849,2790
-665,730,2900
-764,711,3050
-723,844,3116
-539,961,3277
-335,1005,3572
-207,1013,3927
-252,1061,4395
-541,1130,5111
-1066,1066,6132
-1610,946,7234
-1999,952,8221
-2182,1081,9113
-2030,1250,9848
-1564,1442,10318
-1097,1438,10345
-659,1306,10208
-411,1233,10144
-494,1251,9984
-666,1240,9638
-710,1266,9330
-664,1240,9000
-445,1114,8653
-99,990,8273
266,772,7755
634,496,7226
948,347,6761
1249,257,6309
1611,146,5764
1936,39,5267
2112,-63,4880
2018,-206,4381
1970,-437,3758
2082,-476,3011
2262,-369,2238
2352,-266,1594
2380,-233,1068
2177,-148,696
1822,48,626
1404,166,600
1165,155,274
1309,58,-316
1718,90,-1003
2032,251,-1545
2198,354,-1755
2181,436,-1967
1848,729,-1930
1324,835,-1639
790,889,-1363
289,1183,-1049
74,1413,-1033
224,1447,-1163
457,1407,-1202
278,1358,-1117
-523,1300,-804
-1548,1147,-481
-2179,1065,-284
-2473,1296,-169
-2742,1683,116
-3040,1912,509
-3290,1896,795
-3541,1705,907
-3775,1505,994
-3846,1440,891
-3701,1617,648
-3589,2039,721
-3690,2344,1367
-4043,2222,2060
-4428,1824,2432
-4514,1594,2576
-4274,1695,2550
-3803,1779,2613
-3314,1703,2819
-3261,1667,3041
-3835,1667,3239
-4560,1657,3421
-5109,1632,3624
-5399,1683,4021
-5057,1535,4433
-4308,1269,4419
-3583,1026,4174
-3155,1015,4104
-3184,1145,4156
-3666,1248,4533
-4442,1278,5050
-5011,1258,5388
-5138,1122,5428
-4720,956,5465
-3793,704,5316
-2810,657,5168
-2229,729,5062
-2373,811,5183
-2849,771,5551
-3285,670,5829
-3395,519,5842
-2975,564,5838
-2445,653,5787
-1973,562,5695
-1627,528,5692
-1473,546,5829
-1398,479,5873
-1276,421,5870
-1198,390,5756
-1125,310,5660
-907,124,5488
-628,34,5314
-391,129,5196
-314,290,5082
-487,332,5091
-482,275,5180
-222,308,5141
59,277,5016
518,228,4827
933,220,4530
1283,234,4300
1574,346,4085
1681,530,4120
1514,664,4273
1258,680,4401
1082,680,4410
1023,705,4334
1137,658,4188
1334,493,3985
1481,386,3789
1412,469,3682
1068,610,3713
553,639,3837
127,612,3947
-105,674,4004
-298,775,3986
-418,804,3975
-454,823,3934
-448,851,3906
-482,869,3965
-539,867,3968
-607,906,3938
