AccelerometerX,AccelerometerY,AccelerometerZ
41,1792,3916
35,1775,3906
3,1791,3930
-29,1780,3928
-45,1751,3909
-27,1739,3879
10,1739,3855
28,1744,3858
-6,1751,3900
-42,1768,3944
-21,1759,3919
10,1776,3908
-11,1793,3921
-39,1788,3936
-45,1776,3950
-33,1768,3935
-39,1756,3916
-38,1753,3928
-25,1747,3921
-1,1747,3928
20,1754,3944
26,1772,3947
27,1766,3952
55,1762,3935
87,1754,3922
54,1744,3924
7,1745,3940
-21,1738,3933
-39,1747,3909
-56,1760,3930
-59,1782,3972
-34,1769,3956
-35,1763,3964
-41,1764,3985
-37,1756,3951
13,1764,3919
57,1746,3893
-3,1734,3919
-35,1723,3946
0,1740,3934
40,1771,3930
31,1756,3932
-10,1752,3942
-36,1751,3964
-13,1763,3968
26,1756,3948
11,1735,3939
-25,1731,3942
-16,1724,3945
21,1713,3953
28,1726,3935
47,1744,3908
36,1747,3916
-21,1760,3951
-34,1768,3965
-4,1779,3961
21,1785,3961
29,1777,3957
49,1766,3945
81,1766,3906
84,1755,3868
37,1752,3898
11,1765,3938
27,1785,3933
42,1805,3920
40,1805,3925
18,1798,3924
-1,1791,3936
3,1776,3956
34,1745,3949
64,1725,3927
72,1687,3893
64,1692,3856
29,1723,3894
-11,1758,3928
-44,1767,3950
-50,1780,3956
-40,1786,3941
-2,1790,3943
43,1783,3914
41,1779,3921
8,1769,3936
-13,1751,3931
7,1752,3922
34,1759,3908
54,1765,3910
66,1768,3921
59,1798,3914
19,1815,3934
-1,1802,3950
-4,1793,3948
-6,1775,3946
-7,1767,3952
-4,1770,3964
22,1772,3969
13,1746,3965
-3,1729,3948
-15,1725,3932
-13,1719,3932
24,1726,3911
14,1721,3910
-9,1734,3911
-40,1742,3930
-69,1756,3925
-91,1751,3926
-102,1758,3941
-76,1769,3958
16,1762,3936
61,1765,3900
38,1772,3913
13,1786,3932
2,1784,3953
3,1772,3942
20,1791,3959
23,1786,3946
3,1785,3974
-4,1790,3995
34,1770,3977
84,1762,3962
87,1793,3947
86,1797,3945
65,1789,3916
27,1783,3935
34,1806,3944
52,1799,3924
52,1762,3886
55,1755,3870
30,1756,3860
11,1765,3856
-32,1783,3895
-21,1778,3922
-20,1767,3920
-31,1737,3910
-34,1713,3887
-26,1700,3890
-2,1699,3899
18,1692,3898
28,1704,3907
-10,1728,3939
-56,1734,3946
-53,1745,3941
-35,1749,3927
-29,1757,3921
-14,1766,3946
-8,1768,3960
-27,1757,3978
-38,1786,3996
-13,1779,3980
26,1753,3987
41,1740,3984
29,1745,3989
14,1763,3980
33,1759,3971
37,1778,3971
47,1769,3964
63,1763,3974
61,1780,3991
65,1772,3983
62,1769,3960
27,1776,3956
9,1780,3968
29,1782,3979
45,1805,3951
31,1789,3951
37,1766,3923
59,1751,3904
76,1753,3904
88,1743,3894
68,1739,3882
20,1740,3867
-14,1767,3922
-12,1767,3943
5,1744,3902
46,1755,3886
50,1767,3887
35,1774,3893
20,1786,3916
8,1787,3908
-16,1789,3906
-23,1776,3879
-2,1759,3875
3,1782,3898
3,1812,3930
-9,1807,3940
-19,1808,3937
-10,1812,3917
10,1806,3902
5,1801,3911
-10,1783,3918
-10,1803,3950
-11,1827,3957
-11,1825,3939
30,1805,3912
52,1788,3884
46,1795,3886
49,1825,3890
28,1830,3911
-24,1832,3949
-54,1833,3960
-36,1819,3946
-35,1793,3948
-28,1768,3958
39,1751,3949
79,1747,3923
42,1754,3924
-23,1758,3939
-62,1771,3967
-57,1773,3960
-25,1781,3958
9,1796,3943
19,1797,3903
40,1797,3876
48,1788,3889
18,1796,3896
-17,1802,3933
-38,1779,3925
-30,1756,3915
16,1768,3890
59,1788,3883
100,1784,3892
94,1787,3899
55,1776,3923
16,1765,3932
-2,1763,3957
-10,1762,3955
-9,1761,3925
12,1759,3915
35,1763,3934
53,1754,3941
47,1767,3946
27,1788,3972
11,1785,3974
-4,1794,3960
5,1789,3949
39,1784,3923
31,1785,3933
21,1800,3952
31,1782,3959
37,1770,3955
38,1776,3963
14,1756,3951
28,1767,3923
53,1784,3913
60,1800,3915
59,1784,3925
63,1773,3930
60,1769,3950
77,1758,3916
70,1766,3896
32,1794,3915
8,1787,3935
12,1780,3935
32,1774,3916
53,1785,3915
42,1786,3951
55,1773,3947
46,1781,3941
9,1791,3944
1,1776,3944
39,1778,3928
57,1785,3915
81,1782,3905
74,1783,3899
31,1810,3900
-5,1838,3917
-16,1835,3934
-5,1816,3952
34,1808,3909
68,1810,3872
62,1811,3876
38,1819,3886
12,1806,3885
-12,1787,3871
-29,1769,3844
-29,1759,3801
4,1743,3719
22,1737,3656
23,1699,3579
-12,1718,3513
-78,1738,3431
-156,1699,3317
-269,1619,3172
-355,1537,2970
-425,1414,2695
-488,1252,2389
-501,1068,2138
-523,987,1682
-431,1169,1741
-388,1353,1647
-306,1380,1661
-254,1246,1664
-208,1071,1668
-113,936,1593
5,805,1426
68,651,1285
73,503,1218
30,448,1282
-106,498,1419
-264,480,1571
-443,332,1797
-657,134,2025
-809,-106,2176
-827,-348,2228
-826,-421,2349
-933,-268,2526
-1015,-90,2736
-1046,-84,3068
-997,-248,3504
-849,-519,3845
-680,-861,4053
-550,-1058,4182
-495,-1146,4322
-600,-1130,4644
-765,-1060,5165
-726,-1077,5650
-618,-1191,5971
-501,-1376,6182
-299,-1551,6253
-101,-1661,6319
-53,-1691,6587
-61,-1695,6888
-104,-1763,7092
-141,-1912,7249
-110,-2003,7368
-88,-2014,7401
13,-2030,7315
205,-2091,7137
408,-2112,6977
531,-2057,6906
512,-1952,6873
423,-1884,6866
294,-1846,6922
214,-1813,7015
173,-1784,7034
100,-1805,7003
-10,-1903,6956
-21,-1986,6880
29,-2019,6848
-29,-2042,6789
-130,-2033,6814
-258,-1946,6818
-422,-1848,6868
-618,-1707,7001
-836,-1557,7173
-1089,-1506,7308
-1352,-1611,7338
-1500,-1749,7247
-1552,-1795,7072
-1641,-1757,6905
-1794,-1704,6917
-1833,-1706,6881
-1795,-1703,6726
-1756,-1651,6624
-1796,-1567,6482
-1879,-1466,6355
-1971,-1387,6269
-2020,-1341,6143
-2002,-1312,6015
-1914,-1303,5811
-1699,-1334,5462
-1407,-1395,5037
-1104,-1404,4643
-812,-1308,4363
-603,-1180,4002
-558,-1083,3602
-617,-1001,3284
-678,-929,3037
-726,-856,2722
-810,-776,2408
-945,-683,2150
-982,-572,1894
-850,-405,1566
-586,-150,1195
-366,148,745
-159,402,381
42,634,108
178,875,27
321,1141,169
474,1443,277
423,1682,359
307,1786,531
111,1806,708
38,1763,892
107,1721,1228
154,1719,1487
125,1763,1760
27,1868,2053
-203,2013,2406
-496,2148,2844
-682,2177,3222
-722,2093,3458
-699,1976,3631
-756,1931,3760
-822,1939,3742
-711,1943,3637
-500,1929,3545
-341,1943,3566
-282,2001,3656
-275,2079,3705
-364,2165,3744
-452,2227,3732
-524,2314,3727
-604,2381,3774
-645,2379,3864
-625,2308,3946
-562,2246,3898
-354,2197,3759
-175,2182,3645
-120,2153,3625
-123,2107,3705
