AccelerometerX,AccelerometerY,AccelerometerZ
-494,1438,4052
-462,1432,4039
-441,1450,4034
-423,1451,4018
-432,1441,4009
-458,1444,4015
-475,1460,4003
-477,1466,4013
-475,1454,3998
-483,1446,4011
-459,1456,4009
-443,1466,4018
-439,1451,4046
-412,1445,4043
-404,1445,4016
-386,1446,4014
-399,1454,4029
-420,1454,4053
-435,1467,4037
-423,1474,4037
-415,1472,4052
-441,1454,4058
-438,1445,4043
-426,1439,4036
-419,1445,4054
-419,1452,4059
-423,1460,4062
-429,1452,4053
-452,1439,4061
-464,1440,4053
-454,1441,4051
-451,1443,4067
-463,1441,4045
-464,1453,4028
-460,1460,4029
-433,1464,4008
-410,1464,3990
-409,1469,4014
-442,1458,4028
-457,1452,4005
-435,1439,4015
-402,1451,4020
-409,1449,4024
-425,1444,4052
-440,1451,4049
-452,1442,4048
-466,1439,4049
-468,1452,4056
-476,1456,4051
-461,1448,4049
-457,1446,4053
-463,1448,4070
-479,1448,4062
-482,1431,4059
-462,1415,4071
-441,1429,4074
-447,1419,4055
-442,1423,4028
-445,1446,4047
-475,1451,4092
-497,1438,4096
-491,1429,4064
-456,1449,4052
-432,1456,4048
-432,1444,4054
-441,1441,4046
-461,1437,4038
-481,1454,4045
-476,1456,4052
-448,1444,4036
-418,1439,4018
-400,1436,4025
-423,1438,4045
-433,1446,4042
-444,1442,4046
-443,1451,4059
-449,1454,4059
-447,1444,4043
-430,1445,4023
-444,1447,4015
-461,1445,4035
-458,1464,4039
-454,1456,4044
-432,1443,4039
-426,1444,4045
-441,1448,4043
-449,1449,4030
-433,1459,4019
-427,1463,4022
-445,1475,4028
-476,1468,4025
-465,1469,4007
-442,1464,4008
-467,1464,4024
-489,1461,4022
-483,1464,4016
-467,1465,4001
-451,1458,4006
-471,1445,4025
-482,1457,4022
-452,1461,4007
-453,1443,4004
-476,1441,4006
-477,1458,4010
-473,1482,4013
-468,1479,4016
-447,1471,4002
-439,1446,3999
-430,1455,3997
-433,1469,4009
-468,1484,4021
-463,1486,4049
-458,1487,4065
-454,1487,4093
-444,1505,4144
-456,1515,4194
-440,1498,4184
-380,1467,4156
-324,1459,4122
-336,1450,4124
-364,1453,4114
-370,1451,4062
-356,1442,4018
-358,1451,4011
-386,1465,4011
-412,1460,4001
-434,1458,3990
-445,1441,3974
-433,1432,3976
-415,1439,3985
-407,1441,3966
-413,1436,3947
-392,1444,3947
-380,1444,3973
-400,1444,3994
-429,1434,3988
-430,1441,3995
-397,1455,4010
-382,1455,4007
-380,1449,4016
-388,1450,4029
-378,1465,4038
-376,1449,4036
-391,1453,4048
-399,1472,4074
-412,1474,4064
-408,1462,4052
-383,1483,4044
-373,1495,4042
-376,1469,4014
-377,1467,4004
-390,1487,4022
-424,1494,4049
-419,1487,4056
-409,1473,4041
-404,1461,4034
-395,1464,4025
-377,1465,4012
-398,1462,4026
-429,1470,4031
-420,1467,4025
-397,1465,4025
-396,1458,4015
-405,1450,4019
-410,1458,4026
-407,1461,4024
-419,1454,4014
-412,1445,4035
-407,1464,4041
-423,1463,4042
-424,1469,4057
-429,1480,4056
-433,1490,4073
-451,1480,4077
-453,1477,4068
-419,1485,4077
-414,1491,4070
-446,1476,4066
-442,1468,4062
-467,1466,4065
-456,1470,4055
-454,1464,4049
-446,1474,4054
-444,1477,4048
-451,1470,4049
-456,1462,4046
-432,1459,4037
