AccelerometerX,AccelerometerY,AccelerometerZ
-361,571,4204
-351,567,4189
-342,588,4178
-394,617,4195
-437,603,4210
-450,576,4208
-409,566,4197
-323,579,4150
-307,564,4139
-310,561,4135
-317,582,4145
-355,588,4178
-388,571,4169
-411,604,4170
-424,605,4208
-394,566,4219
-318,544,4187
-269,559,4164
-261,577,4174
-299,593,4192
-351,585,4221
-373,580,4245
-327,567,4227
-358,574,4295
-365,585,4289
-371,591,4278
-376,578,4258
-356,562,4267
-342,550,4250
-312,546,4223
-307,550,4208
-346,567,4224
-377,556,4236
-392,533,4239
-409,553,4226
-414,577,4220
-406,584,4244
-400,585,4248
-382,586,4224
-335,566,4203
-321,542,4188
-334,554,4193
-378,571,4202
-399,568,4221
-396,564,4209
-394,569,4210
-380,569,4202
-351,557,4181
-331,571,4193
-326,553,4195
-331,545,4191
-371,544,4203
-388,555,4217
-378,568,4201
-375,555,4194
-360,541,4200
-357,542,4201
-356,580,4199
-348,601,4197
-338,591,4206
-369,586,4210
-373,580,4227
-381,587,4253
-349,573,4244
-317,568,4237
-305,576,4203
-333,597,4180
-384,589,4221
-421,562,4259
-417,572,4245
-388,591,4220
-336,564,4204
-307,553,4181
-365,593,4207
-384,593,4207
-342,582,4197
-322,577,4198
-303,571,4179
-305,589,4188
-371,558,4210
-362,560,4191
-338,566,4186
-327,565,4183
-322,572,4179
-343,584,4181
-381,595,4196
-416,594,4207
-390,573,4205
-338,582,4187
-301,585,4171
-296,577,4157
-311,599,4174
-418,568,4219
-370,552,4206
-327,573,4188
-329,601,4187
-407,561,4208
-383,575,4212
-349,584,4198
-340,585,4194
-333,580,4195
-327,577,4204
-337,572,4208
-355,575,4212
-408,569,4231
-389,565,4234
-353,564,4207
-315,555,4198
-311,565,4188
-329,569,4185
-360,572,4193
-388,579,4216
-381,573,4221
-354,569,4227
-326,579,4198
-330,579,4194
-340,559,4214
-324,568,4209
-306,578,4213
-326,574,4206
-350,561,4206
-364,573,4206
-374,584,4221
-350,576,4222
-341,570,4227
-353,565,4219
-358,553,4223
-358,553,4222
-345,575,4209
-347,606,4219
-366,590,4243
