AccelerometerX,AccelerometerY,AccelerometerZ
103,864,4151
115,864,4130
126,860,4132
124,861,4151
104,862,4153
82,860,4151
46,852,4179
33,852,4188
40,847,4191
56,841,4212
87,829,4215
108,811,4201
119,807,4203
101,805,4207
65,820,4218
70,814,4226
74,823,4219
63,845,4198
58,857,4203
72,856,4184
81,852,4183
84,852,4182
104,857,4183
109,852,4177
96,844,4172
83,853,4171
87,842,4172
87,840,4183
71,856,4192
53,841,4200
48,830,4196
49,837,4185
63,841,4184
63,834,4184
57,822,4171
52,832,4180
44,846,4197
30,846,4180
39,837,4164
60,847,4152
77,853,4150
81,846,4153
62,842,4157
51,847,4167
57,839,4168
72,841,4159
89,843,4169
80,842,4162
84,842,4156
87,841,4155
72,831,4169
79,835,4190
69,842,4175
64,832,4183
62,834,4194
48,843,4179
63,851,4177
82,849,4182
103,828,4195
119,830,4188
126,832,4164
115,836,4150
97,859,4166
53,872,4157
35,877,4157
46,868,4175
49,869,4178
42,851,4163
46,832,4176
62,827,4172
59,829,4174
53,821,4180
42,814,4209
60,821,4201
50,826,4198
44,831,4188
65,832,4175
76,844,4164
66,848,4156
70,842,4162
66,830,4145
64,843,4148
59,866,4149
48,871,4155
55,854,4155
82,851,4155
93,849,4154
92,837,4154
76,839,4157
54,839,4171
52,863,4179
38,863,4175
46,858,4184
45,852,4177
61,832,4180
95,823,4181
105,827,4187
90,833,4190
87,840,4191
83,836,4171
48,835,4175
28,837,4182
35,840,4183
49,839,4180
55,849,4176
48,847,4172
62,846,4173
69,841,4158
79,837,4151
86,842,4158
72,831,4163
38,832,4168
30,840,4201
39,832,4206
64,834,4173
73,831,4153
68,820,4157
72,841,4151
58,860,4137
54,867,4137
64,852,4145
68,852,4139
64,845,4154
64,852,4164
37,832,4189
33,831,4198
33,823,4197
30,808,4199
64,788,4180
87,789,4166
82,806,4182
61,817,4210
30,829,4239
28,851,4258
16,844,4243
27,831,4230
68,812,4207
112,821,4194
142,833,4173
111,840,4186
20,857,4182
1,860,4192
-8,861,4199
-13,864,4195
-3,849,4190
19,827,4169
39,823,4159
58,840,4168
50,865,4185
8,860,4199
-35,851,4211
3,815,4204
16,819,4179
5,821,4164
-12,833,4169
-12,835,4167
2,849,4171
14,853,4179
21,867,4187
22,882,4178
23,871,4163
40,862,4152
60,856,4146
64,833,4155
67,826,4163
39,821,4191
30,815,4195
55,834,4192
71,863,4189
52,866,4194
20,844,4199
22,840,4186
25,877,4154
-1,869,4161
-15,869,4175
-24,861,4181
-13,864,4182
6,839,4165
19,811,4152
29,806,4152
31,820,4162
26,824,4175
18,828,4202
-6,841,4199
1,831,4181
36,831,4173
48,840,4177
58,873,4180
65,884,4176
53,885,4172
43,878,4181
45,888,4177
68,891,4159
77,877,4165
83,859,4188
48,856,4197
16,850,4199
2,838,4209
-8,834,4210
-1,832,4213
1,830,4209
3,817,4197
10,829,4200
-1,836,4189
-20,843,4172
-46,832,4182
-28,860,4197
-2,886,4197
16,892,4179
25,876,4166
16,877,4168
51,877,4170
57,889,4172
57,881,4187
46,878,4212
47,857,4235
52,834,4243
51,806,4237
61,810,4207
47,846,4200
33,870,4219
23,865,4219
18,850,4220
18,874,4222
28,877,4217
59,854,4189
81,853,4146
95,861,4119
96,877,4092
73,906,4091
29,911,4119
8,905,4120
-9,900,4126
-18,885,4116
-10,865,4115
6,854,4110
21,850,4117
15,855,4120
8,844,4113
-13,850,4115
-26,845,4111
-30,851,4106
-24,849,4112
-15,873,4102
-11,888,4093
-10,880,4109
-4,891,4104
-14,896,4094
-4,899,4079
23,905,4077
34,897,4086
36,898,4084
26,884,4091
20,875,4115
31,876,4127
33,863,4145
21,860,4136
13,850,4156
0,861,4173
-14,888,4190
-23,878,4204
-5,855,4205
34,870,4189
18,894,4206
-7,886,4222
4,860,4231
12,867,4243
5,876,4246
-2,872,4258
29,864,4255
51,855,4239
57,852,4220
39,866,4241
29,863,4255
10,853,4252
5,846,4240
-7,836,4209
4,837,4228
3,836,4230
11,837,4217
4,851,4203
-15,866,4212
-24,861,4244
4,849,4266
22,837,4277
40,843,4269
71,862,4302
70,864,4336
73,850,4358
89,835,4373
100,865,4427
128,904,4481
145,920,4575
231,925,4687
259,911,4791
258,939,4905
255,1000,5082
251,1066,5301
342,1073,5423
421,999,5532
504,981,5607
567,995,5671
654,994,5693
748,1006,5706
718,1051,5731
616,1093,5760
536,1095,5791
602,1114,5729
653,1143,5700
630,1195,5657
576,1261,5653
492,1321,5704
434,1334,5801
398,1310,5826
462,1306,5746
598,1345,5628
691,1408,5481
697,1399,5356
744,1399,5325
778,1406,5218
794,1383,5141
801,1411,5061
788,1488,4883
748,1537,4754
701,1568,4575
631,1559,4399
488,1495,4267
395,1425,4126
343,1441,4035
257,1535,3955
136,1616,3796
13,1617,3605
-80,1565,3381
-156,1482,3097
-178,1415,2768
-156,1394,2428
-66,1433,2141
-19,1628,1878
-108,1766,1643
-252,1721,1440
-396,1659,1319
-510,1774,1188
-501,1945,1017
-350,2047,811
-175,2047,600
38,1974,394
352,1946,129
704,1977,-56
932,1972,-170
1073,1897,-269
1131,1737,-250
1037,1614,-283
1005,1626,-409
