AccelerometerX,AccelerometerY,AccelerometerZ
-607,791,4219
-628,822,4188
-557,884,4222
-655,852,4138
-619,785,4182
-484,836,4153
-425,811,4090
-376,786,4035
-357,829,4052
-401,821,4078
-392,860,4089
-352,856,4101
-311,802,4090
-291,741,4097
-318,762,4167
-382,781,4181
-378,780,4176
-305,820,4182
-311,842,4149
-342,846,4105
-343,859,4069
-380,845,4023
-373,817,3940
-369,749,3842
-378,658,3748
-379,660,3734
-482,693,3787
-625,711,3842
-679,754,3926
-695,781,3982
-634,786,3986
-530,792,3991
-481,755,4037
-485,710,4116
-476,697,4184
-480,709,4219
-475,683,4233
-443,675,4261
-446,676,4290
-468,670,4309
-486,707,4371
-519,708,4404
-517,682,4398
-492,654,4386
-446,624,4387
-440,613,4394
-457,616,4400
-481,618,4394
-516,611,4382
-529,623,4357
-566,617,4324
-571,629,4331
-571,658,4327
-569,673,4299
-565,638,4258
-540,625,4208
-551,616,4180
-599,612,4170
-612,611,4171
-605,607,4178
-622,607,4203
-635,616,4215
-633,613,4243
-638,632,4306
-628,638,4382
-585,646,4418
-547,656,4446
-533,655,4467
-536,655,4453
-536,663,4463
-555,664,4458
-550,648,4439
-564,637,4421
-590,640,4425
-595,651,4427
-590,630,4403
-564,608,4352
-556,589,4300
-564,581,4272
-565,585,4251
-572,592,4226
-576,586,4213
-590,581,4207
-567,580,4192
-546,550,4167
-537,548,4130
-552,559,4135
-583,584,4155
-619,591,4151
-620,594,4121
-591,598,4092
-587,583,4069
-577,584,4066
-584,612,4075
-610,617,4076
-607,608,4064
-566,615,4052
-551,613,4050
-567,608,4067
-563,623,4110
-574,611,4130
-572,592,4123
-534,610,4125
-540,613,4149
-547,601,4149
-545,597,4149
-559,612,4155
-559,619,4180
-558,629,4207
-546,629,4210
-554,625,4214
-552,622,4225
-561,611,4226
-555,606,4216
-557,616,4226
-585,630,4256
-602,611,4267
-592,609,4269
-609,600,4273
-586,610,4261
-582,606,4254
-609,602,4244
-597,598,4234
-592,597,4236
-585,595,4227
-575,594,4207
-572,600,4204
-582,598,4202
-580,604,4190
-586,611,4178
-573,615,4160
-579,622,4167
-566,613,4141
-572,617,4136
-576,621,4147
-579,621,4128
-582,620,4111
-577,618,4126
-581,622,4141
-584,613,4143
-584,618,4140
-608,628,4150
-613,627,4176
-585,636,4183
-594,627,4169
-598,612,4164
-586,608,4163
-579,625,4173
-630,633,4177
-643,630,4179
-609,628,4194
-596,619,4184
-596,620,4175
-608,623,4184
-615,617,4210
-616,617,4215
-607,606,4195
-609,603,4202
-606,606,4196
-597,611,4216
-591,620,4219
