AccelerometerX,AccelerometerY,AccelerometerZ
-598,1031,4478
-1118,1519,4951
-1595,1675,5672
-1857,1648,6435
-2041,1625,7192
-2056,1507,7811
-1646,1566,8130
-1137,1739,8201
-1038,1726,8312
-1005,1425,8580
-842,979,9105
-767,518,9589
-733,274,9718
-707,392,9469
-863,741,8982
-1217,1032,8449
-1504,1193,8000
-1629,1314,7617
-1705,1337,7211
-1768,1248,6777
-1761,1111,6341
-1616,1029,5894
-1397,908,5465
-1136,811,5067
-912,828,4729
-816,984,4427
-808,1135,4180
-833,1118,3955
-844,1010,3782
-833,879,3706
-777,777,3664
-685,731,3635
-608,731,3591
-605,789,3554
-682,891,3612
-776,945,3686
-813,925,3722
-802,881,3785
-748,864,3853
-663,841,3878
-577,851,3865
-570,900,3862
-564,952,3820
-552,998,3828
-561,1040,3857
-576,1073,3943
-599,1053,4012
-674,992,4097
-757,975,4186
-784,953,4212
-732,937,4191
-660,945,4141
-615,963,4110
-587,952,4106
-579,930,4113
-587,917,4116
-599,918,4138
-590,932,4135
-591,954,4110
-583,990,4077
-613,1009,4072
-621,998,4092
-643,968,4107
-650,947,4099
-611,947,4083
-581,948,4090
-604,988,4112
-619,1020,4130
-610,1041,4161
-623,1020,4191
-618,980,4176
-610,940,4135
-606,917,4091
-591,927,4084
-574,985,4112
-590,1024,4145
-645,1015,4172
-681,997,4185
-688,982,4144
-640,959,4079
-600,983,4054
-581,1017,4038
-600,1046,4066
-666,1041,4120
-699,1002,4115
-698,963,4109
-651,952,4075
-597,972,4004
-572,1005,3994
-566,1040,4017
-591,1069,4041
-641,1064,4072
-690,1082,4106
-758,1086,4131
-769,1042,4120
-711,1024,4088
-654,1039,4049
-618,1067,4024
-599,1079,4023
-620,1073,4056
-666,1073,4089
-718,1066,4098
-739,1083,4127
-714,1084,4155
-665,1069,4123
-633,1092,4085
-650,1125,4088
-670,1108,4128
-687,1070,4174
-685,1060,4195
-664,1071,4191
-660,1058,4187
-628,1056,4174
-580,1080,4174
-574,1076,4151
-598,1078,4181
-636,1059,4221
-632,1011,4164
-627,1018,4130
-646,1066,4120
-631,1077,4130
-581,1074,4124
-560,1099,4112
-587,1132,4116
-623,1110,4095
-640,1078,4086
-639,1045,4107
-600,1013,4125
-548,1033,4105
-548,1056,4088
-609,1071,4090
-659,1093,4098
-676,1090,4087
-670,1082,4080
-645,1080,4088
-612,1067,4069
-598,1058,4062
-590,1066,4078
-604,1089,4089
-644,1083,4089
-674,1058,4090
-691,1049,4087
-695,1056,4083
-696,1078,4088
-692,1089,4088
-716,1100,4087
-737,1098,4079
-748,1065,4079
-723,1054,4084
-694,1079,4097
-670,1121,4108
-661,1128,4123
-687,1117,4137
-690,1103,4140
-673,1088,4123
-685,1096,4127
-685,1091,4142
-660,1082,4156
-666,1099,4154
-701,1124,4151
-735,1111,4137
-756,1076,4113
-745,1057,4071
-784,1080,4052
-838,1115,4050
-909,1149,4073
-957,1217,4101
-1016,1251,4094
-1061,1246,4071
-1099,1225,4036
-1114,1219,4034
-1094,1216,4063
-1098,1233,4048
-1142,1245,4026
-1179,1251,4021
-1206,1262,4013
-1235,1277,4004
-1289,1302,4037
-1343,1316,4082
-1419,1297,4113
-1503,1280,4128
-1572,1258,4138
-1613,1258,4197
-1607,1252,4172
-1571,1296,4120
-1544,1323,4120
-1492,1318,4078
-1427,1348,4058
-1404,1395,4091
-1394,1440,4113
-1418,1484,4112
-1465,1467,4132
-1483,1445,4139
-1477,1435,4120
-1452,1412,4134
-1429,1384,4155
-1372,1348,4169
-1263,1320,4125
-1149,1288,4082
-1070,1247,4018
-946,1228,4002
-835,1209,4011
-740,1203,4032
-741,1224,4050
-835,1234,4048
-916,1224,4088
-914,1207,4140
-811,1176,4135
-678,1172,4105
-545,1156,4060
-427,1097,4009
-373,1040,3992
-304,1005,4000
-230,1015,3966
-230,1065,3965
-274,1084,4035
-297,1057,4077
-287,1013,4105
-245,985,4064
-233,1022,4050
-199,1027,4035
-126,980,4031
-71,905,4063
-6,858,4077
45,858,4101
63,888,4129
45,912,4105
15,913,4098
-6,918,4118
-18,956,4171
-9,978,4203
2,977,4201
12,968,4208
65,913,4162
167,898,4068
230,969,4025
273,1043,4009
279,1087,4038
193,1125,4102
51,1128,4162
-60,1086,4172
-92,1037,4186
-27,1030,4157
62,1070,4123
96,1116,4082
112,1147,4064
100,1161,4068
50,1153,4091
-4,1124,4108
-69,1104,4136
-106,1088,4147
-143,1103,4125
-166,1114,4092
-147,1131,4045
-151,1202,4055
-186,1244,4085
-246,1231,4128
-299,1180,4169
-304,1160,4178
-286,1179,4169
-269,1197,4128
-271,1207,4095
-296,1275,4105
-325,1296,4128
-359,1267,4154
-376,1229,4175
-395,1219,4132
-410,1233,4094
-409,1266,4064
-411,1304,4056
-445,1316,4088
-478,1318,4137
-491,1290,4145
-486,1267,4112
-499,1287,4079
-478,1283,4042
-437,1294,4036
-424,1316,4067
-445,1317,4106
-464,1316,4135
-486,1322,4133
-493,1313,4115
-507,1324,4096
-509,1310,4111
-495,1299,4133
-493,1305,4141
-504,1316,4107
-519,1328,4096
-525,1333,4093
-519,1330,4090
-531,1340,4133
-519,1325,4141
-513,1302,4136
-507,1311,4112
-511,1311,4050
-512,1318,4038
-505,1354,4052
-479,1359,4069
-475,1338,4072
-467,1325,4073
-472,1307,4056
-481,1305,4031
-495,1311,4015
-491,1337,4011
-461,1342,4021
-449,1330,4044
-430,1301,4039
-408,1263,4009
-409,1253,3982
-414,1272,3961
-429,1318,3961
-444,1347,3967
-459,1357,3983
-455,1363,4005
-445,1352,4016
-425,1321,4011
-410,1314,4012
-427,1335,4007
-458,1357,4016
-487,1343,4040
-500,1347,4075
-519,1336,4095
-536,1322,4115
-543,1334,4117
-557,1325,4119
-553,1329,4125
-546,1343,4128
-527,1336,4131
-514,1318,4139
-497,1322,4135
-482,1335,4127
-499,1334,4138
-524,1337,4137
-532,1318,4136
-530,1286,4104
-504,1294,4088
-482,1316,4122
-437,1327,4055
-459,1321,4044
-484,1326,4064
-507,1347,4083
-526,1345,4080
-554,1340,4095
-542,1312,4079
-526,1298,4046
-536,1295,4039
-535,1299,4036
-520,1299,4039
-511,1309,4038
-525,1305,4045
-525,1299,4028
-532,1318,4016
-542,1335,4020
-547,1349,4037
-544,1337,4053
-538,1316,4042
-553,1322,4047
-543,1324,4050
-539,1293,4015
-534,1274,4016
-536,1273,4038
-529,1277,4030
-532,1304,4022
-534,1332,4046
-538,1340,4086
-524,1340,4104
-508,1337,4107
-502,1359,4093
-498,1370,4099
-512,1352,4120
-503,1320,4143
-490,1286,4174
-481,1281,4187
-482,1269,4187
-476,1289,4180
-495,1303,4166
-516,1293,4151
-522,1310,4169
-526,1324,4173
-536,1317,4188
-546,1293,4190
-509,1294,4167
-480,1305,4123
-480,1324,4104
-463,1324,4119
-432,1294,4169
-449,1267,4224
-454,1258,4280
-409,1264,4347
-377,1285,4481
-387,1337,4679
-408,1481,4903
-488,1775,5277
-509,2066,5742
-582,2186,6294
-785,2133,6833
-1118,2089,7282
-1436,2069,7593
-1573,2052,7821
-1622,2131,7986
-1641,2338,8117
-1742,2704,8414
-1935,3116,8853
-2019,3271,9098
-2008,3060,9090
-1874,2603,8739
-1548,2163,8047
-1251,1870,7297
-930,1811,6628
-753,1764,6094
-767,1643,5690
-890,1441,5248
-1024,1145,4693
-1097,819,3997
-1309,520,3357
-1590,299,2775
-1650,166,2228
-1384,132,1735
-830,160,1084
-172,223,315
340,376,-316
642,597,-687
936,799,-970
1083,915,-1286
1107,1004,-1490
1142,1005,-1645
1284,880,-1845
1546,826,-1992
1952,866,-2127
2212,956,-2252
2197,1094,-2207
1966,1242,-2043
1757,1357,-1914
1597,1347,-1783
1482,1207,-1686
1454,1071,-1618
1504,986,-1553
1577,1026,-1469
1618,1094,-1343
1532,1140,-1182
1311,1152,-964
977,1080,-716
724,934,-516
590,728,-294
557,473,-46
628,272,146
744,235,331
767,371,535
650,463,771
431,376,1168
-82,253,1709
-406,244,2325
-466,383,3001
-784,662,3842
-1390,892,4822
-1830,1194,5858
-2093,1593,6785
-1871,2049,7739
-1600,2158,8540
-1258,1860,8986
-1053,1587,9446
-1160,1410,10021
-1202,1419,10569
-1167,1576,10919
-1125,1780,11152
-1194,1940,11241
-1212,2031,11121
-1110,2216,10986
-892,2379,10847
-463,2449,10616
-110,2442,10449
-182,2413,10307
-359,2291,10170
-456,2140,10039
-583,1990,9928
-692,1855,9781
-671,1748,9585
-639,1643,9176
-647,1622,8639
-839,1494,8127
-982,1181,7529
-912,880,6981
-844,667,6372
-692,476,5882
-735,387,5311
-918,367,4693
-1101,261,4022
-1311,149,3448
-1486,33,2882
-1617,-101,2310
-1590,-233,1710
-1436,-332,1057
-1297,-323,483
-1083,-160,-95
-766,117,-692
-350,394,-1255
107,615,-1748
