AccelerometerX,AccelerometerY,AccelerometerZ
-842,808,4458
-906,873,4515
-860,928,4518
-747,1018,4427
-711,1175,4232
-871,1286,4190
-1127,1274,4268
-1279,1174,4347
-1135,1102,4294
-824,1177,4170
-601,1263,4103
-517,1231,4153
-427,1154,4116
-432,1089,3981
-590,1023,3883
-729,1025,3895
-757,1130,3968
-688,1267,4046
-627,1265,4111
-531,1193,4087
-458,1111,4017
-473,1080,3995
-514,1116,3935
-638,1210,3971
-738,1246,4074
-728,1260,4197
-738,1237,4249
-731,1194,4234
-677,1188,4161
-637,1218,4105
-716,1318,4185
-849,1367,4300
-833,1299,4278
-612,1218,4190
-374,1170,4052
-297,1141,3913
-423,1179,3864
-619,1236,3950
-791,1296,3988
-862,1301,4024
-849,1284,4006
-751,1262,3948
-536,1269,3860
-388,1284,3773
-385,1308,3832
-511,1339,3969
-645,1332,4002
-774,1292,4046
-815,1284,4102
-717,1295,4095
-540,1275,3984
-384,1242,3791
-333,1237,3642
-361,1251,3541
-373,1252,3449
-368,1242,3309
-435,1204,3130
-550,1074,2933
-635,964,2692
-683,937,2479
-677,919,2367
-655,873,2185
-747,775,2034
-825,729,2011
-829,723,1913
-788,748,1839
-765,705,1728
-814,494,1661
-828,220,1584
-779,52,1538
-568,-68,1359
-295,-153,1154
-175,-243,1065
-329,-358,1026
-575,-434,836
-691,-287,798
-911,37,981
-1238,120,1278
-1544,-39,1724
-1703,-280,2162
-1606,-532,2404
-1217,-697,2479
-628,-874,2377
-195,-1042,2347
-91,-1191,2495
-302,-1354,2824
-706,-1584,3309
-1125,-1871,3833
-1231,-2100,4327
-1004,-2214,4459
-843,-2292,4555
-737,-2603,4809
-551,-3007,5141
-376,-3273,5435
-433,-3243,5877
-983,-3107,6172
-1491,-2972,6667
-1592,-2892,7037
-1564,-3019,7227
-1557,-3184,7633
-1482,-3296,7957
-1340,-3331,8221
-1121,-3315,8305
-1027,-3244,8302
-1191,-3160,8309
-1562,-3171,8427
-2053,-3361,8553
-2371,-3581,8559
-2427,-3500,8441
-2610,-3185,8472
-3065,-3106,8651
-3451,-3174,8657
-3646,-3143,8476
-3867,-3116,8218
-4157,-3196,8022
-4380,-3220,7828
-4605,-3088,7610
-4917,-2935,7483
-5311,-2886,7340
-5510,-2949,7094
-5253,-2920,6702
-4823,-2783,6381
-4503,-2759,6187
-4329,-2792,6080
-4107,-2775,5913
-3793,-2759,5591
-3606,-2756,5383
-3348,-2732,5256
-3042,-2688,5080
-2836,-2724,4868
-2507,-2763,4631
-2089,-2732,4324
-1763,-2684,3991
-1536,-2587,3846
-1418,-2486,3661
-1323,-2426,3329
-1193,-2217,3137
-1182,-2015,2893
-1061,-1905,2711
-885,-1794,2520
-724,-1593,2353
-603,-1355,2265
-432,-1140,2125
-290,-977,1992
-297,-858,1841
-366,-758,1700
-290,-663,1522
-176,-525,1248
-48,-386,895
69,-229,729
168,-84,367
116,130,276
-153,391,459
-504,594,791
-707,707,1041
-532,823,1201
-221,1009,1246
-27,1183,1363
-20,1323,1467
-16,1362,1650
-35,1304,1944
-108,1241,2269
-225,1314,2517
-369,1463,2714
-568,1570,2960
-641,1601,3151
-561,1618,3273
-467,1610,3316
-421,1583,3343
-418,1550,3379
-394,1485,3386
-315,1471,3426
-349,1564,3564
-562,1635,3746
-737,1691,3928
-781,1740,4031
-715,1716,3986
-662,1658,3961
-631,1624,3949
-583,1692,3973
-592,1758,4042
-661,1762,4103
-712,1707,4144
-694,1675,4175
-657,1689,4205
-702,1682,4219
-703,1634,4195
-715,1611,4174
-713,1619,4148
-727,1652,4104
-743,1630,4050
-781,1630,4008
-827,1643,4029
-833,1598,4059
-802,1562,4037
-799,1562,3952
-843,1581,3906
-885,1607,3868
-932,1631,3838
-983,1644,3912
-1021,1623,3988
-973,1581,3971
-887,1573,3915
-739,1586,3824
-651,1587,3771
-676,1606,3787
-721,1649,3833
-808,1683,3945
-850,1665,4004
-751,1645,3930
-528,1654,3822
-335,1698,3788
-316,1705,3844
-374,1700,3871
-504,1739,3937
-645,1719,3998
-636,1631,4007
-480,1581,4030
-335,1562,4018
-277,1561,4024
-332,1548,4023
-509,1512,4057
-782,1470,4132
-1065,1424,4205
-1228,1387,4227
-1317,1406,4235
-1447,1451,4257
-1585,1453,4241
-1790,1372,4175
-2076,1270,4116
-2333,1225,4103
-2456,1203,4039
-2483,1179,3953
-2379,1211,3862
-2428,1189,3832
-2546,1222,3825
-2601,1226,3834
-2440,1153,3698
-2164,1164,3543
-2079,1182,3519
-2219,1108,3599
-2301,1007,3621
-2220,1098,3548
-2219,1555,3595
-2531,2008,3664
-2755,2057,3783
-2654,1891,3837
-2280,1798,3720
-1778,1827,3577
-1331,1869,3508
-975,1868,3439
-762,1888,3398
-599,2081,3373
-474,2434,3299
-390,2695,3178
-384,2874,3202
-370,2939,3427
-285,2931,3581
-125,2940,3663
83,2949,3607
388,2928,3513
633,2842,3418
831,2663,3305
984,2531,3337
975,2436,3418
817,2348,3573
632,2241,3835
523,2071,3971
563,1880,3963
770,1774,3875
902,1786,3900
842,1665,3996
711,1468,4035
589,1361,4177
485,1271,4357
421,1191,4491
444,1117,4483
627,1126,4391
788,1204,4266
713,1231,4223
453,1143,4203
192,1102,4333
36,1077,4538
90,1045,4566
318,1091,4420
472,1203,4360
478,1254,4315
402,1225,4246
330,1186,4154
252,1166,4101
176,1111,4082
174,1061,4028
264,1021,3878
271,1056,3759
38,1155,3837
-380,1129,4091
-682,1019,4325
-700,985,4333
-617,1037,4241
-586,1070,4254
-610,1073,4323
-671,1020,4244
-724,1012,4217
-743,1093,4150
-811,1127,4123
-846,1145,4210
-753,1119,4245
-601,1110,4173
-568,1185,4195
-580,1227,4235
-560,1218,4145
-582,1222,4051
-635,1278,4035
-704,1315,4082
-718,1378,4168
-635,1410,4266
-562,1388,4161
-633,1395,4068
-734,1424,4065
-832,1446,4035
-944,1456,4057
-998,1413,4108
-916,1371,4092
-748,1348,4006
-595,1350,3949
-561,1360,3939
-642,1325,3961
-726,1314,3996
-810,1356,4069
-868,1374,4177
-803,1379,4194
-687,1359,4165
-559,1326,4098
-477,1314,4056
-447,1329,4042
-551,1347,4064
-752,1312,4125
-922,1280,4146
-968,1341,4194
-916,1417,4226
-821,1430,4197
-758,1399,4148
-714,1379,4111
-696,1348,4102
-677,1336,4079
-674,1352,4055
-762,1356,4107
-843,1337,4165
-835,1324,4152
-758,1325,4056
-651,1336,3949
-566,1332,3798
-503,1322,3650
-509,1297,3511
-566,1231,3399
-648,1185,3281
-682,1150,3083
-633,1137,2792
-557,1089,2470
-546,951,2107
-604,771,1744
-625,661,1443
-559,608,1235
-474,479,1033
-461,384,877
-425,368,767
-347,391,751
-235,375,810
-183,318,890
-304,193,1003
-428,-20,1122
-420,-187,1107
-292,-162,1143
-171,46,1279
