sequence,AccelerometerX,AccelerometerY,AccelerometerZ,GyroscopeX,GyroscopeY,GyroscopeZ
173,-151,-152,993,-48,157,-104
174,-147,-157,1023,-33,210,-83
175,-153,-125,1036,30,175,-88
176,-161,-114,1061,100,93,29
177,-137,-144,1063,180,-52,74
178,-138,-147,1029,212,-196,35
179,-157,-151,993,143,-286,13
180,-152,-149,961,42,-235,7
181,-164,-163,945,-44,-120,-30
182,-159,-156,962,-93,19,-73
183,-153,-146,967,-117,132,-86
184,-164,-127,986,-79,177,-69
185,-149,-128,1013,-3,167,11
186,-144,-134,1030,102,66,50
187,-148,-153,1026,155,-81,44
188,-162,-153,1003,126,-179,46
189,-158,-158,984,89,-163,35
190,-147,-154,963,8,-106,17
191,-156,-160,956,-60,-34,-12
192,-161,-159,956,-68,81,-44
193,-150,-144,988,-52,171,-28
194,-155,-138,994,-44,177,5
195,-148,-143,1014,-29,132,21
196,-150,-140,1030,8,54,39
197,-141,-158,1034,42,-30,58
198,-149,-155,993,51,-87,42
199,-145,-161,979,34,-106,23
200,-144,-163,971,-7,-73,-8
201,-153,-165,977,-54,-34,-45
202,-152,-157,971,-91,15,-79
203,-171,-123,991,-74,79,-36
204,-155,-129,1013,-3,107,64
205,-151,-153,1025,100,69,68
206,-151,-156,1025,137,-28,50
207,-157,-177,999,122,-89,17
208,-157,-168,974,46,-102,-4
209,-157,-163,966,-33,-79,-40
210,-168,-166,945,-56,-18,-71
211,-162,-156,965,-58,69,-90
212,-155,-159,946,-50,153,-122
213,-154,-137,973,-74,177,-124
214,-148,-133,998,-68,192,-98
215,-145,-124,1023,-50,146,-18
216,-140,-133,1022,5,21,44
217,-140,-143,1001,83,-83,29
218,-157,-157,984,128,-122,9
219,-157,-169,970,89,-83,-6
220,-164,-179,948,7,-1,-32
221,-157,-158,966,-56,107,-45
222,-154,-155,994,-46,189,-44
223,-156,-149,1013,8,206,-36
224,-159,-146,1015,75,181,-30
225,-155,-159,1029,98,118,-30
226,-160,-156,1025,63,48,-36
227,-153,-157,1028,-29,-1,-44
228,-151,-166,990,-93,-20,-38
229,-155,-159,987,-83,-26,-40
230,-163,-150,980,-36,9,-44
231,-160,-158,969,14,62,-34
232,-160,-163,974,49,101,-34
233,-174,-164,985,55,134,-51
234,-168,-151,1002,57,171,-32
235,-162,-153,1021,36,140,7
236,-160,-144,1018,22,73,39
237,-146,-161,1012,14,3,39
238,-158,-171,981,5,-63,35
239,-167,-169,958,16,-67,13
240,-162,-173,952,-1,-18,-8
241,-164,-180,953,-9,60,-55
242,-163,-176,974,-11,138,-77
243,-168,-159,999,-7,192,-106
244,-171,-137,1015,30,210,-59
245,-162,-156,1061,91,165,46
246,-154,-169,1063,157,54,54
247,-172,-172,1014,147,-93,11
248,-172,-167,1002,79,-171,-8
249,-161,-171,962,20,-141,-36
250,-176,-162,960,-46,-54,-69
251,-173,-152,954,-83,71,-86
252,-172,-157,983,-77,179,-90
253,-168,-144,1023,-23,226,-51
254,-169,-128,1046,57,192,-12
255,-167,-140,1049,120,95,66
256,-168,-164,1039,165,-24,78
257,-171,-178,1037,178,-126,29
258,-174,-182,1002,106,-188,-6
259,-173,-157,982,16,-165,-55
260,-174,-166,957,-76,-99,-90
261,-171,-169,965,-115,-18,-128
262,-173,-161,945,-101,54,-141
263,-178,-132,991,-56,101,-118
264,-163,-140,1002,24,95,-51
265,-162,-153,1025,92,26,-34
266,-162,-160,1021,108,-69,-51
267,-161,-171,988,53,-132,-69
268,-156,-153,986,-15,-161,-86
269,-166,-160,952,-56,-149,-108
270,-164,-156,936,-66,-71,-116
271,-160,-152,931,-68,34,-135
272,-162,-139,961,-83,128,-137
273,-154,-128,981,-99,183,-59
274,-150,-136,996,-34,189,-14
275,-147,-130,1040,69,126,27
276,-157,-146,1024,143,15,35
277,-160,-156,1001,169,-69,17
278,-164,-160,986,98,-124,-4
279,-168,-161,957,-15,-112,-38
280,-164,-148,955,-124,-22,-73
281,-157,-149,943,-187,83,-110
282,-161,-141,953,-212,167,-116
283,-166,-136,982,-163,210,-85
284,-164,-131,1016,-118,232,5
285,-153,-157,1037,12,198,52
286,-158,-153,1051,92,62,42
287,-171,-171,1035,59,-71,33
288,-183,-178,1003,-7,-128,17
289,-178,-178,983,-48,-116,-16
290,-178,-177,944,-77,-67,-40
291,-174,-170,943,-77,9,-65
292,-177,-164,940,-56,99,-98
293,-169,-153,966,-40,165,-90
294,-172,-148,993,-13,189,-53
295,-177,-134,1032,32,157,-22
296,-157,-142,1029,71,79,39
297,-171,-163,1015,118,-9,42
298,-158,-153,998,108,-73,1
299,-163,-154,989,46,-100,-14
300,-174,-157,963,-44,-40,-24
301,-163,-157,949,-95,32,-53
302,-164,-159,962,-103,83,-65
303,-183,-143,1000,-66,134,-51
304,-179,-139,1001,1,153,21
305,-168,-156,1015,59,110,48
306,-169,-149,1025,79,17,68
307,-162,-161,1004,65,-54,68
308,-170,-177,979,34,-83,50
309,-175,-184,971,-17,-65,11
310,-165,-179,945,-79,-13,-40
311,-177,-165,952,-134,62,-71
312,-175,-157,981,-144,132,-77
313,-166,-150,981,-85,177,-61
314,-164,-150,1020,-11,171,-47
315,-171,-144,1022,32,128,-20
316,-185,-133,1019,59,67,54
317,-173,-163,1033,102,26,85
318,-180,-172,1000,112,-24,64
319,-179,-182,1000,48,-61,39
320,-194,-179,992,-42,-32,13
321,-180,-173,983,-93,25,-8
322,-190,-166,972,-107,48,-1
323,-189,-166,982,-44,54,-6
324,-178,-167,984,36,42,-30
325,-176,-154,994,69,5,-34
326,-183,-162,1000,71,5,-4
327,-172,-162,995,36,-9,-28
328,-165,-149,964,-13,-30,-38
329,-178,-153,980,-46,-30,-32
330,-178,-156,987,-34,21,-36
331,-166,-157,976,-38,60,-38
332,-188,-149,994,-48,83,-32
333,-187,-152,996,-42,97,15
334,-180,-147,1007,18,91,31
335,-165,-160,1009,75,34,29
336,-178,-170,1011,73,-42,11
337,-179,-169,988,26,-95,-10
338,-181,-162,990,-19,-93,-28
339,-182,-170,982,-44,-54,-51
340,-180,-157,966,-46,-24,-55
341,-196,-149,955,-1,36,-55
342,-185,-138,973,46,77,-14
343,-166,-157,1002,100,93,27
344,-180,-157,1014,128,64,13
345,-179,-154,1023,94,13,7
346,-178,-164,1009,51,-15,-1
347,-181,-166,987,-9,-24,-24
348,-186,-165,969,-58,-16,-47
349,-191,-162,961,-76,13,-73
350,-178,-159,983,-68,67,-100
351,-196,-153,984,-83,99,-79
352,-186,-144,992,-77,114,-67
353,-176,-137,1001,-29,103,-1
354,-161,-161,1013,63,38,48
355,-167,-166,1001,157,-28,33
356,-179,-164,993,135,-71,42
357,-178,-177,964,69,-38,29
358,-177,-158,975,-31,42,9
359,-166,-159,972,-95,99,3
360,-169,-163,975,-74,134,-32
361,-183,-151,974,-40,134,-30
362,-171,-159,998,-13,140,-1
363,-179,-161,995,-5,122,1
364,-184,-166,1013,-27,73,-1
365,-187,-173,998,-21,19,-1
366,-183,-178,972,16,-18,-8
367,-189,-186,957,38,-40,-38
368,-197,-178,942,18,-40,-73
369,-183,-175,936,-40,9,-106
370,-197,-175,937,-111,75,-145
