AccelerometerX,AccelerometerY,AccelerometerZ
-831,-929,4108
-811,-951,4101
-793,-945,4126
-814,-956,4086
-830,-970,4037
-795,-966,4034
-799,-955,4045
-823,-947,4010
-808,-949,3974
-796,-952,3987
-798,-982,3983
-833,-977,3979
-872,-982,4000
-868,-989,3988
-842,-993,3983
-844,-970,4005
-838,-969,4025
-838,-979,4025
-841,-956,4023
-843,-945,4049
-827,-971,4055
-831,-978,4067
-848,-977,4042
-922,-979,4022
-916,-973,4029
-905,-958,4050
-930,-969,4055
-891,-978,4074
-848,-969,4071
-862,-966,4055
-839,-968,4080
-859,-971,4077
-875,-983,4062
-880,-978,4071
-888,-993,4063
-868,-1004,4055
-844,-995,4054
-863,-983,4047
-870,-972,4033
-862,-955,4021
-838,-956,4041
-797,-982,4029
-773,-972,4053
-785,-987,4047
-820,-1000,4036
-857,-1015,4041
-862,-1039,4044
-862,-1041,4037
-882,-1022,4046
-890,-1019,4050
-832,-1002,4031
-793,-987,4010
-768,-983,4019
-723,-977,4024
-710,-961,4031
-704,-964,4031
-709,-958,4053
-719,-967,4044
-760,-956,4028
-820,-974,4039
-820,-1010,4044
-815,-997,4054
-830,-985,4060
-831,-977,4060
-784,-979,4059
-776,-980,4051
-785,-967,4037
-770,-978,4039
-773,-986,4077
-794,-997,4104
-751,-1000,4134
-772,-984,4172
-871,-979,4183
-905,-988,4213
-884,-1004,4206
-838,-1013,4257
-840,-1003,4291
-844,-994,4303
-833,-978,4329
-871,-942,4340
-942,-924,4367
-974,-941,4412
-1016,-981,4523
-1000,-1015,4642
-914,-1043,4717
-912,-1058,4789
-972,-1054,4836
-1000,-1046,4891
-916,-1025,5008
-943,-1024,5050
-953,-952,5102
-926,-918,5289
-989,-973,5544
-1001,-1022,5688
-1001,-1107,5647
-990,-1100,5654
-996,-1028,5794
-999,-1039,5865
-918,-1058,5785
-799,-1044,5756
-715,-956,5844
-694,-886,6005
-607,-910,5970
-520,-831,5924
-504,-709,6200
-364,-641,6521
-279,-733,6723
-133,-885,6733
-8,-949,6621
75,-937,6457
21,-966,6171
-62,-1000,5923
-140,-959,5645
-202,-942,5397
-39,-972,5274
103,-988,5008
234,-874,4541
270,-765,4107
219,-683,3649
234,-434,3158
197,-83,2955
39,9,2728
127,5,2516
407,157,2470
570,303,2445
460,278,2178
443,309,1728
433,392,1229
149,510,853
-157,687,799
-238,920,1005
-225,1015,1123
-71,1096,1086
406,1271,1103
671,1374,1281
626,1515,1456
346,1523,1433
230,1544,1400
433,1615,1548
588,1665,1704
540,1690,1786
538,1749,1842
635,1850,2028
714,1868,2230
955,1805,2278
1096,1781,2319
1191,1714,2497
1452,1660,2858
1697,1651,3116
1938,1606,3173
2261,1595,3226
2554,1607,3415
2678,1584,3615
2725,1602,3709
2824,1646,3779
2980,1619,3882
3243,1571,3920
3382,1589,3934
3391,1644,3993
3189,1593,4001
3033,1537,3967
2947,1494,3845
2860,1493,3709
2785,1473,3583
2748,1343,3410
2694,1257,3243
2598,1293,3187
2499,1249,3028
2351,1099,2799
2143,1044,2603
1904,965,2352
1791,938,2136
1689,951,2041
1549,1112,1919
1350,1355,1902
1127,1395,2059
1019,1182,2045
1073,962,1923
1342,871,1869
1203,708,1659
714,776,1526
280,1005,1687
-117,958,1838
-478,865,2017
-511,735,2213
-436,495,2233
-385,410,2216
-483,403,2265
-864,403,2251
-1308,498,2287
-1713,407,2569
-2120,157,2782
-2253,149,2955
-2157,184,2974
-2013,172,2984
-1796,120,3024
-1852,16,2905
-2169,-72,2792
-2371,-59,2875
-2564,-63,2997
-2873,-118,2981
-3060,-104,3059
-3126,-218,3214
-3272,-469,3173
-3440,-631,3200
-3687,-793,3318
-4030,-931,3369
-4342,-967,3517
-4598,-987,3847
-4685,-1085,4124
-4587,-1312,4358
-4442,-1595,4520
-4186,-1751,4607
-3879,-1756,4591
-3937,-1844,4450
-4175,-1927,4275
-4298,-1928,4448
-4230,-2048,4825
-3968,-2302,4977
-3069,-2427,5275
-2556,-2614,5447
-2388,-2708,5355
-2420,-2591,5358
-2709,-2682,5475
-2665,-2720,5650
-2188,-2724,5797
-1997,-2949,5811
-1806,-3189,5810
-1620,-3190,5808
-1799,-3141,5694
-1726,-3077,5879
-1675,-3092,5914
-1636,-3176,5699
-1416,-3084,5656
-1410,-3127,5454
-1184,-3145,5146
-756,-2999,5167
-305,-2886,5319
-95,-2803,5096
213,-2476,5138
254,-2343,5129
282,-2380,4757
717,-2285,4665
1263,-2164,4657
1312,-2087,4404
1345,-1940,4279
1417,-1786,4226
1306,-1744,4024
1306,-1620,3876
1446,-1566,3870
1647,-1591,3935
1707,-1548,3909
1506,-1498,3831
1273,-1465,3786
1146,-1476,3790
948,-1486,3787
744,-1450,3809
538,-1469,3798
365,-1447,3761
245,-1430,3886
134,-1456,3965
-38,-1439,4014
-213,-1386,4047
-269,-1364,4027
-232,-1318,3932
-228,-1240,3880
-93,-1256,3890
144,-1248,3836
338,-1229,3784
410,-1211,3731
352,-1158,3738
219,-1130,3710
65,-1126,3728
-85,-1131,3795
-240,-1174,3834
-358,-1178,3806
-418,-1154,3804
-461,-1165,3873
-508,-1227,3925
-544,-1217,3911
-534,-1196,3951
-542,-1184,3980
-548,-1154,4022
-506,-1149,4031
-466,-1102,4013
-511,-1084,3972
-522,-1085,3966
-470,-1114,4006
-429,-1127,4047
-436,-1142,4056
-465,-1161,4129
-506,-1168,4160
-565,-1172,4154
-620,-1188,4152
-654,-1198,4132
-677,-1211,4121
-668,-1201,4131
-640,-1160,4105
-564,-1135,4112
-572,-1150,4081
-570,-1146,4059
-522,-1114,4021
-533,-1126,3991
-521,-1156,3980
-483,-1170,3988
-493,-1148,4008
-548,-1169,4044
-549,-1175,4090
-588,-1140,4068
-614,-1127,4050
-593,-1131,4070
-618,-1127,4053
-555,-1116,4030
-481,-1123,4034
-484,-1147,4020
-519,-1128,3997
-567,-1147,3993
-589,-1159,3992
-633,-1179,4012
-620,-1175,4014
-626,-1169,4013
-578,-1186,4050
-528,-1188,4101
-498,-1178,4100
-482,-1173,4097
-515,-1184,4091
-523,-1183,4108
-524,-1195,4104
-541,-1183,4104
-569,-1180,4110
-574,-1194,4092
-532,-1203,4100
-535,-1202,4110
-547,-1205,4117
-532,-1192,4093
-523,-1184,4091
-572,-1188,4105
-601,-1198,4104
-564,-1199,4097
-578,-1207,4115
-596,-1201,4113
-580,-1211,4114
-548,-1211,4135
-564,-1226,4126
-582,-1216,4084
-595,-1223,4098
-609,-1236,4096
-588,-1231,4070
-553,-1226,4051
-529,-1223,4046
-539,-1214,4011
-523,-1204,4000
-492,-1191,3982
-500,-1193,3960
-478,-1194,3980
-469,-1198,3982
-465,-1208,3990
-462,-1205,3991
-470,-1191,3950
-501,-1175,3928
-494,-1169,3925
-508,-1159,3910
-532,-1174,3894
-516,-1175,3880
-537,-1160,3883
-575,-1155,3869
-593,-1137,3872
-598,-1125,3938
-585,-1109,4007
-650,-1096,4110
-745,-1130,4244
-792,-1137,4367
-788,-1150,4603
-903,-1193,4883
-1132,-1249,5170
-1116,-1290,5454
-1030,-1344,5830
-954,-1405,6304
-849,-1429,6710
-737,-1438,6963
-695,-1378,7231
-729,-1353,7593
-781,-1457,7896
-742,-1498,8180
-666,-1533,8402
-575,-1664,8522
-427,-1778,8501
-399,-1886,8336
-508,-2004,8072
-580,-2092,7696
-623,-2187,7225
-680,-2272,6641
-563,-2208,5928
-501,-2045,5459
-516,-1931,5135
-322,-1872,4579
126,-1723,4032
350,-1505,3532
322,-1318,3108
235,-1146,2773
44,-1013,2349
-14,-833,2088
-21,-715,1867
87,-583,1607
317,-364,1321
428,-171,1132
413,-5,934
499,245,823
575,477,882
728,537,893
877,580,864
1012,633,848
1130,745,855
1218,837,938
1143,870,989
1111,988,1158
1362,1107,1388
1744,1222,1724
2219,1413,2109
2618,1537,2319
3158,1705,2552
3564,1820,2945
3632,1759,3192
3630,1705,3385
3759,1721,3580
3774,1620,3727
3760,1479,3834
3826,1359,3851
3658,1256,3714
3330,1202,3546
3090,1120,3383
2809,970,3165
2528,883,2893
2266,846,2628
1966,857,2366
1571,892,2138
1350,896,1946
1364,945,1843
1362,902,1784
1291,820,1636
1168,844,1540
944,891,1553
756,895,1437
627,963,1421
562,959,1630
453,809,1784
371,635,1803
324,619,1861
299,657,1902
-24,569,1842
-451,540,1714
-698,508,1896
-846,236,2133
-1041,-23,2090
-1005,18,2007
-1179,25,2016
-1584,76,1902
-1891,167,1851
-2085,85,1996
-2194,-155,2111
-2349,-336,2202
-2502,-370,2262
-2834,-267,2320
-3336,-279,2417
-3581,-348,2544
-3678,-486,2890
-3609,-809,3276
-3410,-1001,3444
-3452,-1032,3437
-3908,-1047,3240
-4415,-1052,3218
-4657,-1166,3320
-4614,-1381,3499
-4129,-1551,3924
-3756,-1796,4040
-3501,-1772,3984
-3565,-1676,4017
-4062,-1667,4061
-4437,-1651,4186
-4352,-1735,4367
-4240,-1968,4515
-3851,-2043,4895
-3521,-2182,5080
-3555,-2281,5082
-3673,-2249,5165
-3876,-2308,5251
-3857,-2341,5487
-3414,-2454,5745
-2964,-2621,5846
-2817,-2727,5825
-2809,-2882,5818
-2932,-2974,5707
-3059,-3033,5661
-2898,-3153,5627
-2626,-3185,5541
-2398,-3091,5589
-2107,-3056,5649
-1817,-3131,5542
-1658,-3173,5478
-1609,-3156,5361
-1497,-3071,5214
-1358,-3015,5076
-1185,-3010,4931
-588,-2899,4985
-117,-2782,4822
75,-2710,4514
43,-2537,4396
-307,-2513,4189
-593,-2456,4015
-474,-2364,4024
-59,-2352,4138
514,-2272,4177
982,-2197,4156
1112,-2080,4120
891,-1979,3916
