AccelerometerX,AccelerometerY,AccelerometerZ
-140,709,4306
-146,708,4263
-125,718,4214
-111,723,4202
-115,720,4177
-123,703,4148
-133,695,4116
-140,714,4095
-162,730,4085
-178,740,4072
-184,748,4072
-211,748,4067
-217,766,4055
-216,746,4033
-200,727,4012
-179,757,4024
-187,784,4048
-189,775,4068
-189,758,4076
-180,754,4074
-156,763,4090
-165,787,4119
-174,784,4163
-147,782,4178
-123,771,4185
-105,761,4175
-108,753,4174
-94,756,4195
-101,767,4205
-121,791,4232
-144,783,4257
-131,770,4270
-108,765,4282
-126,753,4279
-122,736,4291
-107,741,4293
-113,745,4295
-118,731,4271
-115,745,4279
-130,754,4285
-132,735,4250
-133,732,4243
-161,722,4258
-180,732,4265
-176,753,4241
-186,748,4223
-184,752,4217
-194,760,4216
-225,751,4193
-239,732,4184
-253,738,4174
-255,747,4164
-269,748,4158
-254,758,4133
-248,762,4113
-255,753,4105
-232,751,4100
-202,754,4092
-179,752,4091
-174,760,4098
-170,757,4098
-173,767,4113
-164,773,4105
-158,765,4088
-153,762,4105
-139,771,4129
-142,763,4140
-147,766,4153
-123,770,4166
-135,755,4165
-145,751,4160
-149,755,4202
-170,741,4238
-166,750,4236
-150,744,4229
-138,738,4214
-135,747,4233
-155,736,4232
-163,725,4250
-179,720,4244
-196,735,4244
-181,727,4229
-156,726,4230
-145,733,4236
-154,709,4211
-144,700,4193
-124,713,4186
-128,722,4213
-139,734,4229
-140,730,4227
-148,722,4217
-137,725,4217
-123,708,4209
-135,707,4209
-150,717,4217
-156,730,4232
-168,722,4226
-165,714,4206
-146,714,4186
-163,724,4189
-175,736,4173
-182,737,4192
-165,740,4192
-139,742,4179
-131,712,4164
-116,708,4145
-123,732,4143
-154,735,4152
-172,737,4155
-169,739,4171
-172,728,4175
-175,722,4161
-191,719,4160
-188,726,4169
-179,735,4190
-181,733,4199
-171,735,4186
-146,730,4182
-135,713,4183
-147,721,4190
-178,722,4197
-180,718,4194
-160,715,4190
-164,719,4190
-179,707,4192
-191,708,4207
-190,691,4201
-191,711,4212
-202,720,4227
-200,707,4203
-189,699,4181
-189,700,4185
-187,709,4188
-181,703,4189
-179,699,4191
-183,695,4172
-182,694,4174
-162,705,4171
-174,696,4170
-195,696,4188
-186,702,4178
-180,693,4181
-155,685,4198
-138,686,4205
-155,690,4201
-154,703,4214
-152,706,4221
-144,698,4234
-139,707,4242
-153,697,4221
-177,685,4226
-172,685,4248
-177,688,4245
-193,688,4241
-192,692,4230
-204,688,4232
-191,677,4230
-175,680,4233
-186,673,4212
-193,669,4217
-194,677,4221
-225,683,4232
-209,688,4235
-189,681,4212
-214,667,4202
-207,672,4201
-176,674,4194
-165,666,4197
-169,678,4205
-167,690,4195
-164,675,4164
-154,658,4150
-151,662,4195
-178,674,4199
-184,665,4186
-176,663,4177
-161,664,4171
-150,659,4167
-166,654,4165
-178,672,4190
-170,672,4205
-141,658,4194
-128,657,4189
-144,655,4200
-154,655,4193
-166,653,4195
-173,661,4209
-178,658,4220
-176,645,4211
-148,659,4230
-147,670,4237
-139,644,4225
-118,639,4229
-136,636,4220
-148,646,4231
-162,637,4249
-159,631,4239
-148,642,4224
-130,655,4217
-138,637,4206
-146,629,4205
-154,640,4210
-165,636,4217
-153,634,4227
-120,643,4219
-130,621,4193
-132,631,4210
-135,641,4224
-142,629,4197
-135,619,4198
-133,640,4193
-167,647,4178
-174,643,4170
-166,638,4174
-158,646,4176
-152,671,4177
-134,650,4180
-117,641,4200
-119,638,4208
-109,623,4195
-111,619,4205
-117,616,4205
-136,627,4215
-153,642,4215
-172,641,4209
-173,640,4222
-156,638,4245
-146,614,4235
-123,617,4218
-130,625,4206
-132,636,4218
-138,643,4224
-150,633,4211
-167,622,4226
-155,623,4233
-154,625,4219
