AccelerometerX,AccelerometerY,AccelerometerZ,GyroscopeX,GyroscopeY,GyroscopeZ
-1250.0,-109.0,2477.0,1293.0,-638.0,-923.0
-1147.0,2495.0,4639.0,-232.0,-72.0,-674.0
-1050.0,2900.0,3182.0,66.0,435.0,-866.0
-341.0,2669.0,3101.0,-123.0,2328.0,77.0
205.0,1966.0,3390.0,-2155.0,5192.0,3638.0
36.0,1215.0,3553.0,286.0,5455.0,4868.0
-128.0,894.0,3353.0,4304.0,218.0,2381.0
-325.0,1064.0,3241.0,3464.0,-4254.0,910.0
-938.0,1730.0,3503.0,774.0,-2328.0,718.0
-1416.0,1480.0,3773.0,35.0,-503.0,1200.0
-1749.0,1187.0,3858.0,-454.0,-1248.0,881.0
-461.0,1650.0,2735.0,-233.0,-477.0,987.0
-1120.0,329.0,3942.0,694.0,1089.0,1352.0
28.0,-1367.0,3551.0,1628.0,1293.0,1466.0
-635.0,3067.0,2696.0,1861.0,952.0,1041.0
1244.0,6282.0,2143.0,1842.0,83.0,363.0
86.0,3442.0,2769.0,1814.0,-1443.0,-387.0
-405.0,1560.0,3447.0,1169.0,-2136.0,-1417.0
-94.0,886.0,3787.0,-2260.0,-4550.0,-3747.0
-305.0,2378.0,3669.0,1775.0,-5883.0,-5581.0
-772.0,1777.0,3458.0,-546.0,-1986.0,-3218.0
-787.0,1584.0,3496.0,-3702.0,-2570.0,-3111.0
-695.0,1707.0,3423.0,-2798.0,-1282.0,-1785.0
-674.0,1443.0,3467.0,-1194.0,-144.0,-364.0
-278.0,1523.0,3398.0,-872.0,198.0,33.0
-172.0,1559.0,3399.0,-1235.0,416.0,264.0
-70.0,1429.0,3328.0,-765.0,585.0,316.0
-37.0,1238.0,3347.0,-669.0,778.0,387.0
-203.0,1054.0,3332.0,-638.0,933.0,664.0
-259.0,1500.0,3212.0,-528.0,1087.0,844.0
-557.0,1478.0,3367.0,-726.0,1208.0,819.0
-928.0,464.0,3824.0,-821.0,1264.0,915.0
-894.0,798.0,3438.0,-873.0,1195.0,875.0
-521.0,1146.0,3348.0,-776.0,1043.0,790.0
-698.0,919.0,3397.0,-511.0,960.0,768.0
-796.0,911.0,3388.0,-561.0,822.0,562.0
-994.0,1311.0,3309.0,-1412.0,202.0,226.0
-127.0,745.0,3741.0,-1288.0,-492.0,-66.0
-619.0,1312.0,3338.0,-259.0,-181.0,-33.0
-411.0,1736.0,3394.0,-219.0,115.0,159.0
-479.0,1824.0,3310.0,-244.0,210.0,623.0
-416.0,1661.0,3339.0,68.0,442.0,877.0
-563.0,1458.0,3315.0,-112.0,680.0,1184.0
-653.0,1679.0,3308.0,226.0,786.0,1036.0
-735.0,1851.0,3294.0,955.0,893.0,506.0
-977.0,1705.0,3448.0,870.0,1056.0,260.0
-1043.0,1647.0,3470.0,507.0,900.0,-11.0
-1119.0,1480.0,3481.0,307.0,883.0,-137.0
-1312.0,1475.0,3523.0,318.0,956.0,-209.0
-1229.0,1685.0,3569.0,352.0,996.0,-242.0
-1168.0,1609.0,3637.0,-48.0,990.0,-410.0
-1342.0,1628.0,3503.0,-576.0,1032.0,-776.0
-858.0,1841.0,3501.0,-785.0,1142.0,-805.0
-1266.0,1653.0,3420.0,-878.0,1084.0,-574.0
-1229.0,1618.0,3321.0,-798.0,1132.0,-434.0
-1383.0,1967.0,3388.0,-812.0,1190.0,-243.0
-1543.0,1183.0,3842.0,-1041.0,1070.0,-46.0
-1223.0,987.0,3449.0,-993.0,1258.0,94.0
-570.0,912.0,3322.0,-955.0,1198.0,20.0
-140.0,7.0,3903.0,-1636.0,866.0,357.0
-198.0,-573.0,4075.0,-1704.0,1163.0,807.0
-448.0,330.0,4093.0,-1904.0,1073.0,998.0
-192.0,1421.0,3616.0,-2193.0,129.0,1022.0
-605.0,1963.0,3769.0,-1459.0,-264.0,1142.0
-1176.0,1381.0,3676.0,-1654.0,410.0,148.0
-865.0,1142.0,3577.0,-1366.0,733.0,74.0
-644.0,1082.0,3683.0,374.0,28.0,424.0
-955.0,1158.0,3333.0,2004.0,529.0,303.0
-1614.0,703.0,3809.0,1884.0,1891.0,370.0
-1718.0,1019.0,3148.0,640.0,2516.0,376.0
-1914.0,1199.0,3381.0,-160.0,2992.0,349.0
-1918.0,1215.0,3237.0,-297.0,3634.0,375.0
-1883.0,1153.0,3074.0,-325.0,4279.0,287.0
-1843.0,1171.0,3110.0,-463.0,4665.0,235.0
-1720.0,1205.0,3069.0,150.0,4622.0,352.0
-1685.0,1202.0,3087.0,759.0,4067.0,344.0
-1657.0,1181.0,3072.0,580.0,3418.0,273.0
-1691.0,1173.0,3006.0,469.0,2775.0,222.0
-1768.0,1186.0,3024.0,462.0,2233.0,180.0
-1868.0,1178.0,3009.0,462.0,1926.0,222.0
-1955.0,1181.0,2928.0,408.0,1848.0,270.0
-1942.0,1208.0,2908.0,373.0,1866.0,256.0
-1798.0,1238.0,2837.0,364.0,1978.0,218.0
-1740.0,1257.0,2727.0,389.0,2062.0,191.0
-1765.0,1330.0,2642.0,427.0,2113.0,180.0
-1863.0,1329.0,2657.0,472.0,2039.0,149.0
-1898.0,1239.0,2453.0,511.0,1926.0,113.0
-2054.0,1295.0,2225.0,482.0,1988.0,97.0
-2365.0,1450.0,2110.0,462.0,2213.0,96.0
-2646.0,1470.0,2058.0,456.0,2483.0,72.0
-2729.0,1405.0,2031.0,394.0,2965.0,71.0
-2636.0,1313.0,2014.0,336.0,3469.0,73.0
-2512.0,1342.0,1945.0,432.0,3810.0,49.0
-2592.0,1474.0,2083.0,568.0,4016.0,0.0
-2689.0,1528.0,2195.0,568.0,3936.0,-95.0
-2759.0,1505.0,2106.0,511.0,3574.0,-230.0
-2790.0,1441.0,2054.0,477.0,3082.0,-313.0
-2613.0,1429.0,2000.0,555.0,2606.0,-330.0
-2470.0,1441.0,1919.0,630.0,2226.0,-306.0
-2475.0,1489.0,1929.0,557.0,1872.0,-287.0
-2525.0,1463.0,1817.0,462.0,1530.0,-294.0
-2848.0,1497.0,1838.0,357.0,1344.0,-335.0
-3111.0,1526.0,1984.0,247.0,1365.0,-357.0
-3281.0,1472.0,2156.0,146.0,1501.0,-385.0
-3442.0,1436.0,2221.0,59.0,1624.0,-451.0
-3726.0,1388.0,2414.0,-54.0,1875.0,-443.0
-3883.0,1463.0,2415.0,-143.0,2126.0,-392.0
-4050.0,1515.0,2448.0,-248.0,2240.0,-362.0
-4132.0,1613.0,2331.0,-393.0,2398.0,-328.0
-4229.0,1686.0,2323.0,-120.0,2482.0,198.0
-4458.0,1737.0,2308.0,24.0,2467.0,399.0
-5077.0,1576.0,2179.0,144.0,2461.0,661.0
-5213.0,1615.0,2027.0,211.0,2429.0,925.0
-5378.0,1639.0,1814.0,306.0,2386.0,1209.0
-5297.0,1572.0,1761.0,388.0,2318.0,1516.0
-4967.0,1492.0,1571.0,541.0,2251.0,1847.0
-4718.0,1517.0,1372.0,835.0,2003.0,2195.0
-4400.0,1539.0,1310.0,1121.0,1580.0,2518.0
-4027.0,1521.0,1477.0,1350.0,1035.0,2830.0
-3617.0,1426.0,1565.0,1475.0,293.0,3108.0
-3147.0,1513.0,1298.0,1498.0,-338.0,3394.0
-2659.0,1637.0,1048.0,1644.0,-1015.0,3726.0
-2293.0,1761.0,908.0,1809.0,-1652.0,4070.0
-1791.0,1895.0,590.0,1829.0,-1957.0,4414.0
-1402.0,1932.0,494.0,1867.0,-2169.0,4685.0
-955.0,1984.0,461.0,2081.0,-2309.0,4891.0
-559.0,2081.0,305.0,2293.0,-2250.0,5058.0
-160.0,2132.0,159.0,2329.0,-2203.0,5102.0
218.0,2210.0,37.0,2335.0,-2320.0,5087.0
581.0,2269.0,-51.0,2289.0,-2482.0,5043.0
944.0,2303.0,-117.0,2147.0,-2693.0,4895.0
1271.0,2261.0,-158.0,2031.0,-2818.0,4687.0
1581.0,2232.0,-326.0,1885.0,-2883.0,4440.0
1888.0,2297.0,-557.0,1661.0,-2770.0,4119.0
2107.0,2438.0,-818.0,1373.0,-2486.0,3717.0
2208.0,2426.0,-1048.0,1003.0,-2076.0,3211.0
2109.0,2337.0,-1099.0,561.0,-1527.0,2599.0
1544.0,2208.0,-894.0,130.0,-962.0,1911.0
19.0,2040.0,80.0,-275.0,-390.0,1158.0
