sequence,AccelerometerX,AccelerometerY,AccelerometerZ,GyroscopeX,GyroscopeY,GyroscopeZ
171,95,-11,476,940,-5202,554
172,125,-8,435,1180,-4876,556
173,195,5,394,1298,-4495,556
174,241,55,391,1278,-4157,564
175,296,64,371,1167,-3933,679
176,323,64,339,1063,-3794,800
177,375,59,299,1085,-3683,839
178,396,44,257,1114,-3540,790
179,399,22,203,1091,-3321,706
180,461,35,174,956,-2940,558
181,453,65,160,821,-2495,408
182,498,73,138,604,-2036,339
183,524,73,120,323,-1638,224
184,553,108,143,92,-1323,115
185,555,130,134,-77,-1085,150
186,580,137,138,-128,-946,228
187,601,139,110,89,-874,236
188,626,138,79,284,-860,261
189,619,160,33,444,-821,296
190,606,168,6,620,-700,283
191,614,164,-29,731,-399,275
192,611,147,-51,712,-7,220
193,611,156,-51,528,370,152
194,588,175,-44,348,753,93
195,582,177,-29,282,1089,124
196,591,188,10,258,1362,173
197,585,214,64,245,1607,326
198,567,186,114,339,1792,554
199,534,172,149,450,1923,630
200,496,185,184,596,2050,648
201,425,174,210,538,2187,701
202,381,140,199,274,2294,738
203,329,111,201,-34,2437,660
204,408,111,227,-300,2819,533
205,441,136,262,-574,3310,494
206,378,172,347,-659,3624,556
207,338,216,394,-421,3835,669
208,286,226,441,-126,3866,828
209,204,212,508,-72,3734,982
210,156,274,546,-101,3651,1185
211,163,202,574,231,3716,1447
212,195,90,633,602,3894,1683
213,138,3,664,657,4112,1660
214,38,-75,666,307,4388,1480
215,-17,-106,702,-345,4626,1220
216,-126,-66,754,-806,4773,869
217,-220,9,887,-876,4817,581
218,-184,91,1047,-486,4995,546
219,-50,72,1160,-15,5118,882
220,-82,1,1258,342,4819,1175
221,-163,-75,1319,493,4458,1331
222,-235,-141,1410,346,4249,1216
223,-233,-171,1522,163,4021,947
224,-265,-167,1610,53,3753,679
225,-314,-161,1676,-124,3546,458
226,-310,-168,1747,-406,3460,382
227,-298,-163,1817,-554,3243,371
228,-300,-179,1851,-611,2796,472
229,-302,-175,1833,-587,2302,529
230,-346,-169,1823,-327,1860,529
231,-324,-246,1756,-138,1624,601
232,-315,-282,1698,-208,1480,529
233,-352,-287,1676,-511,1362,296
234,-338,-250,1594,-915,1319,124
235,-234,-249,1556,-1263,1194,58
236,-215,-129,1507,-1279,1085,29
237,-245,-94,1469,-714,900,197
238,-239,-137,1463,135,769,400
239,-240,-161,1403,639,626,468
240,-237,-214,1320,528,521,455
241,-241,-223,1301,75,521,283
242,-214,-221,1260,-538,550,97
243,-152,-181,1229,-1003,521,-145
244,-161,-77,1213,-1072,396,-294
245,-173,-43,1199,-804,329,-145
246,-166,-44,1192,-222,275,7
247,-166,-60,1195,356,134,97
248,-169,-75,1163,651,11,121
249,-173,-97,1124,491,-36,76
250,-160,-92,1095,8,-48,-53
251,-136,-72,1057,-472,-50,-170
252,-134,-54,1048,-689,-73,-223
253,-149,-25,1028,-587,-65,-227
254,-130,-49,1023,-275,-36,-170
255,-153,-18,1015,104,-9,-94
256,-145,-21,1057,354,-1,-14
257,-138,-10,1070,376,-13,29
258,-135,-43,1052,126,-48,13
259,-136,-50,1033,-228,-126,-83
260,-139,-35,1000,-562,-183,-143
261,-139,-33,988,-732,-184,-137
262,-142,-7,958,-587,-128,-88
263,-115,-6,956,-232,-77,15
264,-150,-15,981,192,-22,103
265,-143,-46,981,450,48,156
266,-131,-54,1008,374,112,210
267,-134,-64,1028,188,122,179
268,-134,-56,1024,26,83,124
269,-129,-48,1036,-111,32,85
270,-144,-35,1041,-181,-26,35
271,-137,-31,1036,-124,-50,58
272,-138,-45,1016,-5,-83,74
273,-141,-43,1006,128,-128,107
274,-142,-51,986,217,-118,124
275,-134,-46,1003,329,-73,140
276,-134,-44,1000,448,-46,130
277,-128,-23,993,444,-11,85
278,-128,-22,996,352,9,89
279,-131,-32,988,301,-11,72
280,-134,-22,992,264,-36,60
281,-120,-27,1002,216,-52,23
282,-120,-13,1006,114,-42,7
283,-118,12,1003,7,9,87
284,-118,3,1030,-27,32,179
285,-118,-5,1028,75,13,201
286,-126,-9,1030,217,-46,210
287,-127,-38,1025,301,-81,175
288,-129,-30,1018,282,-77,107
289,-120,-31,1015,217,-52,56
290,-113,-37,998,110,-30,5
291,-138,-33,999,16,3,-69
292,-128,-11,1007,-40,60,-124
293,-124,1,1036,-95,79,-139
294,-122,10,1031,-72,30,-120
295,-119,15,1033,48,-34,-34
296,-115,-12,989,190,-114,39
297,-140,-21,1011,268,-165,56
298,-132,-23,991,229,-147,42
299,-135,-13,989,100,-108,21
300,-144,-8,983,-23,-52,-36
301,-121,-8,982,-99,3,-110
