sequence,AccelerometerX,AccelerometerY,AccelerometerZ,GyroscopeX,GyroscopeY,GyroscopeZ
0,-10,-2,1006,1,1,-1
1,-7,-2,1009,-1,-1,-1
2,-5,-3,1000,3,1,0
3,-1,1,1024,-3,-1,2
4,-8,0,1012,-1,-3,-1
5,-12,-8,1003,-1,-1,-1
6,-4,-2,1006,1,3,2
7,-3,-9,1006,1,3,-1
8,-8,0,1005,1,3,-1
9,-3,-7,995,-1,-3,-1
10,-4,-5,1008,1,1,-3
11,-10,-3,1012,-1,-1,-3
12,0,1,1013,1,1,-1
13,-7,-2,1008,-3,-1,-3
14,2,1,1013,1,1,2
15,-3,-4,1007,-1,-3,-1
16,-1,-8,1000,-1,-1,-3
17,-10,-4,1011,-1,-3,-1
18,-15,-7,992,-1,-3,-1
19,-14,-11,1005,1,3,0
20,-9,-11,994,1,1,0
21,-2,-3,993,-3,-1,0
22,-10,3,992,-1,-1,0
23,3,2,995,-1,-3,-1
24,-11,-4,1007,-1,-1,-3
25,-6,4,1006,3,1,-3
26,-10,-8,992,-3,-3,0
27,-10,-3,1005,-1,-1,-1
28,-3,-4,1006,-3,-3,-5
29,-7,-5,1002,-1,-1,-3
30,-7,1,1012,1,3,-1
31,-10,-3,1007,1,1,0
32,-2,-10,1007,1,1,-3
33,-5,-8,1000,-5,-1,0
34,-8,-6,1007,-1,-3,0
35,-4,-5,1010,1,-1,-1
36,-3,-11,1005,-3,-1,2
37,-8,-7,1006,1,-1,-1
38,-6,4,1002,-3,-1,-7
39,7,5,1010,1,1,0
40,-3,5,1011,1,3,2
41,-6,1,1001,1,1,0
42,-4,-7,1011,1,1,-3
43,-5,-3,996,-3,-1,-3
44,-3,-6,1006,1,1,-5
45,3,3,997,-1,1,-1
46,-10,1,1008,1,3,0
47,-1,-6,1009,-1,-4,-5
48,-7,-5,1005,-1,-3,0
49,-4,2,1001,-3,-1,-1
50,3,3,1002,-1,-1,-1
51,-5,-6,1000,1,3,2
52,-4,-9,988,1,-1,-3
53,-10,-4,987,3,1,0
54,-15,-7,1010,-1,-3,0
55,-4,2,993,3,-3,0
56,-12,-2,997,-5,-1,2
57,-3,-7,992,-1,-3,-5
58,-6,-2,1003,-3,-1,-3
59,-8,0,1004,-1,-1,-1
60,-12,0,999,1,-1,-1
61,1,-8,1017,1,1,-3
62,1,-6,1005,-3,-3,-1
63,-1,7,1007,-3,-4,0
64,-3,1,1015,-1,-1,0
65,-1,-4,987,1,3,-1
66,-9,-8,1000,5,1,-1
67,-12,-3,1007,-1,-1,0
68,-5,-1,1005,1,-1,-1
69,-7,2,1014,-1,-1,-1
70,-10,-3,1007,-1,-1,0
71,-10,-6,989,-1,-3,-1
72,-6,-3,1014,-1,-1,0
73,-10,3,1005,-1,-3,-1
74,-7,-2,1000,-3,-3,-1
75,-6,-7,1005,-3,-3,-1
76,-11,-4,1009,1,1,-1
77,-9,-5,993,-1,-3,-1
78,-12,5,1001,3,1,-1
79,-8,-1,995,-1,-3,-1
80,-7,0,1009,1,1,2
81,-7,2,996,1,1,-1
82,-4,-6,992,1,1,-1
83,-16,1,1001,-1,-1,-1
84,-9,-7,1019,-1,-1,-1
85,-7,-8,987,-1,-4,-1
86,-8,-7,995,1,3,-1
87,-10,-1,1005,-1,-3,-7
88,1,-2,996,3,1,4
89,-6,-7,1001,1,1,-1
90,-8,-8,998,1,1,0
91,-11,-9,1001,-1,-3,-1
92,3,-6,1006,1,3,-3
93,1,-2,993,-1,-1,-1
94,-7,-4,1013,1,1,-3
95,-14,1,1008,1,3,-1
96,-6,-7,1002,-3,-1,-5
97,-9,-8,998,1,1,-3
98,-1,-13,985,1,1,-1
99,-15,0,994,-1,1,0
100,-10,-2,1012,1,1,-3
101,-14,4,991,-3,-1,0
102,-3,0,1010,-1,-1,-1
103,-6,-6,993,-1,-1,0
104,-7,-9,1013,-1,-1,0
105,1,-4,1006,1,1,-1
106,-12,-1,1019,1,1,-1
107,-15,-14,1009,-3,-1,-1
108,-9,3,1001,3,3,-1
109,-5,6,1005,2,2,-2
110,-4,0,1010,-2,-4,0
111,0,-3,1014,0,2,1
112,-3,-13,992,-6,-4,-4
113,-8,-15,997,-2,-2,1
114,-13,-5,1004,-4,0,-4
115,-8,0,1017,-2,-4,0
116,-14,1,1000,0,0,0
117,-5,-3,1013,-2,-2,0
118,-1,-7,1007,-4,-6,-2
119,-3,3,994,0,0,-2
120,-1,-6,1002,-2,-2,0
121,-2,-4,984,0,0,0
122,-7,-1,1010,-2,-4,1
123,-1,-6,1010,2,2,1
124,-6,1,1004,-2,-2,3
125,-2,-6,1006,0,-2,1
126,-6,-2,999,0,0,1
127,-12,-2,1005,-2,-4,-2
128,-8,-12,1004,0,0,0
129,-8,4,1006,-2,-4,0
130,-12,4,1003,-4,-2,0
131,-19,0,1006,2,2,5
132,-7,0,1010,0,2,-4
133,-11,2,1002,2,0,-2
134,-11,5,998,-2,-2,0
135,-6,10,1010,-2,-4,0
136,4,4,1006,0,0,0
137,-2,-4,985,0,2,1
138,-12,0,1000,-2,-2,1
139,-7,-1,1011,2,2,0
140,0,-6,1006,-4,-2,0
141,-9,0,1004,-2,-2,0
142,-7,4,1017,-2,-2,-2
143,-3,-11,1022,-4,-8,0
144,-1,-2,991,0,0,0
145,-6,4,993,0,0,0
146,-8,-5,994,-2,0,1
147,-15,-13,1016,0,0,-6
148,-7,-1,999,-6,-2,1
149,-6,1,1005,0,0,0
150,-3,-13,994,0,0,0
151,-4,-3,1002,-2,-4,0
152,1,1,1009,-2,-2,-2
153,-13,-7,1013,-4,-2,0
154,-4,-9,1005,0,0,1
155,-3,-8,1006,0,0,-2
156,4,-5,1002,0,0,-4
157,-6,-2,1002,-2,-2,0
158,0,1,1014,-2,-2,-2
159,-8,1,1001,4,0,-2
160,-17,-2,996,-2,-2,5
161,-11,-1,1009,0,4,-2
162,-9,-8,1007,0,0,0
163,-7,-9,1002,-2,-8,1
164,1,-1,1008,-2,-4,0
165,-6,1,1011,-4,-6,-2
166,-13,-6,1012,0,0,-2
167,-9,-2,1007,0,4,3
168,2,-4,1010,2,0,0
169,-4,1,1002,-2,0,1
170,-11,-3,1009,2,0,-4
171,-2,5,1008,-2,-2,1
172,-6,-11,997,-2,-4,-4
173,-8,0,999,-4,-2,-2
174,-4,-9,1007,0,2,1
175,-12,-2,998,0,-2,1
176,-3,0,1002,-2,-2,0
177,-9,-4,991,-2,-2,0
178,-9,-16,1020,-2,-6,0
179,0,4,986,-2,-4,1
180,-5,-2,999,0,4,0
181,0,4,1002,-2,-2,-2
182,-13,-2,1009,-2,-2,3
183,-8,0,1004,-2,-4,3
184,-5,-3,1014,0,-2,0
185,-9,-3,997,0,0,-2
186,-7,-4,1003,-4,-4,0
187,-12,2,1008,-2,0,0
188,-3,2,1006,-4,-2,1
189,-9,-3,1001,-2,-4,0
190,-3,-7,1004,-2,-2,1
191,-2,-4,1010,-4,0,-2
192,2,-8,991,-4,-4,0
193,-9,0,999,-4,-2,-2
194,-3,-2,965,-2,-4,-2
195,33,-36,1114,-4,-13,3
196,-2,-4,1022,0,12,5
197,-16,5,986,-8,-11,0
198,-17,-11,964,0,4,0
199,-6,9,985,-2,-2,3
200,-15,-8,1058,-2,-4,1
201,-4,0,1014,-4,-2,-2
202,1,-4,1026,-2,-4,0
203,-3,-4,961,-4,6,0
204,0,-6,1014,-2,-9,3
205,-7,-2,998,-4,4,0
206,-7,0,1019,-2,-6,-4
207,-4,0,1000,2,2,1
208,-8,-4,994,-2,0,-5
209,-1,5,1009,0,-2,1
210,-8,2,1008,2,0,-1
211,2,-4,1021,-2,-2,-1
212,-6,3,994,2,4,1
213,-2,-1,1009,0,-4,-1
214,-8,-5,985,-4,0,3
215,-7,-5,979,0,-2,-1
216,-3,6,992,2,4,-1
217,-10,-3,1019,2,0,1
218,17,11,1211,0,-4,1
219,-4,-4,981,2,7,1
220,-4,13,931,-4,-6,-1
221,-1,-5,960,0,6,1
222,-7,-5,994,2,2,1
223,-7,-2,1079,0,-8,-1
224,-16,9,998,2,7,-1
225,-1,-6,1034,0,-8,1
226,-8,6,961,2,9,1
227,-1,-2,1042,0,-8,1
228,-9,-5,1004,2,6,-1
229,-8,-11,1014,-2,-2,-1
230,-8,-1,991,2,2,-3
231,-8,1,983,0,0,-1
232,-10,-2,1007,-2,-4,-1
233,-12,4,1000,4,4,3
234,0,-7,1017,2,-4,-1
235,-4,4,989,2,2,1
236,-15,-16,1103,-6,-6,-1
237,-13,6,954,4,2,-1
238,-1,-1,933,2,6,-1
239,1,2,1045,0,-6,-1
240,-6,2,986,0,7,-3
241,8,0,1049,0,-4,-1
242,-15,-3,978,2,9,-1
243,-9,-8,1011,-6,-6,-1
244,-21,-5,989,2,4,1
245,-6,0,1015,-2,-6,1
246,-35,25,1191,2,-10,-1
247,0,3,928,2,9,-3
248,6,2,913,-2,-2,-3
249,-8,-7,1001,-2,-6,1
250,-18,-1,1001,0,6,-3
251,-6,-3,1105,0,-8,-3
252,-14,-1,955,2,11,-1
253,0,1,1034,-2,-12,3
254,-3,4,945,0,7,-1
255,1,-13,1015,0,-8,-3
256,-9,-6,996,2,4,-1
257,-4,2,998,-2,-4,-1
258,-14,-14,1006,0,-2,5
259,-13,-5,982,-2,2,3
260,-2,-2,1030,0,-4,-3
261,-6,3,984,2,4,1
262,-3,-11,1013,-2,-8,3
263,1,1,984,0,2,3
264,10,-11,1123,0,-14,1
265,4,13,1041,2,9,-1
266,-11,2,985,-4,-10,1
267,-4,-8,973,2,4,-1
268,-8,8,972,2,4,3
269,-11,-7,1070,0,-10,-1
270,-17,4,971,2,9,-3
271,-20,-4,1038,-2,-14,-5
272,-15,-2,974,2,11,1
273,2,-2,1024,-4,-10,5
274,-1,-5,990,2,6,-3
275,-2,10,1009,0,-6,-3
276,0,-3,995,0,0,-3
277,-14,-3,995,2,4,1
278,-10,-9,1049,-6,-8,-1
279,-8,1,980,2,7,-3
280,-1,1,975,2,4,-3
281,7,8,1030,-4,-6,-1
282,1,-1,1003,0,-2,-3
283,-3,-7,1023,-6,-14,-1
284,-38,-14,1015,0,0,-1
285,7,-2,978,2,13,-5
286,15,-6,1066,-2,-14,1
287,-10,-12,994,2,9,1
288,-13,9,972,-2,-4,-1
289,-12,6,1001,0,0,-1
290,-25,4,983,2,4,1
291,-2,-16,1032,2,-6,-1
292,-10,-14,972,2,6,1
293,6,-4,1019,-2,-10,-1
294,-12,1,976,4,6,1
295,-8,4,1006,-2,0,1
296,-9,7,1008,0,2,-1
297,-4,5,1004,0,0,-1
298,19,-28,1146,0,4,-1
299,-24,-9,904,-2,-4,-1
300,-19,2,940,2,8,-3
301,13,14,1082,2,-2,-1
302,1,12,978,2,2,-3
303,5,6,1033,-2,-6,1
304,-12,-3,981,0,8,-1
305,-63,-12,1125,2,-6,-3
306,7,-31,957,0,-2,1
307,3,-14,924,2,9,3
308,14,3,1097,0,-16,1
309,-11,14,952,2,17,-1
310,-2,1,1079,-2,-20,3
311,-26,4,936,2,21,3
312,-9,-15,1033,-2,-14,-5
313,-11,-9,984,4,8,1
314,1,3,1026,2,-2,-5
315,-7,12,1023,4,2,1
316,-14,11,975,0,4,5
317,1,-8,1145,0,-2,1
318,-33,8,969,2,8,-9
319,20,9,992,0,-4,-1
320,-15,4,968,2,4,-3
321,-1,-2,1011,0,-2,3
322,-20,-15,1036,0,0,1
323,-10,-3,984,2,4,-3
324,-6,-3,1031,0,-6,-7
325,-2,-2,972,2,2,1
326,-16,6,1147,0,-12,1
327,11,5,806,0,-8,-1
328,16,4,1027,2,11,-7
329,28,-8,975,-4,-10,-3
330,-2,-5,981,2,6,5
331,-19,-9,974,4,4,3
332,-18,-1,1028,0,-4,-5
333,-13,5,987,2,6,-1
334,-5,7,1038,-6,-8,3
335,-7,4,937,2,13,-1
336,5,-12,1024,0,-10,-1
337,11,-7,910,0,8,-3
338,-1,-9,1020,-2,-14,-3
339,13,5,1054,0,-2,-3
340,4,18,1011,-2,-4,-1
341,-6,-2,1000,2,2,5
342,-11,-6,990,0,-2,-1
343,-8,-28,1005,4,2,-3
344,-18,1,986,2,8,-3
345,-10,-12,1020,0,-2,-3
346,-1,-7,992,2,9,3
347,-18,1,984,4,-8,-1
348,-11,14,978,0,-12,-7
349,2,15,904,4,25,-3
350,27,-14,1115,0,-24,1
351,-17,-22,942,4,19,3
352,-9,-23,1031,-2,-10,1
353,-13,-7,987,2,6,-3
354,-13,11,1003,0,-4,-1
355,-3,10,1025,0,0,1
356,-12,-6,982,0,6,3
357,18,-2,1043,-2,-6,-3
358,6,-23,920,-2,2,-3
359,21,14,1099,-4,-10,-3
360,-11,12,1036,0,0,3
361,20,0,970,0,-8,3
362,-10,-4,997,0,0,1
363,-16,1,997,-2,-4,-5
364,-9,-5,1019,0,0,-7
365,-17,-18,1024,2,4,3
366,-9,-15,1003,0,-2,3
367,-8,-9,984,0,0,1
368,-17,13,998,-2,-2,-1
369,-26,-15,1133,0,-30,-3
370,9,1,929,-2,4,3
371,19,-12,871,2,25,-1
372,31,-25,1137,0,-26,-1
373,-18,0,921,2,23,-3
374,-8,1,1089,-4,-16,-3
375,-20,20,934,2,17,1
376,-4,12,1013,0,-12,1
377,-6,-1,1007,2,2,-1
378,-1,-1,993,0,-2,-3
379,-6,-14,1046,0,-2,-1
380,-15,-2,970,2,6,3
381,-29,-30,1169,0,6,1
382,-12,-2,982,2,11,-1
383,-1,60,922,0,4,-5
384,6,28,996,2,2,3
385,-5,5,993,0,0,7
386,-5,-35,1042,-2,-6,-1
387,-13,-21,991,2,2,-3
388,-15,-5,1020,0,-6,-5
389,-15,6,969,2,6,7
390,-40,9,834,2,-4,7
391,-15,16,1163,0,-32,-1
392,38,21,1020,4,45,-9
393,22,-7,1015,-4,-18,-7
394,-6,-17,958,2,9,3
395,-26,-11,954,2,6,1
396,-24,-9,1077,-2,-8,5
397,-26,13,984,4,15,-3
398,-3,15,1067,0,-20,-1
399,-12,-3,934,2,17,3
400,46,2,812,2,-10,-3
401,-4,-26,977,0,-4,-3
402,5,17,1109,0,-4,-9
403,16,16,1017,0,-12,-1
404,-2,13,963,0,8,3
405,-8,3,988,0,-4,1
406,-16,-3,980,4,4,-7
407,-8,-15,1033,-2,-6,-7
408,-10,-23,1021,0,0,1
409,-5,-10,989,-2,-2,5
410,1,0,989,0,0,1
