sequence,AccelerometerX,AccelerometerY,AccelerometerZ,GyroscopeX,GyroscopeY,GyroscopeZ
0,-1,3,1007,-1,-3,-3
1,-2,-3,1001,1,1,-1
2,-3,-1,1011,-1,-1,-1
3,-2,-4,1005,3,-1,-4
4,-1,-4,1009,1,1,-1
5,-2,0,996,-5,-3,-1
6,0,8,1006,1,1,-1
7,1,-2,996,1,3,-1
8,-4,-9,1009,1,-1,-1
9,-7,5,1013,-1,-3,-1
10,-10,-5,995,-3,-3,-3
11,-11,-7,1006,1,1,-3
12,-6,1,995,3,1,-3
13,-1,-3,992,-3,-3,-3
14,4,-12,1015,-1,-1,-1
15,-10,-3,1002,-1,-1,3
16,6,0,1002,-1,-5,-1
17,-7,-9,995,-1,-3,-3
18,-3,-1,1004,-1,1,1
19,-1,-8,1001,-1,-3,1
20,1,-5,997,-3,-5,3
21,-10,-5,987,-1,-1,1
22,-10,-10,1032,-1,-5,-3
23,-7,-6,1008,1,1,-3
24,-6,-10,1006,1,3,-3
25,-11,3,1002,1,1,-3
26,-4,-12,993,-1,-3,1
27,-1,-16,1009,-1,-1,-1
28,-8,6,979,-1,-1,-3
29,-6,7,1017,-1,-3,1
30,-8,4,1006,-1,-1,3
31,-6,0,1008,1,1,5
32,-6,-8,993,1,3,-1
33,-7,-7,996,3,5,-8
34,-2,-5,996,-3,-1,-3
35,9,0,1004,-3,-4,-1
36,-1,-6,993,1,3,1
37,-4,11,1016,-1,-1,-1
38,-12,9,1000,-5,-1,-5
39,-12,2,1012,1,1,-1
40,-7,-14,1015,-1,1,-1
41,4,-8,1000,-1,-1,1
42,4,-8,1008,1,-3,-1
43,-5,9,1009,-1,-3,1
44,-11,13,995,-5,-3,-5
45,-12,2,1012,1,-3,1
46,-5,-8,1022,1,1,1
47,-2,-7,1002,1,1,-5
48,6,-8,1004,3,1,-5
49,-3,-6,1008,-3,-3,-1
50,0,2,1004,-1,-3,1
51,1,0,1004,-1,-1,1
52,2,-2,992,-1,-1,-3
53,-2,-5,1005,-1,-1,-5
54,-14,-5,996,-1,-4,-3
55,0,-7,1004,-1,-1,1
56,2,-14,1003,-1,-1,3
57,0,1,998,1,1,-6
58,-1,4,1005,-3,-3,-5
59,-2,8,1008,1,1,-3
60,2,-1,999,-1,-3,-1
61,-7,-2,1000,1,1,-1
62,-2,-9,986,1,3,-5
63,-6,-4,1016,1,1,-8
64,-6,-7,1005,-3,1,-1
65,-4,-1,999,-1,-3,1
66,-8,1,1002,-5,-3,-1
67,-7,3,990,-3,-3,-1
68,-4,0,1008,-1,-3,-3
69,-4,-6,997,1,1,-3
70,-4,-5,1005,-3,-1,-3
71,-4,-11,1014,3,1,-1
72,0,1,1009,1,1,1
73,-1,1,1003,1,-1,-1
74,-9,1,1009,-3,-1,-1
75,-9,4,1003,1,3,3
76,2,-10,1005,-1,-1,-1
77,-6,2,1001,1,1,-3
78,1,-9,1014,-3,-1,-1
79,-3,-5,1008,1,-1,1
80,-9,8,1000,-1,-3,-1
81,-3,3,1001,-3,-3,3
82,5,-9,1016,-1,-1,1
83,-15,-11,999,-1,-3,-3
84,-2,-9,999,-1,-3,-1
85,-3,0,1001,-1,-1,1
