AccelerometerX,AccelerometerY,AccelerometerZ,GyroscopeX,GyroscopeY,GyroscopeZ
178.0,723.0,3868.0,-344.0,-492.0,46.0
404.0,732.0,3880.0,-319.0,-608.0,40.0
565.0,806.0,3837.0,-313.0,-671.0,43.0
637.0,826.0,3755.0,-300.0,-752.0,57.0
565.0,827.0,3693.0,-220.0,-909.0,46.0
478.0,843.0,3644.0,-156.0,-1048.0,53.0
427.0,848.0,3565.0,-75.0,-1106.0,81.0
443.0,919.0,3467.0,62.0,-992.0,80.0
832.0,946.0,3505.0,169.0,-698.0,30.0
1450.0,939.0,3573.0,218.0,-309.0,-22.0
1979.0,916.0,3687.0,258.0,41.0,-65.0
2661.0,980.0,3420.0,301.0,279.0,-95.0
3093.0,919.0,3174.0,335.0,413.0,-124.0
3144.0,483.0,3192.0,290.0,621.0,-151.0
2813.0,-179.0,2255.0,129.0,1271.0,-164.0
1820.0,-130.0,1096.0,-56.0,2620.0,-158.0
639.0,389.0,-7.0,-800.0,11994.0,59.0
-462.0,1210.0,-1929.0,-655.0,16702.0,386.0
-1156.0,2139.0,-3781.0,764.0,21686.0,791.0
-8053.0,979.0,-4716.0,2291.0,26734.0,1215.0
-9763.0,1704.0,-3071.0,3365.0,31238.0,1596.0
-9278.0,2253.0,-1683.0,4134.0,32767.0,1891.0
-6882.0,1989.0,-909.0,3875.0,32767.0,2070.0
-4494.0,1297.0,-837.0,3251.0,32692.0,1619.0
-3407.0,1158.0,-1249.0,2810.0,30499.0,737.0
-3590.0,1263.0,-1542.0,2901.0,24185.0,170.0
-3484.0,2621.0,-2007.0,2871.0,16639.0,237.0
-4593.0,1088.0,-1970.0,2121.0,9935.0,623.0
-4164.0,1191.0,-1758.0,1211.0,5004.0,950.0
-3994.0,1350.0,-1532.0,796.0,2367.0,1134.0
-4265.0,1361.0,-1506.0,783.0,1197.0,989.0
-4817.0,1421.0,-1460.0,783.0,583.0,564.0
-4988.0,1530.0,-1478.0,33.0,-17.0,763.0
-4936.0,1591.0,-1471.0,-176.0,39.0,155.0
-4884.0,1606.0,-1217.0,-106.0,383.0,-270.0
-4498.0,1578.0,-1201.0,-234.0,-37.0,-267.0
-4372.0,1558.0,-1278.0,-383.0,-816.0,-148.0
-5734.0,1565.0,-1468.0,-562.0,-1680.0,-102.0
-6217.0,1494.0,-1445.0,-765.0,-2434.0,-118.0
-6596.0,1306.0,-1412.0,-888.0,-2994.0,-96.0
-6718.0,1116.0,-1642.0,-954.0,-3590.0,-192.0
-6620.0,1014.0,-2090.0,-1040.0,-4552.0,-352.0
-6170.0,1027.0,-2517.0,-1211.0,-6194.0,-530.0
-5583.0,972.0,-2855.0,-1602.0,-8607.0,-714.0
-4698.0,946.0,-2917.0,-2111.0,-11677.0,-876.0
-3604.0,970.0,-2798.0,-2407.0,-15143.0,-902.0
-2308.0,1084.0,-2433.0,-2457.0,-18628.0,-707.0
-143.0,1537.0,-2476.0,-2394.0,-21788.0,-356.0
2917.0,1828.0,-696.0,-2339.0,-25132.0,-99.0
5981.0,1632.0,2488.0,-2152.0,-28319.0,15.0
9304.0,1999.0,3992.0,-1719.0,-31031.0,271.0
10604.0,1051.0,4256.0,-1148.0,-32767.0,893.0
8623.0,-198.0,1984.0,-1436.0,-29871.0,2886.0
3803.0,-641.0,1002.0,-2010.0,-21810.0,2325.0
-1382.0,-246.0,1133.0,-2687.0,-9794.0,1670.0
-1461.0,816.0,3606.0,-3219.0,1539.0,484.0
2549.0,693.0,3326.0,-2501.0,8142.0,-193.0
4469.0,502.0,3341.0,-668.0,8212.0,424.0
4582.0,532.0,3568.0,465.0,4112.0,1690.0
3237.0,978.0,3329.0,732.0,2512.0,2688.0
1681.0,1285.0,3172.0,671.0,-1108.0,2695.0
610.0,1319.0,3120.0,-460.0,-6513.0,1492.0
437.0,1125.0,3211.0,-1295.0,-5712.0,787.0
859.0,887.0,3332.0,-1025.0,-3232.0,633.0
1295.0,879.0,3341.0,12.0,-1197.0,678.0
1465.0,963.0,3347.0,663.0,794.0,642.0
1508.0,992.0,3380.0,532.0,1448.0,486.0
1365.0,925.0,3532.0,62.0,1072.0,279.0
1463.0,793.0,3631.0,-381.0,586.0,111.0
1660.0,644.0,3158.0,-490.0,319.0,-72.0
1443.0,726.0,3100.0,-609.0,1828.0,-376.0
1339.0,697.0,3763.0,-774.0,2561.0,-445.0
1296.0,690.0,4089.0,-841.0,3840.0,-441.0
912.0,1033.0,2821.0,-587.0,5079.0,-461.0
64.0,898.0,2047.0,-469.0,6734.0,-409.0
-1244.0,797.0,1585.0,-376.0,9221.0,-186.0
-2353.0,692.0,949.0,49.0,11532.0,-116.0
-3129.0,785.0,528.0,383.0,14073.0,-13.0
-3477.0,1062.0,-43.0,461.0,17017.0,174.0
-3737.0,1366.0,-277.0,617.0,19645.0,338.0
