sequence,AccelerometerX,AccelerometerY,AccelerometerZ,GyroscopeX,GyroscopeY,GyroscopeZ
0,-10,-5,1001,1,2,0
1,-1,3,1005,-1,-2,0
2,-2,3,1008,-3,-2,-2
3,-6,0,1027,1,-2,2
4,-4,-5,991,-1,0,0
5,-7,-2,1000,1,2,0
6,-11,-4,1004,1,2,0
7,-2,3,1005,-1,0,2
8,-6,2,999,1,2,2
9,-6,0,1006,1,2,4
10,-1,0,986,1,2,0
11,-11,-12,987,-1,0,2
12,0,2,1009,-1,0,0
13,-7,1,999,-1,-2,2
14,-5,3,1010,-1,-2,0
15,1,-2,1009,-1,0,-2
16,-5,4,997,-5,-2,0
17,-1,-5,998,-1,-2,2
18,-10,-16,1009,-1,-2,4
19,-5,-7,999,1,4,2
20,-3,2,985,1,2,0
21,-4,15,994,-1,0,0
22,-11,-7,1010,1,2,2
23,3,-6,998,-1,-2,-6
24,0,5,1010,1,-2,-4
25,-9,-1,1011,-1,-2,2
26,-8,-6,1000,-3,0,4
27,-6,-6,1007,1,4,2
28,-4,-8,1007,-1,0,-2
29,-1,2,1006,1,2,-4
30,-7,7,1009,1,4,0
31,0,-4,1011,-1,0,10
32,-5,-16,1010,-1,0,-2
33,-10,-4,1015,-1,0,-2
34,-8,10,1005,-1,0,-4
35,-1,-5,994,3,2,0
36,10,-11,1004,1,-2,6
37,3,-17,994,1,2,0
38,-6,7,1009,3,4,-2
39,-13,13,1009,-3,0,-4
40,-16,4,987,-1,0,-2
41,-2,5,998,1,2,2
42,7,-4,1006,1,2,-6
43,-2,2,1013,-3,0,-4
44,0,-7,1009,-1,-2,-6
45,-5,6,1013,3,4,2
46,-5,-7,1010,1,2,2
47,1,-3,1000,-1,0,4
48,-4,-6,1010,-1,0,-4
49,-6,1,1013,1,4,-4
50,-9,-6,1006,-1,-2,4
51,-8,-17,994,-3,0,2
52,-2,-3,1002,1,-2,2
53,-9,-7,995,1,4,-6
54,-6,3,1005,1,2,2
55,-4,0,1019,1,2,0
56,4,-4,986,-1,0,0
57,-4,-7,988,-1,-5,0
58,-2,-8,1005,-1,-1,-2
59,-9,-1,1006,1,1,-2
60,-2,-2,1006,-3,-3,4
61,-5,6,1003,1,1,4
62,-6,-2,1012,-5,-1,-2
63,-8,-2,995,1,1,-2
