sequence,AccelerometerX,AccelerometerY,AccelerometerZ,GyroscopeX,GyroscopeY,GyroscopeZ
0,-20,2,1013,0,2,3
1,-10,5,998,0,-2,-1
2,-15,6,1009,0,2,3
3,-11,5,1006,0,2,-1
4,-20,1,1004,0,0,-1
5,-19,4,1020,0,-2,-1
6,-23,13,1003,0,0,-3
7,-19,6,1015,-2,0,-3
8,-22,5,1003,0,-2,-3
9,-23,6,1003,0,2,1
10,-26,7,1004,0,2,-1
11,-19,4,1001,0,-2,3
12,-20,7,1001,-4,-2,3
13,-22,11,992,0,0,-3
14,-22,4,1002,0,0,-5
15,-22,3,1013,-4,-4,3
16,-17,10,1005,-2,2,-3
17,-20,6,1003,0,-2,-3
18,-21,11,1003,0,-2,1
19,-16,12,998,2,2,-3
20,-17,2,1004,-2,-4,-3
21,-15,9,1010,-2,0,-3
22,-22,13,1018,0,-2,-1
23,-17,-1,1003,0,2,1
24,-19,4,1002,-4,-2,3
25,-24,5,1001,0,2,-3
26,-24,5,997,-2,0,1
27,-20,14,998,-4,2,1
28,-25,11,998,-2,2,-3
29,-21,13,998,0,-2,-1
30,-20,4,1016,2,4,-3
31,-22,10,996,-4,2,1
32,-12,5,1006,0,2,-1
33,-16,11,999,0,-2,-1
34,-20,10,1000,-4,0,-1
35,-18,3,1000,0,0,-3
36,-17,8,1013,-4,0,-3
37,-20,6,997,-2,0,1
38,-21,6,1011,-2,0,-3
39,-20,8,999,-4,-2,-1
40,-21,8,985,-4,-2,-1
41,-21,12,998,-4,-2,-3
42,-19,10,1014,-2,-4,-1
43,-12,16,996,-2,2,-1
44,-17,12,1001,0,0,1
45,-22,8,994,-2,-2,-3
46,-20,10,996,-2,0,1
47,-19,5,993,0,2,1
48,-18,1,1001,0,2,-3
49,-16,8,1005,-4,-2,1
50,-20,4,994,-2,0,1
51,-20,10,1007,0,0,1
52,-20,6,1005,-2,2,-1
53,-23,16,1000,0,0,-3
54,-20,6,996,0,-2,5
55,-20,6,1003,-4,-2,-1
56,-11,6,993,1,-2,1
57,-12,10,995,1,0,1
58,-20,4,1003,1,0,-3
59,-28,8,1002,-1,0,-1
60,-17,10,1009,1,2,-3
61,-20,12,1009,1,2,3
62,-19,3,1006,-1,-2,-1
63,-20,7,1013,-3,0,-3
64,-10,6,996,1,0,-3
65,-21,9,1001,1,2,-3
66,-19,5,1009,1,-2,-7
67,-23,8,1007,1,0,1
68,-18,10,998,1,0,-3
69,-21,8,1001,1,0,-3
70,-15,9,998,1,2,3
71,-26,10,1010,1,0,1
72,-24,10,1009,1,2,1
73,-28,13,990,3,5,-1
74,-25,11,1010,1,0,-1
75,-15,6,1010,3,3,3
76,-18,15,1002,1,2,-1
77,-21,12,996,1,-2,-1
78,-28,2,1000,1,2,-1
79,-17,5,1006,1,0,-1
80,-22,3,1001,-1,-2,-1
81,-15,3,997,1,2,1
82,-17,8,1004,-1,-2,1
83,-13,16,1008,-1,2,-3
84,-24,5,996,-1,-4,-1
85,-21,8,1004,-1,-2,1
86,-23,7,995,-3,2,-1
87,-14,7,1016,1,-2,-1
88,-27,12,1009,1,0,1
89,-23,11,1001,1,0,1
90,-26,7,1002,3,2,1
91,-20,10,1014,3,3,-3
92,-19,20,1002,-1,-2,-1
93,-20,11,1003,-1,2,-1
94,-20,3,994,1,0,1
95,-17,1,1007,-1,0,1
96,-22,10,1002,3,0,-3
97,-21,5,996,1,2,-3
98,-23,0,1007,3,2,1
99,-21,9,1004,-1,2,-1
100,-13,9,989,-1,0,3
101,-23,10,1008,-1,0,-3
102,-19,13,995,3,3,-1
103,-21,8,1013,-1,2,3
104,-21,13,1009,3,3,-3
105,-15,4,1006,-3,0,-3
106,-18,2,1016,-1,0,1
107,-20,0,1011,1,-2,-1
108,-10,7,1007,-1,0,-1
109,-27,-5,1013,1,0,-1
110,-21,13,1003,1,0,1
111,-19,4,1002,3,3,-1
112,-22,13,1000,3,3,3
113,-25,6,1005,-1,-4,-1
114,-14,11,1013,-3,2,-1
115,-18,4,1001,1,-2,1
116,-27,11,1005,-5,-2,-3
117,-19,7,1000,-3,-2,-1
118,-17,2,993,-3,0,-1
119,-20,0,1010,-5,-2,1
120,-30,6,1002,-3,2,-1
121,-23,12,988,3,-2,3
122,-24,3,1001,-1,-2,-1
123,-11,2,1001,1,2,-1
124,-25,9,990,1,2,-1
125,-24,12,996,1,-4,-1
126,-19,4,1008,-1,0,-3
127,-15,10,1001,-1,0,1
128,-20,15,1000,5,5,1
129,-14,8,989,1,-2,-1
130,-20,11,1006,-1,3,-1
131,-26,13,1003,-1,-2,-1
132,-23,8,1007,3,3,-1
133,-21,-1,1000,1,2,3
134,-17,5,1003,1,-4,3
135,-23,6,999,-3,0,1
136,-27,7,996,1,0,-1
137,-22,-1,986,-1,0,-1
138,-18,4,1007,-1,0,3
139,-15,4,991,1,0,3
140,-17,2,1004,1,-2,-1
141,-19,4,1005,-1,-2,-1
142,-29,3,1005,1,0,-3
143,-20,2,1004,1,2,3
144,-9,6,1000,1,-2,1
145,-16,3,1000,-1,-2,-1
146,-23,6,1006,1,2,1
147,-16,9,995,1,0,-1
148,-12,12,994,-1,2,-3
149,-14,9,1000,1,0,3
150,-13,9,1011,-3,0,-1
151,-17,6,1004,-1,0,-1
152,-21,12,1001,-1,-2,-1
153,-16,8,1008,1,2,-1
154,-19,8,986,-1,-4,1
155,-23,14,1004,-1,-2,1
156,-18,9,999,1,0,1
157,-22,4,1006,1,0,3
158,-23,6,1013,3,3,-1
159,-19,7,1013,1,2,-1
160,-20,4,1003,-3,-4,-1
161,-13,8,1007,1,2,-3
162,-20,12,1002,1,2,-1
163,-18,14,1006,-1,0,-1
164,-19,2,1003,1,-2,1
165,-30,-5,1004,1,0,-1
166,-19,16,1001,3,3,1
167,-17,3,1009,-1,0,1
168,-18,8,1002,-3,2,1
169,-19,6,1010,1,0,-1
170,-25,11,987,-3,-2,-3
171,-16,3,990,1,2,1
172,-24,7,1005,1,0,3
173,-21,11,996,1,2,1
174,-10,7,999,-1,0,3
175,-15,15,1006,1,-2,1
176,-24,2,1005,3,0,-1
177,-13,15,1005,-3,0,-1
178,-21,7,1002,1,-6,1
179,-19,8,1005,-1,-2,-1
180,-22,10,1006,3,3,1
181,-14,2,999,-1,2,1
182,-16,6,1008,1,2,-1
183,-21,13,999,1,2,-1
184,-17,12,1001,1,-2,-1
185,-26,5,1004,1,-4,3
186,-26,11,1007,-1,0,-1
187,-12,10,996,3,3,1
188,-11,8,1003,1,-2,-1
189,-9,4,995,-1,0,-1
190,-13,14,1002,1,0,1
191,-29,15,1003,1,0,-1
192,-18,6,1002,1,0,1
193,-13,6,998,1,2,-1
194,-21,10,993,1,2,-1
195,-20,7,1010,1,0,1
196,-13,11,1002,-1,2,1
197,-14,7,1010,-5,-4,-1
198,-21,-3,989,1,-2,1
199,-19,11,1009,1,-2,-1
200,-25,13,989,1,-2,3
201,-19,2,996,-1,0,-1
202,-20,7,1008,1,2,3
203,-18,2,1011,-1,-2,-3
204,-20,3,993,-1,-6,3
205,-16,4,991,1,2,3
206,-18,3,1007,-1,-2,-3
207,-26,13,1001,1,2,-5
208,-14,8,1009,3,3,-3
209,-30,4,991,5,3,-3
210,-18,13,992,-1,0,-3
211,-13,6,1004,1,-2,1
212,-18,12,998,-1,-2,3
213,-27,11,1007,1,0,-3
214,-26,5,990,1,-2,-1
215,-23,8,995,1,-2,-1
216,-16,7,1003,-3,-2,1
217,-28,9,999,-1,0,-1
218,-25,0,996,-4,-2,1
219,-26,12,1006,0,0,-3
220,-24,15,1006,0,2,-3
221,-15,12,1007,2,2,3
222,-17,9,1009,0,2,-1
223,-20,11,1009,-4,0,5
224,-20,10,1000,-2,0,-3
225,-16,5,996,0,0,-1
226,-23,16,996,0,-2,-1
227,-21,10,1002,-2,0,-3
228,-18,5,1012,0,0,1
229,-19,6,997,0,-2,-1
230,-17,7,990,0,0,1
