sequence,AccelerometerX,AccelerometerY,AccelerometerZ,GyroscopeX,GyroscopeY,GyroscopeZ
178,42,17,478,-2480,-532,311
179,62,-8,537,-2482,-413,208
180,76,-72,521,-2437,-138,176
181,130,-150,488,-2492,122,104
182,197,-160,487,-2634,105,-84
183,183,-190,487,-2902,-100,-150
184,167,-186,502,-3160,-391,-101
185,150,-158,582,-3341,-604,-56
186,143,-219,661,-3464,-647,-27
187,89,-309,742,-3492,-399,-56
188,73,-335,860,-3492,-161,0
189,86,-307,946,-3421,357,67
190,52,-363,997,-3253,985,-3
191,55,-406,1039,-2888,1530,161
192,230,-404,1001,-3009,987,86
193,121,-432,1065,-3308,515,-138
194,60,-446,1184,-3689,230,-68
195,67,-469,1365,-3921,-143,-162
196,15,-484,1563,-3751,-155,-152
197,-16,-505,1755,-3410,171,-115
198,-27,-532,1931,-2886,665,-60
199,16,-559,1990,-2349,1189,79
200,32,-575,2025,-1921,1437,90
201,31,-584,2044,-1640,1239,8
202,0,-561,2048,-1441,960,-140
203,-34,-503,2048,-1373,939,-292
204,-56,-490,2048,-1064,954,-507
205,-110,-536,2048,-640,776,-636
206,-163,-562,2048,-101,708,-621
207,-194,-586,2048,419,661,-507
208,-196,-607,2048,997,446,-226
209,-140,-580,2048,1526,93,-62
210,-138,-592,1951,1924,-229,-60
211,-92,-585,1833,2184,-515,-17
212,-64,-546,1741,2311,-587,-39
213,-52,-525,1683,2393,-546,-91
214,-56,-474,1560,2710,-83,-128
215,-68,-500,1632,2526,-413,-111
216,-40,-470,1519,2985,323,-132
217,-71,-452,1467,3294,610,-138
218,-105,-456,1386,3610,665,2
219,-83,-431,1298,3942,556,120
220,-47,-366,1174,4165,317,139
221,-27,-347,1081,4301,28,88
222,-30,-323,969,4268,-288,20
223,15,-320,831,4087,-571,-17
224,10,-237,818,3897,-831,-91
225,50,-252,788,3786,-1020,-232
226,36,-211,727,3753,-1034,-398
227,51,-171,694,3805,-866,-486
228,33,-159,622,3921,-698,-542
229,25,-188,561,3983,-421,-542
230,50,-133,479,3903,-167,-507
231,79,-83,416,3776,-15,-537
232,92,-38,346,3608,34,-658
233,94,-5,283,3362,-44,-828
234,66,7,233,3059,-145,-976
235,50,70,191,2714,-313,-1050
236,41,87,176,2380,-362,-1119
237,-25,83,152,2157,-249,-1173
238,-71,65,122,1876,-93,-898
239,-83,89,97,1487,64,-500
240,-77,138,64,1094,429,-207
241,-46,155,62,772,796,-35
242,-33,153,47,417,1214,40
243,-44,158,29,10,1609,24
244,-39,166,27,-384,1751,-35
245,-28,178,30,-781,1526,-84
246,-35,160,31,-1171,976,-160
247,-75,124,92,-1595,335,-222
248,-120,109,132,-2046,-175,-125
249,-114,107,197,-2396,-380,73
250,-117,107,219,-2677,-247,266
251,-121,92,287,-2880,54,442
252,-58,77,315,-3009,511,518
253,-4,49,327,-3107,862,366
254,35,-3,341,-3212,909,81
255,-23,-65,347,-3380,819,-183
