sequence,AccelerometerX,AccelerometerY,AccelerometerZ,GyroscopeX,GyroscopeY,GyroscopeZ
0,-8,-2,996,1,1,-3
1,-1,-11,1010,1,3,-3
2,-6,0,999,-1,-1,1
3,-3,-2,1000,-1,-3,1
4,-13,13,1010,-3,-1,1
5,-8,2,1007,-1,-1,1
6,-2,-5,998,-3,-3,-1
7,2,0,1004,-1,-1,3
8,-9,-5,989,-1,-1,3
9,-9,-11,1005,-1,-1,1
10,-9,5,1009,-1,-3,-1
11,-13,-2,993,-3,-3,1
12,-7,-11,1001,-1,-1,-1
13,-4,-2,1011,1,1,-3
14,2,-9,1004,-1,-1,-1
15,-8,-7,999,-3,-5,-1
16,-7,-2,997,-1,-3,-1
17,-16,-6,999,-1,-3,-5
18,-12,2,1013,-5,-1,-3
19,-15,2,981,-3,-5,-5
20,-1,-9,1005,-1,-1,-1
21,-6,-14,1003,1,-1,-5
22,4,7,1005,-3,-1,-6
23,-6,12,1001,-3,-5,-1
24,-2,10,1001,-1,-1,1
25,-4,-5,997,-1,1,3
26,-12,-6,1017,-3,-5,-1
27,-8,3,990,-1,-1,-3
28,5,-3,995,1,1,-5
29,6,1,1010,-3,-1,3
30,1,-8,993,-3,-1,1
31,-4,1,999,-1,-1,-5
32,-5,1,1011,-1,-1,-5
33,-16,-8,1009,-3,-3,1
34,-9,-11,1004,1,1,1
35,-6,-13,1005,-3,-3,-1
36,0,-3,993,-1,-3,-5
37,-3,3,998,1,1,-5
38,-7,-2,1004,-1,-3,-1
39,-10,-5,1003,-1,-3,3
40,0,-14,998,-1,-3,3
41,-10,-7,1002,3,1,-1
42,2,0,1003,-3,-7,-3
43,-5,9,996,-1,-1,-1
44,-2,-5,992,-3,-7,1
45,-2,-2,994,-5,-1,1
46,-5,1,999,-1,-1,-5
47,-12,1,1002,1,1,-6
48,-6,-1,1005,-3,-1,-1
49,-12,-13,1003,-1,-1,1
50,0,-11,1008,1,3,3
51,0,-3,1012,-3,-3,-5
52,-6,0,994,-1,-1,-3
53,-14,8,991,-3,-1,1
54,-5,-2,1004,-1,-3,3
55,-6,-5,993,-5,-1,-1
56,-6,-9,1003,-1,-3,-3
57,-3,1,1029,-1,1,1
58,-4,4,999,1,1,-3
59,-3,-6,998,-3,-3,-3
60,-7,-4,1006,-3,-3,-3
61,-6,-9,998,-1,-1,-8
62,-7,-3,1003,-1,-1,-3
63,-2,2,994,-1,-1,-3
64,-11,2,1008,-1,-3,1
65,0,-3,998,-1,-3,1
66,-8,2,999,1,1,-5
67,-2,5,1009,-1,-1,-3
68,-3,4,1011,-1,-5,3
69,-11,-13,1011,3,1,-1
70,-3,-6,1006,-1,1,-1
71,-4,-4,998,1,1,-1
72,-3,1,1001,1,1,-3
73,-2,6,1016,1,-1,3
74,-13,-5,985,-3,1,1
75,-12,-5,1015,-1,-1,-1
76,-9,-7,995,-1,-3,-3
77,-1,0,995,1,1,-3
78,-14,0,1000,1,1,1
79,-2,-8,1013,-1,-1,-1
80,-1,-6,995,3,1,-3
81,-4,-4,999,1,1,1
82,-9,-2,1003,-1,-3,-1
83,-10,-6,1001,-3,-1,-1
84,-7,-2,998,-3,-5,-1
85,-5,-6,1011,1,1,-3
86,-6,-2,1010,-1,-1,-5
87,-8,1,992,-7,-1,-3
88,-7,5,1008,-1,-5,3
89,0,-5,1003,1,3,-1
90,-2,-4,991,-1,-1,-5
91,-7,-3,999,-3,-3,-2
92,-10,-9,996,3,1,0
93,-15,1,1010,-1,-1,-2
94,-5,-5,1002,1,1,0
95,-7,-3,994,1,1,-2
96,-6,-8,1016,-1,-6,-2
97,-5,-5,999,-1,-4,0
98,-4,3,1015,-1,-3,2
99,8,-5,987,-1,-1,0
100,2,-6,994,-1,-3,4
101,-11,3,998,3,3,-2
102,-16,0,985,-1,-3,2
103,-16,-7,1015,-1,-4,0
104,-10,-3,984,-1,-4,-2
105,-9,5,1008,-1,-1,0
106,7,13,994,5,1,0
107,5,6,991,-1,-3,0
108,-11,-2,986,1,1,0
109,-9,-7,1002,-1,-1,0
110,13,-19,1067,1,-4,0
111,-19,12,1043,-3,3,-2
112,4,10,999,-3,-6,0
113,30,-5,1013,-1,3,0
114,18,-11,992,-1,-1,4
115,1,-17,989,1,3,0
116,-34,6,1007,-1,1,-2
117,-30,4,1018,-1,-3,0
118,-26,4,977,1,-1,-2
119,-3,-3,1002,-3,-6,2
120,18,0,987,1,5,-2
121,14,7,1014,-3,-4,-6
122,-2,-5,993,1,1,0
123,-14,-4,1008,-1,-1,-2
124,-15,-11,1008,-1,-3,2
125,-28,-6,1014,1,1,0
126,4,11,1007,-1,-1,-2
127,-1,-6,990,-3,-4,0
128,10,-2,1005,-1,-4,0
129,-13,-3,996,1,5,2
130,-6,-9,1043,-1,-4,-4
131,-9,5,969,-1,3,-4
132,3,5,1010,1,-3,-2
133,-7,6,994,-1,5,0
134,-1,2,1016,-3,-4,4
135,-15,-15,1009,-1,5,2
136,-2,2,996,-1,1,-2
137,-6,-6,1012,3,1,-4
138,-9,2,994,-1,-1,4
139,-6,2,1005,-1,-3,4
140,-3,-6,996,-1,-1,0
141,0,-2,1016,-1,-3,-4
142,6,7,1004,1,1,-6
143,-3,1,1014,-3,-4,-4
144,-7,-14,999,-1,-1,-2
145,-5,-13,1000,-1,-3,4
146,-8,-9,854,-3,1,0
147,-21,2,1004,-1,-6,-4
148,-10,10,1034,1,13,-4
149,21,13,1066,-3,-10,2
150,17,-7,975,1,9,2
151,8,-15,1004,-1,-4,-2
152,-12,-9,991,-1,5,-2
153,-33,3,1024,1,1,-2
154,-15,5,993,1,5,0
155,-27,7,1018,-1,-1,4
156,13,-3,1005,-1,-6,2
157,32,1,998,-1,-1,-2
158,15,-14,1009,-1,-4,-4
159,-8,-6,1008,-1,-1,-2
160,-19,-2,1009,1,1,0
161,-29,-8,1002,-1,3,-4
162,-12,3,1008,1,-3,-2
163,0,8,1020,-5,-10,-2
164,16,14,999,1,5,2
165,11,-12,1022,-1,-3,4
166,13,-17,982,1,7,2
167,-10,-11,1024,-3,-1,0
168,-29,1,1014,1,1,0
169,-18,14,982,1,1,2
170,-6,-6,1024,-3,-4,0
171,5,-5,995,1,5,0
172,11,2,993,-1,-3,-8
173,-3,4,991,-1,-1,-2
174,-3,2,1009,-1,-4,2
175,-19,-4,988,-3,-1,4
176,-17,-2,1001,-1,-3,2
177,-3,-13,1001,-1,-1,-2
178,-3,-3,1018,-1,-4,0
179,8,6,1008,-1,-3,2
180,-32,6,1198,1,5,-2
181,-29,-29,866,-5,-4,2
182,-30,-2,902,3,7,-6
183,11,11,1104,-5,-12,-4
184,10,-2,999,1,3,4
