sequence,AccelerometerX,AccelerometerY,AccelerometerZ,GyroscopeX,GyroscopeY,GyroscopeZ
0,-268,7,896,-627,-290,-56
1,-256,9,985,-549,-64,-123
2,-308,49,1071,-486,-77,-162
3,-296,34,1145,-488,-361,-115
4,-304,-7,1169,-584,-822,-74
5,-304,-41,1173,-768,-1302,-230
6,-321,-53,1132,-1016,-1472,-367
7,-295,-89,1080,-1109,-1413,-363
8,-298,-132,1074,-1229,-1150,-332
9,-270,-212,1074,-1381,-751,-281
10,-276,-237,1106,-1631,-351,-295
11,-281,-283,1153,-1713,-7,-306
12,-247,-317,1211,-1559,118,-316
13,-237,-347,1255,-1303,-66,-500
14,-279,-381,1272,-1020,-306,-687
15,-280,-421,1269,-895,-351,-941
16,-248,-421,1263,-1022,-154,-1488
17,-275,-416,1264,-988,-267,-1252
18,-237,-429,1261,-1109,10,-1652
19,-214,-423,1262,-1246,198,-1756
20,-236,-371,1288,-1447,425,-1795
21,-222,-359,1281,-1416,534,-1652
22,-216,-373,1273,-1006,518,-1445
23,-237,-414,1248,-711,409,-1383
24,-259,-411,1264,-717,303,-1463
25,-254,-388,1258,-963,243,-1636
26,-265,-337,1228,-1342,155,-1795
27,-287,-282,1125,-1649,180,-1830
28,-307,-320,1113,-1764,344,-1785
29,-267,-316,1066,-1471,469,-1732
30,-237,-292,1038,-1035,518,-1801
31,-281,-269,1025,-533,333,-1840
32,-300,-260,1022,-137,153,-1908
33,-280,-208,1005,37,50,-2006
34,-239,-176,1003,-100,18,-2095
35,-208,-120,980,-375,7,-2080
36,-203,-75,930,-774,53,-2023
37,-233,-86,908,-1154,151,-1902
38,-219,-71,885,-1121,288,-1783
39,-196,-36,821,-926,464,-1668
40,-191,-94,856,-752,575,-1517
41,-199,-104,848,-260,479,-1443
42,-186,-134,822,62,290,-1422
43,-181,-102,819,59,159,-1508
44,-217,-110,778,-90,245,-1640
45,-215,-96,781,-137,452,-1636
46,-214,-121,803,-141,587,-1660
47,-249,-110,776,25,807,-1551
48,-271,-148,808,170,823,-1519
49,-253,-173,852,240,708,-1681
50,-269,-172,837,404,483,-1816
51,-275,-172,815,457,227,-1992
52,-289,-147,795,424,182,-2176
53,-277,-128,781,359,307,-2238
54,-253,-67,784,291,454,-2215
55,-245,-41,776,437,596,-1937
56,-265,-48,790,664,587,-1568
57,-241,-42,787,746,464,-1336
58,-248,-54,816,474,510,-1224
59,-283,-81,812,74,466,-1138
60,-287,-115,822,-303,436,-1068
61,-262,-97,793,-377,421,-951
62,-216,-71,794,-330,259,-904
63,-216,-113,766,-18,83,-769
64,-254,-137,762,314,-11,-703
65,-274,-172,770,539,24,-693
66,-262,-148,771,490,98,-834
67,-249,-85,793,330,169,-888
68,-224,-48,820,168,225,-670
69,-219,-72,817,60,245,-482
70,-213,-90,833,76,243,-429
71,-222,-124,837,152,257,-463
72,-227,-124,839,195,216,-515
73,-217,-144,838,195,176,-601
74,-196,-132,809,98,210,-730
75,-208,-22,827,-26,153,-847
76,-225,-76,822,-33,96,-818
77,-238,-69,833,94,163,-486
78,-229,-84,886,260,237,-236
79,-240,-128,865,508,423,30
80,-214,-115,892,711,510,39
81,-211,-138,932,867,466,-49
82,-216,-140,945,1057,384,-9
83,-222,-151,946,1029,253,-95
84,-223,-139,959,838,104,-261
85,-234,-110,940,633,30,-418
86,-234,-69,964,439,-19,-371
87,-228,-65,931,430,-36,-193
88,-234,-52,921,541,-64,-27
89,-228,-68,892,670,65,86
90,-217,-86,911,890,212,168
91,-225,-133,961,998,198,219
