AccelerometerX,AccelerometerY,AccelerometerZ,Subject
-1794,-1053,4565,1
-1708,-1055,4405,1
-1594,-1038,4191,1
-1490,-1023,4097,1
-1443,-1067,3807,1
-1527,-1136,3720,1
-1478,-1144,3760,1
-1421,-1163,3827,1
-1398,-1160,3805,1
-1342,-1146,3734,1
-1320,-1157,3747,1
-1319,-1137,3787,1
-1301,-1149,3766,1
-1280,-1136,3696,1
-1287,-1084,3723,1
-1347,-1095,3770,1
-1368,-1103,3823,1
-1381,-1112,3858,1
-1326,-1055,3914,1
-1346,-1064,3879,1
-1356,-1062,3844,1
-1412,-1074,3905,1
-1397,-1069,3990,1
-1314,-1003,3877,1
-1322,-1052,3905,1
-1321,-1045,3934,1
-1323,-1051,3931,1
-1353,-1036,3890,1
-1379,-1061,3910,1
-1343,-1031,3904,1
-1364,-1036,3896,1
-1326,-1023,3907,1
-1300,-1015,3876,1
-1266,-1012,3834,1
-1285,-1023,3870,1
-1260,-1023,3853,1
-1255,-1018,3862,1
-1244,-1043,3843,1
-1293,-1024,3849,1
-1332,-1036,3885,1
-1362,-1038,3973,1
-1443,-1076,4037,1
-1533,-1093,4053,1
-1589,-1095,4064,1
-1628,-1087,4010,1
-1688,-1108,3966,1
-1673,-1073,3946,1
-1673,-1079,3864,1
-1617,-1081,3905,1
-1571,-1086,3848,1
-1547,-999,3683,1
-1571,-1018,3452,1
-1585,-1022,3244,1
-1619,-1016,3299,1
-1400,-937,3388,1
-1167,-839,3600,1
-1048,-768,3712,1
-1004,-753,3816,1
-1087,-779,3887,1
-1001,-715,3977,1
-908,-761,3998,1
-659,-669,4147,1
-757,-813,4160,1
-802,-818,4096,1
-643,-761,4194,1
-756,-829,4213,1
-814,-847,4157,1
-712,-826,4191,1
-754,-814,4224,1
-799,-834,4177,1
-820,-810,4106,1
-840,-851,4101,1
-811,-774,4099,1
-801,-754,4112,1
-653,-707,4104,1
-693,-728,4069,1
-697,-710,4076,1
-769,-750,4005,1
-709,-697,4009,1
-729,-679,3982,1
-720,-634,3994,1
-758,-694,3976,1
-775,-712,4063,1
-831,-719,4053,1
-832,-720,4012,1
-867,-744,3988,1
-814,-728,3945,1
-813,-720,3999,1
-718,-718,4052,1
-731,-723,4055,1
-777,-730,4055,1
-768,-734,4042,1
-798,-757,4051,1
-835,-752,4002,1
-877,-771,3970,1
-904,-791,4039,1
-882,-785,4064,1
-860,-779,4083,1
-807,-783,4005,1
-825,-775,4000,1
-806,-757,3985,1
-824,-763,4002,1
-832,-782,3978,1
-851,-772,4051,1
-851,-790,4006,1
-884,-806,4041,1
-901,-813,4072,1
-940,-818,4053,1
-902,-819,3991,1
-937,-824,3951,1
-933,-795,3980,1
-926,-800,3982,1
-940,-796,3995,1
-912,-775,3979,1
-954,-812,4012,1
-1006,-827,4051,1
-978,-823,4061,1
-966,-802,4040,1
-966,-827,4052,1
-970,-819,4020,1
-946,-843,4006,1
-963,-848,4018,1
-931,-865,4041,1
-919,-845,3982,1
-920,-836,3969,1
-909,-838,3961,1
-887,-819,3953,1
-910,-842,4006,1
-925,-839,4010,1
-932,-827,4011,1
-931,-856,4006,1
-926,-828,4016,1
-910,-857,3960,1
-938,-851,3947,1
-905,-856,3952,1
-915,-857,3998,1
-926,-859,3975,1
-912,-831,3991,1
-905,-840,3949,1
-919,-850,3968,1
-935,-857,4016,1
-917,-832,4037,1
-927,-844,4024,1
-895,-811,4014,1
-918,-841,4022,1
-926,-826,4010,1
-934,-852,4022,1
-893,-834,4016,1
-909,-841,4025,1
-913,-834,4030,1
-899,-848,4055,1
-890,-826,4011,1
-908,-847,3987,1
-913,-863,3959,1
-899,-855,4031,1
-908,-872,4071,1
-891,-883,4075,1
-882,-860,4103,1
-854,-856,4177,1
-831,-839,4381,1
-858,-827,4796,1
-758,-726,5195,1
-829,-748,5695,1
-936,-585,6354,1
-1232,-649,7324,1
-1530,-755,8311,1
-1550,-800,8635,1
-1284,-640,7755,1
-1014,-519,6595,1
-883,-871,4411,1
-714,-996,3884,1
-525,-942,3504,1
-640,-779,3219,1
-679,-780,2352,1
-927,-887,1522,1
-1003,-677,795,1
-1080,-596,291,1
-664,-254,476,1
-764,-249,904,1
-709,-307,1350,1
-592,-318,1298,1
-402,-283,1092,1
-189,-219,1214,1
-161,-150,1497,1
-234,-45,1794,1
-152,-26,1951,1
-66,-46,1910,1
3,-143,1931,1
-371,-370,2891,1
-413,-132,2506,1
-491,-396,2459,1
-663,-648,2786,1
-1067,-871,3774,1
-1619,-1050,4363,1
-1539,-563,3881,1
-2021,-1166,3491,1
-2277,-1429,4444,1
-1796,-852,5826,1
-1701,-830,5130,1
-2013,-1100,5422,1
-2570,-1350,6478,1
-2626,-1063,6634,1
-2411,-809,5890,1
-2500,-772,5732,1
-2417,-770,5849,1
-2171,-638,5557,1
-1760,-605,4676,1
-1681,-667,4327,1
-1664,-817,4148,1
-1604,-916,4181,1
-1353,-844,4101,1
-1286,-897,3948,1
-1308,-972,3905,1
-1336,-993,3874,1
-1353,-1074,3915,1
-1342,-1075,3986,1
-1225,-995,3840,1
-1238,-1023,3865,1
-1184,-1008,3833,1
-1238,-1032,3793,1
-1230,-1010,3781,1
-1259,-1021,3842,1
-1230,-995,3802,1
-1228,-987,3871,1
-1312,-993,3992,1
-1323,-970,3964,1
-1369,-981,3922,1
-1373,-993,3906,1
-1354,-948,3900,1
-1321,-933,3896,1
-1276,-939,3875,1
-1247,-901,3876,1
-1291,-951,3876,1
-1288,-973,3953,1
-1275,-933,3965,1
-1243,-918,3916,1
-1214,-922,3929,1
-1229,-934,3917,1
-1290,-941,3921,1
-1266,-947,3915,1
-1248,-911,3905,1
-1237,-943,3926,1
-1220,-938,3906,1
-1221,-963,3948,1
-1229,-972,3974,1
