AccelerometerX,AccelerometerY,AccelerometerZ,Gesture,GyroscopeX,GyroscopeY,GyroscopeZ
-1642.0,729.0,6122.0,A,-3238.0,-194.0,238.0
-1680.0,701.0,6256.0,A,-2791.0,23.0,364.0
-1599.0,610.0,6189.0,A,-2276.0,129.0,532.0
-1431.0,559.0,6224.0,A,-1888.0,93.0,683.0
-1360.0,603.0,6474.0,A,-1835.0,-41.0,779.0
-1442.0,686.0,6753.0,A,-2177.0,-224.0,797.0
-1516.0,724.0,6864.0,A,-2738.0,-422.0,751.0
-1422.0,683.0,6830.0,A,-3200.0,-610.0,681.0
-1215.0,607.0,6811.0,A,-3380.0,-774.0,635.0
-1058.0,563.0,6879.0,A,-3348.0,-926.0,618.0
-1013.0,586.0,6974.0,A,-3233.0,-1056.0,608.0
-993.0,631.0,6996.0,A,-3002.0,-1068.0,585.0
-920.0,622.0,6907.0,A,-2571.0,-894.0,556.0
-802.0,532.0,6729.0,A,-2028.0,-631.0,524.0
-702.0,426.0,6519.0,A,-1592.0,-485.0,483.0
-655.0,376.0,6306.0,A,-1342.0,-522.0,425.0
-648.0,377.0,6076.0,A,-1153.0,-601.0,359.0
-642.0,374.0,5821.0,A,-899.0,-566.0,290.0
-611.0,330.0,5571.0,A,-612.0,-429.0,221.0
-570.0,268.0,5363.0,A,-390.0,-302.0,152.0
-575.0,220.0,5192.0,A,-269.0,-246.0,88.0
-649.0,205.0,5029.0,A,-233.0,-240.0,28.0
-752.0,208.0,4868.0,A,-242.0,-245.0,-33.0
-812.0,197.0,4726.0,A,-225.0,-216.0,-95.0
-805.0,141.0,4592.0,A,-116.0,-129.0,-139.0
-774.0,58.0,4450.0,A,46.0,-19.0,-151.0
-768.0,-1.0,4319.0,A,156.0,35.0,-142.0
-787.0,-16.0,4249.0,A,179.0,30.0,-127.0
-791.0,-31.0,4239.0,A,205.0,50.0,-117.0
-750.0,-88.0,4229.0,A,285.0,143.0,-107.0
-686.0,-167.0,4185.0,A,354.0,235.0,-95.0
-650.0,-211.0,4140.0,A,336.0,241.0,-83.0
-657.0,-212.0,4129.0,A,285.0,203.0,-72.0
-673.0,-211.0,4141.0,A,295.0,219.0,-67.0
-668.0,-234.0,4138.0,A,367.0,292.0,-67.0
-661.0,-261.0,4113.0,A,415.0,327.0,-69.0
-679.0,-274.0,4083.0,A,402.0,276.0,-65.0
-710.0,-273.0,4072.0,A,365.0,187.0,-54.0
-719.0,-270.0,4089.0,A,335.0,125.0,-37.0
-705.0,-263.0,4133.0,A,296.0,93.0,-18.0
-696.0,-259.0,4174.0,A,245.0,73.0,6.0
-708.0,-263.0,4187.0,A,206.0,56.0,35.0
